"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"AFGr101",1130744.27076888,2183541.44895183,1794895.98621248,948442.155114494,660033.324031731,482773.494699082,262822.634595985,214342.873625517
"AFGr102",158629.046884156,342299.752977588,243965.580223198,114466.996497372,85207.9091116735,69761.791971661,49482.1932645,46739.9580698522
"AFGr103",614818.131772653,1049179.34929594,669942.425610404,393731.353606985,232886.695999814,157779.002340036,127933.925654473,72954.3677196933
"AFGr104",759453.263012864,1328416.35436602,975547.364697104,589200.273745849,386992.704492139,298713.834738332,224165.55131112,161720.247636575
"AFGr105",714775.423822392,1496022.84743033,1079381.03624063,565050.822128311,404640.869395514,309980.020309373,198329.285901247,138495.480772201
"AFGr106",679198.030781838,1271063.57266736,711661.433882124,473510.134582827,245237.093446201,169423.55849717,142244.369971432,80409.0421710439
"AFGr107",539801.783078087,1067316.72475507,729211.593225659,470718.239548692,290770.754448809,216832.264084476,100574.024181398,47525.0246778121
"AFGr108",818138.163482084,1470662.02827029,982048.860390943,584988.363454382,353327.915666072,293188.86116917,168895.413280367,101822.647286693
"ALBr201",7021.87230694737,15608.7032533042,14814.8973461111,14830.2685014038,13521.4796844558,18791.6357834848,21468.5466206527,25235.7305036402
"ALBr202",8571.42060346336,20475.474389461,18335.2386606018,15564.0418998942,14182.3565161796,19053.7763875508,17519.5789299764,13429.4001128728
"ALBr203",14365.466205318,30439.5752894227,38362.1167009238,33939.3042748913,27916.1504315303,36820.9253054712,43159.2213004815,49928.5919919611
"ALBr204",15472.8375567339,37262.9706154543,40791.3257880742,33968.0690421724,34647.2128163302,43379.3554922394,40965.9571098727,38347.743879123
"ALBr205",15726.8859374817,37654.9575938017,34865.5771712475,35752.4635533654,34368.4870682808,44574.5535635111,49925.6927435155,45666.8106687964
"ALBr206",2856.50994454213,7809.23213916457,5964.87300957217,8300.03746792464,7376.90261075635,9242.67349092251,10962.569142115,13200.2237850026
"ALBr207",10021.3617636269,23625.8814074405,28363.7386254985,28041.2488225401,23615.1581173438,30643.1058424027,35718.6611294334,35218.822191714
"ALBr208",5793.18274534193,13741.2401924534,12982.663366154,8812.20446574126,10672.27660583,11977.6477222623,9011.10637061497,7577.80149160218
"ALBr209",8350.29558330313,18165.4021309653,19332.3309921301,14848.0217845354,15401.2334748057,19763.2053736569,19278.4998219159,21164.0678386876
"ALBr210",9019.46658577999,22090.6056636588,32571.6455076992,26383.7248229648,20259.456467525,29922.8766959832,33745.7715557865,34025.4990006025
"ALBr211",38546.1476516113,104055.886785528,129319.239395877,116359.0603783,100364.129694851,113244.652686523,129025.622753697,138491.135853612
"ALBr212",7725.49090378648,19631.16692089,19030.6655831483,19870.7739428057,18888.9603741998,20316.6218394181,28166.88079028,41661.0689454717
"AGOr201",137881.140555601,228562.909194245,149167.102213925,116853.947046915,67799.8649007896,51354.4976033706,41214.6806259469,17671.3988592065
"AGOr202",127868.623368605,202566.905181197,108558.643217602,90989.0548468416,68659.9582669079,40085.2230996158,23731.730725016,17342.2759942144
"AGOr203",322896.651697709,473867.90897655,239223.96017729,138002.941490538,125730.797656715,87704.1176632347,82816.3389145772,51006.9424233858
"AGOr204",1194644.35693103,2203089.83165846,1466738.86670314,1058105.28312768,705806.204729784,438634.672033548,213568.460104545,97108.7327118105
"AGOr205",108487.290164184,149561.85519301,80726.8673326831,53140.2660264266,35528.2371532779,37421.4810032279,33713.8097651057,22141.8225620844
"AGOr206",441706.292462375,594800.099532383,335780.159426967,204069.787132259,177106.545948771,147060.967470221,84362.0975533,57888.4084737236
"AGOr207",245993.871644605,364683.525304059,160016.894279377,115810.687616793,64664.5022746852,65992.3460982161,67783.6508637257,44098.9779185381
"AGOr208",219408.945255953,277848.483310955,129077.632988512,107742.32784144,77284.208585528,58003.6278693634,41161.0058079311,23493.533140317
"AGOr209",461107.668109142,708535.050738188,381965.192988367,245226.636037445,192671.796892221,164577.734437184,75779.6047348674,54607.6970625849
"AGOr210",475881.77345599,659181.026572438,361547.950328702,210912.441777063,142603.659963203,130512.424977455,78543.1250503934,57424.7268747554
"AGOr211",338209.917354149,502612.977365675,235208.669129962,142055.112193394,93481.0661900947,104532.397201261,61886.7260587076,41086.0385067567
"AGOr212",199724.703878378,271019.765519689,133146.6639827,101323.408543532,58792.9870052991,62294.0662341989,55217.4746098134,27347.92812639
"AGOr213",124979.402532933,160305.568386115,107969.273106555,63677.0253515672,30985.2902020117,32199.3714870594,29085.0226173166,18575.4623164428
"AGOr214",109563.896913668,175790.530364976,99768.6805123584,70243.9826189571,35337.4719709811,25075.6347592508,19106.1005628761,12162.7557969332
"AGOr215",603653.353682476,945105.124074754,491406.872403548,273389.327521366,188209.345015065,153117.84227086,122862.656977114,71377.9080548171
"AGOr216",266059.048776528,350958.188394977,201059.132893245,116930.802142125,72247.1848924423,53342.1098627595,44365.4728213594,54070.3202165626
"AGOr217",138038.609286649,188805.909953025,92707.5162614162,63061.8878116072,42398.3713178955,33147.0228467329,19499.4756613424,14676.3026613321
"AGOr218",90281.5913175383,117714.373428569,94354.5702678009,65537.2028841201,29489.2467535665,21135.3532165237,17216.8518637639,12480.252968118
"ARMr101",6351.56487987014,17424.1132637849,17593.4827642373,22223.7127750312,14583.7330435619,20109.7466248076,16678.1333280549,16245.812020652
"ARMr102",16222.7742408107,35855.3609927588,33011.7748907914,42060.5321532144,31309.3790330467,34040.9745606068,38537.6285956196,28971.5951331517
"ARMr103",22265.2407957442,38781.2954205785,41995.6400641337,46681.0481865884,32790.9192418996,42939.0105394311,35256.1704587213,30246.5700929032
"ARMr104",7257.805613358,27638.278028234,30542.9949437721,30609.5635125121,24997.1975843534,30924.003457535,29038.3562331484,29571.725827087
"ARMr105",11225.5743964963,18455.8466067022,24187.3185706628,29165.2676523146,18334.1535997674,35817.3839198962,38607.5628507856,33706.509003375
"ARMr106",18033.3306868155,28646.4848565397,23566.4967157444,36690.5045964869,25110.3900961181,28166.0171258818,28113.6429957507,21272.4827266627
"ARMr107",17452.256330715,30014.0222916547,28020.4201404535,34818.8847506961,25282.2582878248,35059.22369829,33614.9058535964,29219.3188467696
