"GDLcode","X1","X2","X3","X4","X5"
"AFGr101",5460284.93759229,302887.54229202,1042529.5907496,546392.62212818,325501.495237908
"AFGr102",873738.088026142,49203.8323652783,130342.193470813,33735.1157089957,23533.9994287715
"AFGr103",2682686.81976919,117755.969837113,318378.597759325,126216.139902017,74187.7247323567
"AFGr104",3717267.03698171,198046.974952947,482564.428984198,213163.699090866,113167.45399028
"AFGr105",3976996.55637995,184860.115155709,493407.500761104,159725.575503426,91686.0381998088
"AFGr106",3383227.42798906,83695.3296193511,207194.605730359,76311.154311322,22318.7183499079
"AFGr107",2887930.12650615,110460.764180768,305746.807413529,115393.745672625,43218.9642269297
"AFGr108",4098614.68587083,147769.005765208,338661.604650716,103553.92245338,84473.0342598622
"ALBr201",38877.8362457089,40224.303859932,22731.6227990982,19546.4006150658,9912.97048019512
"ALBr202",43420.5318937339,43209.4657094764,15719.9217801226,16507.947839909,8273.42027675804
"ALBr203",81966.6982304662,66560.9389514449,32547.1521150937,51475.1661211022,42381.3960818931
"ALBr204",86521.4285293354,107125.27147905,29985.2826125885,36433.7634666281,24769.7262123981
"ALBr205",84484.5602001163,96697.3782420334,46578.7965039479,42989.0585348565,27785.6348190459
"ALBr206",18837.5054648944,17753.6420513502,6485.79320234162,13545.6415614803,9090.43930993352
"ALBr207",55685.7703071553,73919.5399244463,26769.062033237,37011.3092808692,21862.2963542922
"ALBr208",22740.3754068208,26529.0063768313,11324.5444639688,11946.2097524246,8027.98695995448
"ALBr209",41632.4475846946,42427.1791242483,19581.2963147231,19788.2891549744,12873.8448213597
"ALBr210",63047.1338454778,53692.6959962464,28932.5172489028,34717.5134330636,27629.1857763093
"ALBr211",200493.904286556,166298.859304043,106608.218270317,180122.252091975,215882.641247109
"ALBr212",50194.3477633347,42191.2284982904,20185.1049944227,39366.0146278577,23354.9334160944
"AGOr201",487195.106099669,39609.5580297392,170079.282904147,79457.7552411745,34163.8387252708
"AGOr202",442188.555144515,28139.7150663352,151211.734439161,42876.4070796017,15386.0029703874
"AGOr203",1194669.72958473,34202.6358520119,240128.591080903,41599.0709790449,10649.6315033103
"AGOr204",4123755.71490401,331673.823981414,1859733.53494838,612185.493889113,450347.840277083
"AGOr205",412650.013219125,21177.4438500594,68426.8565527249,11985.7800535082,6481.53552458216
"AGOr206",1781992.77621436,70280.9441969492,163650.070041586,14481.232464731,12369.3350823763
"AGOr207",913756.340841591,30044.1834244626,138049.946770193,35959.0691072979,11234.9158564559
"AGOr208",777303.347265973,33404.7373177527,90178.7015095811,19876.278886716,13256.6998199767
"AGOr209",1749142.65627262,62895.8453351151,370732.730166517,60776.8082857186,40923.3409400305
"AGOr210",1706342.58117486,75930.8760160932,263053.739788971,46727.4761712173,24552.4558488581
"AGOr211",1318403.70476547,42679.6655141214,130563.314820106,24450.7051871173,2975.51371318426
"AGOr212",747942.085581455,31504.6098973794,93156.4320149467,25725.2525771066,10538.6178291116
"AGOr213",471421.877355646,16415.1300839445,64667.1878363911,11538.9298257624,3733.29089825629
"AGOr214",391569.596563713,20803.9348471004,97858.6247765414,18791.6513816405,18025.2459310048
"AGOr215",2324496.85439425,97883.6688649847,335689.890891618,58543.9831392457,32508.0327099008
"AGOr216",957321.615974207,49349.2379460852,129765.120447628,17227.9664428956,5368.31918918401
"AGOr217",462116.570181216,22286.1039603907,82614.2469942695,16701.7803690858,8616.39429503765
"AGOr218",362701.114870158,22201.6736896839,48349.5239092988,10484.8926600674,4472.23757079172
"ARMr101",15585.4190015986,1782.3848406152,19130.2102907337,61869.4869480387,32842.7976190139
"ARMr102",37555.8035603976,6067.28977620869,51571.775013621,98809.5406825727,66005.6105672
"ARMr103",49332.171189705,6030.38788040042,62309.1739917599,100026.589014967,73257.5727231675
"ARMr104",24241.881076559,4785.0313663843,37149.4753625882,104817.021479288,39586.5159151807
"ARMr105",24075.031242783,3126.90647213031,30806.8539764124,88180.0250667646,63310.7998419096
"ARMr106",36011.5680415082,3851.86888167319,27737.8351871508,70438.4785797354,71559.5991099324
"ARMr107",34750.9851683919,3181.51834154048,30553.2370903549,79195.7800993626,85799.7695003502
"ARMr108",12129.6327787431,2017.4830803405,17701.7943859949,46015.3954200424,37486.2796348791
"ARMr109",6452.98919649634,899.531575354274,5699.94298707459,16637.3034323821,16203.6914986927
"ARMr110",16650.5571783548,2435.57131025724,20507.811344091,30249.3768938394,37393.4662734575
"ARMr111",137168.154284349,14780.2404428972,108217.80805826,235664.147332727,571990.966881768
"BGDr201",1937436.02880774,399003.812613372,1035017.11256413,291223.780322038,512309.813692716
"BGDr202",2688190.94258529,430247.271682545,781449.532638357,174505.67657434,294001.831519472
"BGDr203",4296551.61125009,642284.859092973,2106822.01708239,490273.957721272,767789.482853279
"BGDr204",2005795.03635264,191571.033980788,481364.73090617,75235.4059306591,180541.506829742
"BGDr205",808689.727517241,66327.6006311637,299436.129813722,79545.5828406803,93690.7791971926
"BGDr206",4213991.54532002,514560.254648195,1449219.02709589,305725.270383211,349504.281552683
"BGDr207",6445379.31289036,1005036.10693432,2627686.90487128,588535.409711041,805791.485592996
"BGDr208",6932324.77270571,1059256.01477719,3050096.70185155,676139.399530401,2299131.72113515
"BGDr209",5169391.30986267,920937.888529243,2822570.64232332,384185.905620756,1139920.25366402
"BGDr210",5013843.25686117,510465.844653672,1484481.25490834,198234.740289959,550479.53228686
"BGDr211",7541563.41437953,938025.264721248,1829447.94189643,319214.344414329,572120.484588466
"BGDr212",2893342.35702467,242673.697802458,1042887.37657086,155647.105085161,336818.166516848
"BGDr213",3386473.88856238,308212.231566407,1099963.39215875,171230.773426285,276209.006286185
"BGDr214",2948435.38007352,499021.838464783,1500872.47444503,390519.221247485,594335.922769174
"BGDr215",2679852.13681036,222988.899098118,1219456.71736133,169971.334959898,454958.878770296
"BGDr216",3403126.1140053,295842.748980664,1471816.77786948,153944.309543897,503842.344600665
"BGDr217",4136828.70800491,596136.784698164,1615002.38621766,288999.467713291,742566.539365978
"BGDr218",4928370.12416055,513456.484228846,1566543.12332767,181683.783352845,714413.679930084
"BGDr219",4127772.79334514,574140.809411663,1484794.43286874,338003.64741202,668667.568962444
"BGDr220",4389325.84944253,459418.719414494,1912636.14191434,241525.49833308,717369.217895557
"BGDr221",4146316.22438984,492655.39076756,1270628.18917078,231130.74504742,573765.848624396
"BGDr222",3558094.35899294,579490.767535784,1255663.77701136,223481.334338507,398756.920121408
"BGDr223",3580807.62934184,515267.18217342,654381.438576482,70364.6222845494,213242.951623706
"BENr101",1295192.15801185,19078.5633583428,166913.657685384,5559.69621297324,11745.8597314454
"BENr102",1559830.41857903,49660.4686212264,428040.719385042,29873.0969369577,119143.130477741
"BENr103",2065802.74498935,27225.2682601212,196021.975722711,7181.28547627612,23411.3635515448
"BENr104",1011927.63580938,22873.5380931342,226403.930587485,7923.34136346598,20067.5071465329
"BENr105",1512925.7893806,24251.1088089182,311495.529238978,6052.14277802985,39697.1887934771
"BENr106",1407492.82347348,19003.1779744959,266066.488293277,5732.13965961942,21659.2565991325
"BDIr101",2856662.86296762,213463.335407676,255540.273756413,11413.7151968167,7773.54167147856
"BDIr102",1064470.14530655,86429.43310301,197298.753960661,9504.32155999111,5759.97006978325
"BDIr103",1111884.35206801,97022.3697186449,136181.435381331,5633.69214075268,5032.74369125937
"BDIr104",1819965.8417896,197528.699931536,387759.482184122,11803.6703259451,66883.5137688023
"BDIr105",1725109.96572077,202708.933478098,226703.185736882,6420.01436812756,9037.53269612593
"KHMr101",541805.189692308,38529.7325131124,160064.310744441,18294.6524426766,12400.477707462
"KHMr102",1232501.97277405,104916.368072419,326973.549574729,26334.9399690814,30373.2066097163
"KHMr103",336132.205688856,31594.6046675601,105520.421734157,15587.4256098601,12211.589099567
"KHMr104",496888.283422905,48687.8929392565,201546.45454589,20986.2548503334,10835.2219416152
"KHMr105",485827.786846187,40972.9770842499,117986.427774345,11042.2602730651,16281.5033221527
"KHMr106",850571.381188312,75134.7551518153,383463.074957161,48445.4607853476,55334.0139173641
"KHMr107",87791.2330439397,6679.16146781443,32200.9888618235,4573.45115009458,4425.45387632778
"KHMr108",743208.848127624,81600.2692500607,512584.374511234,109973.001926116,265071.683184965
"KHMr109",649359.522606715,51987.8798830389,222003.465263641,14965.3167401863,10129.9847064192
"KHMr110",300213.657614083,26222.7006516259,71109.7529106394,10727.6016732103,4307.41295044147
"KHMr111",315912.868513873,23698.5016197613,117315.5840674,13182.1690150554,11862.5368839101
"KHMr112",533389.053709406,45129.7482037143,245942.073682254,28023.3828901487,28481.3536144767
"KHMr113",922035.724971735,91891.9110181324,353945.41407432,51277.2842375901,42958.6836982228
"KHMr114",576146.122509356,49033.8851444307,218045.786970168,26331.9996405854,25417.1491354598
"KHMr115",564470.342083418,29067.7600482235,111836.514653112,11498.8720329598,9605.21038228693
"KHMr116",229934.719067165,9945.73676827432,50012.2812675229,5764.77435675869,4660.36074027935
"KHMr117",1153807.63820556,74192.2087279051,254651.3461989,42226.6717311881,29227.8981364517
"CMRr101",895292.504725304,62150.081768177,170983.372752774,7505.21268565659,27729.7890680876
"CMRr102",2055902.37022684,559775.320111013,1531761.73481723,174569.940412442,384559.166432471
"CMRr103",577147.269161759,84239.4701982438,213685.087581127,13566.0036044754,17108.427954395
"CMRr104",3268378.87212053,146565.685196893,445959.802881222,22684.741249797,30321.7945515574
"CMRr105",1433385.0726206,428750.097414201,1334962.60251567,193122.393344578,327661.242104952
"CMRr106",1963643.14146556,104150.14503798,259641.607974344,20773.8280004697,25642.0085216424
