"GDLcode","X1","X2"
"AFGr101",4659272.29121455,3018323.89678545
"AFGr102",204846.426183482,905706.802816518
"AFGr103",1513986.98450399,1805238.26749601
"AFGr104",2112744.33878478,2611465.25521522
"AFGr105",1728228.81125057,3178446.97474943
"AFGr106",1838924.79523511,1933822.44076489
"AFGr107",787941.937805331,2674808.47019467
"AFGr108",2005160.54457506,2767911.70842494
"ALBr201",50913.252929273,80379.881070727
"ALBr202",45904.8677116068,81226.4197883932
"ALBr203",217917.670882175,57013.6806178253
"ALBr204",116033.167013739,168802.305286261
"ALBr205",94792.5310837345,203742.897216266
"ALBr206",29828.600638996,35884.4209510039
"ALBr207",89547.9066560499,125700.07124395
"ALBr208",45702.7265959351,34865.3963640649
"ALBr209",81684.3290551552,54618.7279448448
"ALBr210",108812.111430204,99206.9348697956
"ALBr211",760546.932193258,108858.943006742
"ALBr212",121784.793664068,53506.8356359322
"AGOr201",655979.732823062,154525.808176938
"AGOr202",371635.896910525,308166.517789475
"AGOr203",653544.438753999,867705.220246001
"AGOr204",7007430.38196828,370266.026031718
"AGOr205",105873.11761833,414848.51158167
"AGOr206",330062.99288877,1712711.36511123
"AGOr207",555288.933158703,573755.522841297
"AGOr208",472918.025431402,461101.739368598
"AGOr209",1247909.22678295,1036562.15421705
"AGOr210",691666.460285584,1424940.66871442
"AGOr211",235753.541078211,1283319.36292179
"AGOr212",378635.698250218,530231.299649782
"AGOr213",305130.266631564,262646.149368436
"AGOr214",352635.364324996,194413.689175004
"AGOr215",1048725.67464243,1800396.75535757
"AGOr216",288802.697074118,870229.562925882
"AGOr217",482608.750984284,109726.344815715
"AGOr218",257281.815293018,190927.627406982
"ARMr101",19419.1834712674,111791.115228733
"ARMr102",69298.590099252,190711.429500748
"ARMr103",84874.3164873805,206081.578312619
"ARMr104",37961.4417280276,172618.483471972
"ARMr105",158556.07494528,50943.5416547202
"ARMr106",105981.698860859,103617.650939141
"ARMr107",159933.288556479,73548.0016435211
"ARMr108",50364.3947544954,64986.1905455046
"ARMr109",13802.1160928245,32091.3425971755
"ARMr110",29752.4191319167,77484.3638680833
"ARMr111",984398.563553893,83422.7534461072
"BGDr201",2307847.12479439,1867143.42320561
"BGDr202",2256357.88169295,2112037.37330705
"BGDr203",5537080.05002378,2766641.87797622
"BGDr204",2240208.82232522,694298.891674775
"BGDr205",514442.188855458,833247.631144542
"BGDr206",4200186.07976383,2632814.29923617
"BGDr207",5540788.9453978,5931640.2746022
"BGDr208",8734846.98644508,5282101.62355492
"BGDr209",6072937.42524778,4364068.57475222
"BGDr210",3473580.17077414,4283924.45822586
"BGDr211",5341684.89225097,5858686.55774903
"BGDr212",2437875.37962243,2233493.32337757
"BGDr213",2759552.28860037,2482537.00339963
"BGDr214",3268088.73776921,2665096.09923079
"BGDr215",2090810.47432631,2656417.49267369
"BGDr216",2434227.27174221,3394345.02325779
"BGDr217",3556480.45726114,3823053.42873886
"BGDr218",3936771.33517549,3967695.85982451
"BGDr219",3397112.15138646,3796267.10061354
"BGDr220",3360764.92383537,4359510.50316463
"BGDr221",3458207.06567092,3256289.33232908
"BGDr222",3502167.77054065,2513319.38745935
"BGDr223",3194554.3409315,1839509.4830685
"BENr101",271588.32854641,1226901.60645359
"BENr102",1449579.73084627,736968.103153728
"BENr103",359004.13960428,1960638.49839572
"BENr104",392065.141393914,897130.811606086
"BENr105",1137624.19652699,756797.56247301
"BENr106",544789.741183523,1175164.14481648
"BDIr101",220728.442507082,3124125.28649292
"BDIr102",265099.995313955,1098362.62868605
"BDIr103",68598.4670477642,1287156.12595224
"BDIr104",1048821.31216451,1435119.89583549
"BDIr105",90153.7123769367,2079825.91962306
"KHMr101",254291.506015414,516802.857084586
"KHMr102",491987.137679988,1229112.89932001
"KHMr103",94690.5480334295,406355.698766571
"KHMr104",128175.945472494,650768.162227506
"KHMr105",159745.546122315,512365.409177685
"KHMr106",537671.231680744,875277.454319256
"KHMr107",95054.7172224457,40615.5711775543
"KHMr108",1281709.70174403,430728.47525597
"KHMr109",172655.387883682,775790.781316318
"KHMr110",81597.3040981871,330983.821701813
"KHMr111",58075.6581247467,423896.001975253
"KHMr112",132735.123079299,748230.489020701
"KHMr113",607861.203879158,854247.814120842
"KHMr114",230407.03876625,664567.90463375
"KHMr115",140431.949760154,586046.749439846
"KHMr116",84662.4139177468,215655.458282253
"KHMr117",510455.869967722,1043649.89303228
"CMRr101",439038.302731803,724622.658268197
"CMRr102",2188666.06392144,2517902.46807856
"CMRr103",257626.354112012,648119.904387988
"CMRr104",585536.335526021,3328374.56047398
"CMRr105",2774149.64228677,943731.765713231
"CMRr106",480992.762423042,1892857.96857696
"CMRr107",492786.687455173,1495809.14554483
"CMRr108",473579.059282559,1413592.46671744
"CMRr109",255083.909483901,537300.719316099
"CMRr110",930537.423673695,646192.650326305
"TCDr101",974472.098234739,249486.130765261
"TCDr102",383769.583193565,1306777.92580643
"TCDr103",166811.682975267,1500878.01702473
"TCDr104",311371.589657809,2057107.96734219
"TCDr105",155401.511979738,1263537.16202026
"TCDr106",78660.7696397406,1554210.31236026
"TCDr107",373527.200761951,2244644.94523805
"TCDr108",266325.089970593,1231340.18302941
"CODr101",7191406.67273795,878745.376262049
"CODr102",1160618.76896737,2192863.24503263
"CODr103",2039990.26535028,4534607.50664972
"CODr104",2055720.6518443,5723957.2431557
"CODr105",3079564.05315428,6344712.77884572
"CODr106",2488420.61330369,3963511.54669631
"CODr107",1420722.89306039,3086124.99493961
"CODr108",1083086.73357283,1058475.75242717
"CODr109",4739625.80727448,10337295.5227255
"CODr110",2749308.1062992,4146269.1237008
"CODr111",2961339.0152499,5406508.5237501
"DOMr101",3699087.71873369,306556.493266312
"DOMr102",903414.534782132,243531.454217868
"DOMr103",1409413.04678523,172706.721214767
"DOMr104",562690.405889849,103577.689810151
"DOMr105",301163.886184489,104031.206715511
"DOMr106",966555.014442864,87365.3855571355
"DOMr107",185372.8263786,110007.0622214
"DOMr108",371334.867285318,59057.0592146821
"DOMr109",656548.18353269,88108.7241673102
"EGYr101",9488925.26934287,45790.5206571295
"EGYr102",5198257.63010643,59108.3788935668
"EGYr103",687747.181001276,41540.6995987244
"EGYr104",581655.766835706,2773.09066429419
"EGYr105",1432250.23335222,77430.7636477845
"EGYr106",5429024.03788509,1230745.03611491
"EGYr107",5514622.60440367,1674763.21859633
"EGYr108",5142341.62244731,492205.474552686
"EGYr109",2766265.81621577,767484.228784225
"EGYr110",4587479.14752833,713602.736471674
"EGYr111",3482819.59468041,906099.21631959
"EGYr112",4962957.18197712,1416266.81102288
"EGYr113",1168757.79998389,113152.878016109
"EGYr114",9184174.93341387,286851.970586134
"EGYr115",2706071.80684981,436909.311150191
"EGYr116",2748247.1710281,748835.336971899
"EGYr117",4561063.78266545,1116098.00633455
"EGYr118",3907274.91052066,769123.265479335
"EGYr119",3473000.2025666,1599568.5064334
"EGYr120",3866381.11712158,1057730.45087842
"EGYr121",1028048.04861564,308164.184384355
"EGYr122",1438935.85677368,255177.819226321
"ETHr101",1737331.00205069,4345059.83294931
"ETHr102",1199754.74462871,644346.806371288
"ETHr103",4066321.27889878,18500298.6211012
"ETHr104",6682207.49038411,31519077.1796159
"ETHr105",3625612.64636229,2443922.83863771
"ETHr106",218354.663660146,885154.638339854
"ETHr107",1702804.1943754,19199682.3256246
"ETHr108",193318.571031914,309081.198468086
"ETHr109",122542.079358845,132711.891841155
"ETHr110",4107380.81653093,177238.933469069
"ETHr111",285605.134847475,180379.474552525
"GMBr101",31455.2429246448,1505.89831535518
"GMBr102",325203.32566394,32472.5326360601
"GMBr103",658427.645964083,294591.529835917
"GMBr104",20736.5076270876,70816.3152929124
"GMBr105",75050.4058856511,186004.558614349
"GMBr106",25160.376368086,230359.013431914
"GMBr107",721.025119147347,2777.54594985265
"GMBr108",43340.6974689122,237107.424131088
"GHAr101",1443204.36496874,1285490.40403126
"GHAr102",1340153.1424024,1271269.2985976
"GHAr103",3932833.04996853,672488.340031466
"GHAr104",1072271.40399624,1382069.57100376
"GHAr105",1512322.46404456,1396898.73695544
"GHAr106",3850484.52617424,2053754.81182576
"GHAr107",886254.780989808,1720020.05101019
"GHAr108",1026620.1740508,1989261.6939492
"GHAr109",140358.756690957,635851.961109043
"GHAr110",207945.512588446,917988.154411554
"GTMr101",3004728.70123932,309427.838760685
"GTMr102",770376.623455432,769913.403544568
"GTMr103",863316.584549805,381171.101450195
"GTMr104",789432.390603498,400423.779396502
"GTMr105",1353473.91239442,413013.926605576
"GTMr106",2252595.94883509,1623552.91416491
"GTMr107",802898.012000051,1527578.06499995
"GTMr108",504086.200885125,223559.913514875
"HTIr101",1793519.62486624,1405685.31313376
"HTIr102",120034.715356112,513253.730743888
"HTIr103",335638.354309865,765002.898690135
"HTIr104",128992.134503079,288712.881696921
"HTIr105",499875.821591808,1372785.64840819
"HTIr106",219177.41185272,568597.67304728
"HTIr107",137401.413917688,630001.381282312
"HTIr108",129146.97478492,691028.72711508
"HTIr109",227834.721587627,534062.468212373
"INDr101",35685489.1421399,16582949.8378601
"INDr102",18196953.4858868,15430678.2841132
"INDr103",64495557.4046968,51796698.3953032
"INDr104",1323974.69003763,184860.600962374
"INDr105",39841114.7846473,26756898.2853527
"INDr106",18140511.049231,9606884.65076897
"INDr107",2124024.15979746,5271798.90420254
"INDr108",4505610.32624754,9352828.54375246
"INDr109",40234311.4938541,26122346.2361458
"INDr110",31339982.1585239,5813166.82147605
"INDr111",38810751.3266208,40768500.9533792
"INDr112",75164228.6180093,45958421.7819907
"INDr113",2281939.24246034,923857.868539655
"INDr114",2409437.64717028,1070168.16982972
"INDr115",742668.889835607,513390.375164393
"INDr116",1096303.03265956,1055257.10934044
"INDr117",21346122.6639455,23869977.1760545
"INDr118",22003038.103134,8021673.53686595
"INDr119",33139548.7047919,42591654.0352081
"INDr120",308349.429730543,334119.484469457
"INDr121",62773738.296424,15583585.313576
"INDr122",67343767.6724489,30240856.7575512
"INDr123",94463892.2235988,125073095.676401
"INDr124",16659526.344048,1582025.33595198
"INDr125",687205.393295711,855986.826704289
"INDr126",3121934.75144166,932861.265558336
"INDr127",6468629.20666075,4725750.12333925
"INDr128",14735979.1674644,21996739.5625356
"INDr129",11527367.2066001,16404496.5733999
"INDr130",23845562.1103213,14122117.9696787
"INDr131",713159.994791149,140811.825008851
"INDr132",326758.229478566,166477.566921434
"INDr133",1143036.74435413,56198.7566458697
"INDr134",147441.778436778,13428.0367632223
"INDr135",42528.422373453,6573.42976654703
"INDr136",328207.145843737,43651.585556263
"IDNr101",2534638.19431677,2088388.82268323
"IDNr102",8818357.38602883,4916057.43397117
"IDNr103",3445074.77631819,1721590.57368181
"IDNr104",4420733.61967182,2258203.41132818
"IDNr105",1585062.04590533,1914880.39309467
"IDNr106",4171347.96769109,3719247.55930891
"IDNr107",749655.150196397,1074989.6848036
"IDNr108",4175346.04028644,3934517.66871357
"IDNr109",776790.840066056,609132.400933944
"IDNr110",9547210.99497506,451789.087024937
"IDNr111",38684244.2974877,9264078.67251231
"IDNr112",20619284.1465632,12636526.4634368
"IDNr113",2091417.87414153,1584976.15785847
"IDNr114",26184902.2518338,12567462.0181663
"IDNr115",10512220.7657328,1709365.04426715
"IDNr116",2822059.67091852,1432055.78008148
"IDNr117",3264841.81851459,1532792.70448541
"IDNr118",1590563.38660394,3438280.39939606
"IDNr120",2030733.2519795,2717231.2050205
"IDNr121",1111243.27619207,1344120.24380793
"IDNr122",2408435.49881879,1567966.22918121
"IDNr123",2568708.90179659,1574726.00120341
"IDNr124",1240092.50558696,1140865.02341304
"IDNr125",1106709.2576465,1620327.2893535
"IDNr126",4288181.76150175,5530225.99949825
"IDNr127",925776.304093564,1480232.17290644
"IDNr128",645403.832226974,495440.545773026
"IDNr129",1055060.40492364,1488934.63007636
"IDNr130",3081186.8579235,3831232.3620765
"KENr101",2267158.10282611,1910759.72617389
"KENr102",1487980.81396745,3360033.71203255
"KENr103",1730337.54973923,2291648.54526077
"KENr104",959686.815232575,5547421.89176743
"KENr105",881629.298682856,5365690.90731714
"KENr106",3768892.49385473,8688817.26614527
"KENr107",589511.261000488,4416233.88099951
"KENr108",3366560.89955256,339209.61644744
"LSOr101",52919.3479258289,70346.2942741711
"LSOr102",166969.068604363,156091.704795637
"LSOr103",144895.529112206,161428.376487794
"LSOr104",321357.29687888,166274.24682112
"LSOr105",81170.7492623228,128126.285537677
"LSOr106",68221.3984165887,114609.883883411
"LSOr107",65535.2450980129,72107.6476019871
"LSOr108",38832.4983473939,41132.6789126061
"LSOr109",45553.4845701226,77201.6806298774
"LSOr110",51386.3449479437,92138.1939520564
"MWIr101",687453.678013151,519184.83398685
"MWIr102",218467.051280439,584651.600319561
"MWIr103",78953.1920407855,573940.191359215
"MWIr104",173044.067240744,854843.232759256
"MWIr105",278014.147858242,860381.032141758
"MWIr106",81675.7700191257,370270.749080874
"MWIr107",165358.800388591,594552.647611409
"MWIr108",127793.442819326,686666.429680674
"MWIr109",732136.939762319,1863602.14523768
"MWIr110",127740.215744335,518252.341355665
"MWIr111",249099.812630242,841830.785369758
"MWIr112",452074.376857792,2989852.65114221
"MWIr113",380898.682615444,1892356.54438456
"MLIr101",535779.722204862,1914754.28579514
"MLIr102",1025376.8594395,2174374.1025605
"MLIr103",644243.516980418,2693959.82201958
"MLIr104",474255.532399975,2353491.13560002
"MLIr105",268830.450916481,2188871.79008352
"MLIr108",1888003.90859884,289425.450401159
"MMRr101",1028659.66056207,685691.992437929
"MMRr102",107545.174291871,184969.000608129
"MMRr103",965066.599495249,552246.983504751
"MMRr104",336159.628944155,215026.518355845
"MMRr105",2279814.69467912,3330680.40932088
"MMRr106",822732.647047987,527506.389952013
"MMRr107",3071535.71043705,1898569.42356295
"MMRr108",1930903.04053752,2036321.71446248
"MMRr109",4110664.74785705,3103934.51214295
"MMRr110",1275959.92648459,771177.103515409
"MMRr111",1229645.63708067,719892.221919328
"MMRr112",6581932.22674295,990504.147257048
"MMRr113",2501970.50606056,3545114.95993944
"MMRr114",3974081.49973914,2293331.44726086
"NAMr101",30115.5252490441,67808.1965309559
"NAMr102",142713.920788024,32349.9297119758
"NAMr103",69914.4399933399,15878.7077266602
"NAMr104",68279.8342329959,18052.4354570041
"NAMr105",297278.826250728,91382.0747492722
"NAMr106",69541.5445082194,26001.4922417806
"NAMr107",29056.2217354985,227095.215464501
"NAMr108",98444.5223937399,136925.35840626
"NAMr109",53693.4017602425,20033.7394697575
"NAMr110",13316.4112731962,239935.402326804
"NAMr111",69911.5838019592,117372.717898041
"NAMr112",40416.3282491899,154366.26235081
"NAMr113",116695.11157786,33781.74062214
"NPLr101",1499975.46117007,4707897.56382993
"NPLr102",3016934.08679708,7371987.95320292
"NPLr103",733940.87095227,4047401.32704773
"NPLr104",325325.666092268,3024766.50390773
"NPLr105",287740.564323997,2623353.418676
"NGAr101",1823098.81369502,3623691.51330498
"NGAr102",3249643.82252788,2470923.01247212
