"GDLcode","X1","X2","X3"
"AFGr101",1282314.43941182,37395.0893658284,6357886.65922236
"AFGr102",440082.664713654,432.583570962346,670037.980715384
"AFGr103",425325.259288182,12375.6527135598,2881524.33999826
"AFGr104",103603.231921451,941.598475428514,4619664.76360312
"AFGr105",288953.972505359,0,4617721.81349464
"AFGr106",476943.931330466,1299.33446276117,3294503.97020677
"AFGr107",572286.725541344,7925.678770861,2882538.00368779
"AFGr108",881655.914867007,0,3891416.33813299
"ALBr201",292.995482048184,1262.61561948535,129737.522898466
"ALBr202",940.482043538136,1863.59870119326,124327.206755269
"ALBr203",513.012145769013,847.480233445238,273570.859120786
"ALBr204",1022.96786928097,2687.9035747826,281124.600855936
"ALBr205",471.525484274124,760.190805464414,297303.712010261
"ALBr206",72.4326723840712,276.066009356006,65364.5229082599
"ALBr207",690.742381930746,10417.2557976321,204139.979720437
"ALBr208",3328.71209486322,1867.67473812175,75371.736127015
"ALBr209",1712.19851364631,6169.54067138416,128421.31781497
"ALBr210",626.883083234077,5107.53409861002,202284.629118156
"ALBr211",1786.28380580588,8241.54932779071,859378.042066403
"ALBr212",2167.10792342855,923.228672561976,172201.29270401
"AGOr201",75510.6976611405,503.506532024199,734491.336806835
"AGOr202",289987.354916752,0,389815.059783248
"AGOr203",1250643.50059384,1213.95236972343,269392.206036438
"AGOr204",388383.777902803,1356.45274165372,6987956.17735554
"AGOr205",393724.105323215,0,126997.523876785
"AGOr206",1653526.33212031,3486.59063939936,385761.435240293
"AGOr207",686075.6122221,0,442968.8437779
"AGOr208",662285.418268668,9455.72415141155,262278.62237992
"AGOr209",1169143.68731317,0,1115327.69368683
"AGOr210",1394472.03867001,0,722135.090329985
"AGOr211",1238483.08942174,0,280589.814578257
"AGOr212",728333.880530797,2749.31645609819,177783.800913105
"AGOr213",422231.331144893,0,145545.084855107
"AGOr214",297697.706814545,3561.67888081056,245789.667804644
"AGOr215",1998391.05354743,6481.56523368164,844249.811218888
"AGOr216",924324.805592046,1295.08679389685,233412.367614057
"AGOr217",330475.343319398,0,261859.752480602
"AGOr218",317747.572223927,0,130461.870476073
"ARMr101",238.393927894303,31649.3863588243,99322.5184132814
"ARMr102",3516.9444800541,37835.2784993522,218657.796620594
"ARMr103",1007.23232383338,116911.103612978,173037.558863189
"ARMr104",0,125742.802064579,84837.1231354209
"ARMr105",1098.04914043421,36058.2635508911,172343.303908675
"ARMr106",0,7144.20757501053,202455.142224989
"ARMr107",587.966534923875,84886.7915230224,148006.532142054
"ARMr108",163.2090014506,69777.6936440432,45409.6826545062
"ARMr109",301.621926707099,5237.97400762403,40353.8627556689
"ARMr110",67.9202129182586,9310.51716042915,97858.3456266526
"ARMr111",3276.87418204735,44983.8811459246,1019560.56167203
"BGDr201",2917694.03573046,25322.9949421101,1231973.51732743
"BGDr202",3908203.16446039,68406.0339812259,391786.056558381
"BGDr203",3662381.55849513,0,4641340.36950487
"BGDr204",2638258.42713521,0,296249.286864789
"BGDr205",1010805.12269599,50185.9560129188,286698.741291087
"BGDr206",5229818.38247967,78801.9995287473,1524379.99699159
"BGDr207",7889228.61942686,0,3583200.60057314
"BGDr208",1367234.70366436,134136.264447719,12515577.6418879
"BGDr209",4346479.39819952,0,6090526.60180048
"BGDr210",6304576.76262486,0,1452927.86637514
"BGDr211",9847719.86311722,0,1352651.58688277
"BGDr212",3631945.28900245,0,1039423.41399755
"BGDr213",4236052.14042717,93606.6694169191,912430.482155915
"BGDr214",4539361.95325123,7876.30637886185,1385946.57736991
"BGDr215",3352349.59435732,6040.65902532374,1388837.71361736
"BGDr216",3813815.63815812,0,2014756.65684188
"BGDr217",5489594.05872539,0,1889939.82727461
"BGDr218",6266232.32257634,0,1638234.87242366
"BGDr219",5840005.47299939,0,1353373.77900061
"BGDr220",6297435.19355268,27932.7303435031,1394907.50310382
"BGDr221",5692495.79200441,4034.61974435193,1017965.98625123
"BGDr222",3864500.29513068,0,2150986.86286932
"BGDr223",4293690.12848021,0,740373.695519787
"BENr101",518717.946586643,0,979771.988413356
"BENr102",349707.183204912,56321.2040033299,1780519.44679176
"BENr103",1046835.74701963,568.794061219989,1272238.09691915
"BENr104",383434.54645731,2472.04989291278,903289.356649778
"BENr105",436055.546583921,37129.3491649108,1421236.86325117
"BENr106",663678.339859347,12204.4929106402,1044071.05323001
"BDIr101",3030645.00557399,1519.1986492861,312689.524776721
"BDIr102",1080568.59305568,0,282894.030944324
