"GDLcode","X1","X2","X3","X4","X5","X6"
"AFGr101",3759.42243493739,42890.0700978979,502948.421978908,1269361.48392388,3788669.53338346,2069967.25618091
"AFGr102",344.594749228242,10050.4162851389,62480.8563276897,228399.081348679,555652.530698721,253625.749590543
"AFGr103",0,11096.3239312674,105773.183300986,321164.018708636,1319383.11216236,1561808.61389675
"AFGr104",1091.03010765486,20578.0977604706,265498.109746276,784800.688862319,2281269.55439521,1370972.11312806
"AFGr105",636.801560773178,40071.834903192,287792.170074181,856618.558292577,2435883.41073078,1285673.0104385
"AFGr106",453.161334607497,10969.7825586851,99497.7315003089,374007.657688482,1660697.11460926,1627121.78830866
"AFGr107",0,3818.67343488882,49414.645509844,259210.123981909,1610695.59136529,1539611.37370807
"AFGr108",616.502900060518,41194.6077720179,344173.814834033,955505.070553001,2286985.74901889,1144596.507922
"ALBr201",3425.88944171517,26250.7938616903,53852.5167749806,38198.006450383,9565.92747123085,0
"ALBr202",1116.6741890567,13773.4869746669,48092.424236991,50439.2598147838,12635.5249431144,1073.91734138719
"ALBr203",7673.67964322682,45079.7227809701,117180.31309848,80306.6015109201,20666.5209459355,4024.51352046728
"ALBr204",6020.05707812613,46449.6395668807,125363.041987727,86747.1655203262,20255.5681469396,0
"ALBr205",6992.07237277943,55756.7221971343,130225.905007109,86149.0701671312,18665.1321964252,746.526359420363
"ALBr206",2149.64706797154,13536.9930657632,28981.211653032,16930.9927693296,3984.32560816152,129.851425742112
"ALBr207",4364.67667085772,29773.2831766002,91848.2048642618,74934.1128479987,14327.7003402816,0
"ALBr208",700.62100399327,7953.55223680512,30344.1218261481,32942.5057289839,8274.03922387523,353.282940194383
"ALBr209",3762.4315749766,21529.1951790726,47783.958588438,46330.5901630149,14611.9304933421,2284.95100115573
"ALBr210",6257.05896304901,31642.050336838,83321.3424673494,67357.6878149525,18785.2760045733,655.630713237753
"ALBr211",31306.2145779741,144132.381289487,395004.015765481,264930.886826137,30425.4968982835,3606.87984263801
"ALBr212",9995.90898416706,47396.860156176,66165.8623474206,42988.7296508136,8744.2681614228,0
"AGOr201",27540.0654828171,49444.4630888456,205780.765718843,221098.837830841,250024.286666166,56617.122212487
"AGOr202",22262.7345376064,29562.3447593383,129959.682173139,222562.866334575,256511.881563356,18942.9053319853
"AGOr203",39296.214087078,73180.0453494347,246691.638391773,460845.841527726,592825.756964081,108410.162679907
"AGOr204",100886.63693369,212136.497411207,1265025.04661875,2132385.97092202,3016650.76896938,650611.487144958
"AGOr205",23764.3540023949,40384.3672170769,125484.221942834,167931.014648561,149833.992780604,13323.6786085281
"AGOr206",66954.6038042541,129510.142271736,442952.885850679,715682.633756524,613452.454587904,74221.6377289032
"AGOr207",26999.7934993748,54817.6530641615,245177.582614476,348619.487680961,400475.569876093,52954.3692649336
"AGOr208",30114.9484265093,62627.5408706875,210897.416168295,286695.587107562,301608.566213965,42075.70601298
"AGOr209",54812.234178303,109095.361594664,456462.60326012,652463.841258855,806727.34329905,204909.997409009
"AGOr210",47830.1078085768,112934.7354401,420410.069848066,572918.571175875,771580.390117533,190933.254609849
"AGOr211",58293.652025085,88885.4076433639,310689.949930944,394876.203269629,568845.848708276,97481.8424227024
"AGOr212",42122.171635417,55850.434359115,277329.028852856,265286.407056637,236114.617171026,32164.338824949
"AGOr213",27000.9618588258,50001.9377978461,139412.781072091,173151.333857848,143315.985756855,34893.4156565334
"AGOr214",12328.6975806657,24219.0602749238,116016.413862925,147952.307989013,192935.370248564,53597.2035439084
"AGOr215",27502.8096730694,112497.124234668,584673.13551551,824895.967811242,1067870.18436242,231683.208403093
"AGOr216",17027.838505487,29021.4112570302,197498.992949744,298267.465268347,444020.226080996,173196.325938396
"AGOr217",13172.4747943405,31290.2914161524,113120.404525088,183264.278191566,195970.496597938,55517.1502749143
"AGOr218",10780.8510917277,44033.9974026192,119874.616710235,124374.353904159,117281.651588001,31863.9720032579
"ARMr101",3808.29592242783,12189.862200931,43433.8777501466,55653.6321343911,15370.201485017,754.429207086407
"ARMr102",8655.40326220554,18934.3749621218,82365.9945100916,111123.989665678,38930.2571999028,0
"ARMr103",8282.87473430524,20872.1578450398,87853.0174542417,114397.343796833,59550.5009695802,0
"ARMr104",5777.6185982562,22560.2252952252,68719.8719050578,84313.0571878649,28504.8250460162,704.32716757971
"ARMr105",14108.4353359885,37504.0106688215,73687.2942264597,62272.0657145672,21927.8106541631,0
"ARMr106",8626.27636183233,17217.1462697358,67798.6029630029,80489.8765481129,34665.101611976,802.346045340046
"ARMr107",10367.3904033704,31183.6614349593,83203.8540821356,82030.7855716946,26695.59870784,0
"ARMr108",8654.42156053633,23826.060636252,41466.9669613547,36100.6744683469,5302.46167351007,0
"ARMr109",2387.28792238697,6274.67958334414,13224.9333211824,16073.0908085817,7933.46705450475,0
"ARMr110",5799.78341356467,9228.3416288175,30731.8506450292,43972.2118125523,16487.7231549418,1016.87234509452
"ARMr111",44016.586326225,124872.333296098,416328.949982639,384269.305983982,95118.4917455838,3215.64966547177
"BGDr201",15316.2051384963,126500.791590012,1210605.94755388,1593136.04916243,1089075.07336937,140356.481185811
"BGDr202",14726.9323088999,156221.959195041,1280630.74320365,1657916.53548559,1039443.94505059,219455.139756222
"BGDr203",27847.5656426021,256515.914018601,2391334.4949981,2874240.18691081,2146812.82004964,606970.946380255
"BGDr204",2174.83667471549,69922.8874358125,630923.846459556,975620.350669774,1049199.83281204,206665.959948103
"BGDr205",2956.46026592974,22591.8267889965,615683.397063388,530714.69268714,175743.443194546,0
"BGDr206",8988.32976164853,171568.229420604,1766283.23955002,2220572.4482375,2096232.84701317,569355.285017054
"BGDr207",20731.8311538627,214313.57205279,2669740.4689398,4241292.48009083,3501202.71624377,825148.151518945
