"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"AFGr101",3759.42243493739,41491.3091632143,4021566.72382107,69884.688785021,110675.690493783,3032505.6586366,282435.325123297,115277.369542073
"AFGr102",344.594749228242,7465.89580894949,539228.630891298,26874.1597673349,16400.6570624609,473555.879023172,26748.1257571431,19935.285940413
"AFGr103",0,10230.0200826029,1479860.72789064,13224.8556524199,55060.7076858884,1625640.1040141,78265.3860907728,56943.4505835728
"AFGr104",1091.03010765486,18649.2768768539,2011768.03309066,30826.5412459351,73523.3238534116,2360875.09722466,166479.482264388,60996.8093364374
"AFGr105",636.801560773178,36920.3167859591,2481843.66345868,35173.8605068546,63186.5595635631,2134021.739385,88046.0515521321,66846.7931870354
"AFGr106",453.161334607497,9875.49190647841,1552843.14051207,9712.39413525615,21536.2364247255,2040685.10075791,112573.696126076,25068.0148028796
"AFGr107",0,3643.84499511093,972284.37964095,19947.3432965116,61527.4362388784,2233653.3325722,149337.943896036,22356.1273603125
"AFGr108",616.502900060518,37053.3586625457,2428357.12141831,34012.5638137233,68041.4937753487,2042437.10646297,89720.6495484808,72833.4564185644
"ALBr201",3425.88944171517,22279.1272615999,44575.9764861093,7714.69116197623,2663.47043423505,38535.3435319644,10852.8490670796,1245.78661532033
"ALBr202",1116.6741890567,11327.7162595202,59817.2999303259,4542.85540286933,1573.67082937643,39470.4239738095,7664.33461035981,1618.31230468215
"ALBr203",7673.67964322682,36882.485229088,119354.402127105,11707.4489857325,2523.98741937942,72879.2253507335,20294.3776730116,3615.74507172293
"ALBr204",6020.05707812613,37057.8114171085,121397.787531918,18397.5441206552,3680.46090662617,70306.9741751901,24156.234578956,3818.60249141964
"ALBr205",6992.07237277943,47325.6491516812,118811.784481094,20169.4144312435,3512.62691597441,81946.5306542858,17826.5034320379,1950.84686090413
"ALBr206",2149.64706797154,11844.7481134899,28659.1631158088,3167.48904919985,1207.53987909267,13473.7535649421,4772.37407362792,438.306725867166
"ALBr207",4364.67667085772,25244.0249292517,84115.8159959561,8968.73212384591,3932.39193543466,67990.6297808015,18091.3832206719,2540.32324318046
"ALBr208",700.62100399327,6471.63117279075,46202.1622266247,3443.28097705671,811.781031881516,19612.9834745027,2547.03337347235,778.629699678036
"ALBr209",3762.4315749766,18368.4729920314,58995.302479937,7004.97726528859,2126.44190710169,38107.5872343088,5747.63187439706,2190.21167195881
"ALBr210",6257.05896304901,26379.0428379227,104187.184273449,10348.3571541216,2759.55772871213,43349.2813810834,12491.201730025,2247.3622316377
"ALBr211",31306.2145779741,106351.684227281,405736.520408611,53665.8799001188,9497.85520466748,180859.062773855,52373.2533000645,29615.4048074276
"ALBr212",9995.90898416706,39832.9751695157,67134.3632768401,10584.9718073582,1891.5734983458,31334.6317396169,11110.5666365809,3406.63818757536
"AGOr201",27540.0654828171,15166.3807934904,262853.065682032,83080.8869842083,19375.7957236182,252628.757488992,113017.306681052,36843.2821637904
"AGOr202",22262.7345376064,13870.0760584272,245560.124429954,56562.9104362153,16886.3722301138,220569.32016914,82972.5462232185,21118.3306153248
"AGOr203",39296.214087078,27863.4923424721,589518.233433311,173426.204544894,28315.2068723725,448824.433574491,166777.763875357,47228.1102700249
"AGOr204",100886.63693369,104210.50662313,2748259.75053904,411946.945885294,66828.5610661608,2751700.51443024,1006620.9112033,187242.581319155
"AGOr205",23764.3540023949,23274.1025783061,219337.259354466,78830.1896729236,10732.0261592088,96012.7050810467,48540.2979296074,20230.6944220467
"AGOr206",66954.6038042541,75880.4171349057,1098254.05365362,230662.067470638,28317.1851388263,365291.82712589,114542.123452358,62872.0802195107
"AGOr207",26999.7934993748,31999.2096604583,430882.899047651,155719.187469596,30824.6521791881,283740.049114825,124287.114495745,44591.5505331618
"AGOr208",30114.9484265093,43856.0907583321,339467.386781371,144748.908151816,24158.9660876357,213410.461348251,111436.419846854,26826.5833992312
"AGOr209",54812.234178303,45750.2414347964,880962.363478963,294355.490147762,45751.6938683901,588174.625490909,298489.762034648,76174.9703662287
"AGOr210",47830.1078085768,64908.984031794,939776.186027048,339984.499934926,18230.1314242949,413342.654573088,233805.133033517,58729.4321667551
"AGOr211",58293.652025085,43623.0831678269,771799.009882436,257272.940283999,20320.4901575639,187819.596711839,133678.99079798,46265.1409732704
"AGOr212",42122.171635417,24530.2715255024,458725.09963452,125975.339916781,38470.7982841666,116181.828696695,61786.2641669543,41075.2240399635
"AGOr213",27000.9618588258,17406.5001280446,206584.466508336,109689.151636655,12820.4487926118,81303.1554097067,87730.4122901458,25241.3193756735
"AGOr214",12328.6975806657,6519.08050576612,154733.60597453,78981.3178793269,16114.5207231909,161260.559658408,83064.2788169627,34046.9923611498
"AGOr215",27502.8096730694,61985.4976574195,1089403.92929588,365618.297473389,88176.9923242516,757516.858231422,368367.393218767,90550.6521258001
"AGOr216",17027.838505487,5125.80974525062,177288.53016093,100142.822298851,36165.5328752251,363321.529303586,352713.385754178,107246.811356493
