"GDLcode","X1","X2","X3"
"AFGr101",1604709.20271748,4174670.35023467,1898216.63504785
"AFGr102",119037.200656009,983767.557096678,7748.47124731311
"AFGr103",1005572.4788181,2000566.30252232,313086.470659588
"AFGr104",152691.639010705,4229762.52517658,341755.429812712
"AFGr105",839843.810209665,3664239.06329106,402592.912499277
"AFGr106",2507203.76492571,862710.901985269,402832.569089018
"AFGr107",1129751.8961175,1725136.2759069,607862.235975597
"AFGr108",149650.951380221,4084937.66161854,538483.640001243
"ALBr201",0,2245.78128744415,129047.352712556
"ALBr202",326.856873525625,4457.32010865282,122347.110517822
"ALBr203",423.498447050119,540.507391119809,273967.34566183
"ALBr204",0,27063.728869901,257771.743430099
"ALBr205",0,8104.06170022627,290431.366599774
"ALBr206",43.8409438240351,887.89410732529,64781.2865388507
"ALBr207",609.113537069953,169.403936221755,214469.460426708
"ALBr208",0,8758.0767480913,71810.0462119087
"ALBr209",88.6465495021425,1947.6121706649,134266.798279833
"ALBr210",0,5759.10489357713,202259.941406423
"ALBr211",1209.34494378038,4556.35555040092,863640.174705819
"ALBr212",475.102929318462,48390.4669552481,126426.059415433
"AGOr201",6012.86295161157,3131.80610876497,801360.871939623
"AGOr202",25033.1384976738,3674.57718190752,651094.699020419
"AGOr203",348940.282523964,5690.36062302752,1166619.01585301
"AGOr204",51796.805222875,5782.46043030352,7320117.14234682
"AGOr205",8723.42000878763,525.988995525376,511472.220195687
"AGOr206",361710.119652633,8135.72789570056,1672928.51045167
"AGOr207",84090.0029756741,17756.4086181793,1027198.04440615
"AGOr208",80173.5750807226,381.126680999052,853465.063038278
"AGOr209",262591.729032765,33146.4563551361,1988733.1956121
"AGOr210",98234.5358789197,14513.9786279356,2003858.61449314
"AGOr211",157482.356255381,2040.56479189623,1359549.98295272
"AGOr212",149401.721097684,7793.37356230729,751671.903240008
"AGOr213",58024.0489862457,12057.213261165,497695.153752589
"AGOr214",181071.375262405,2067.41504083492,363910.26319676
"AGOr215",553816.218865333,35209.248921478,2260096.96221319
"AGOr216",772920.689205916,6848.76017804591,379262.810616039
"AGOr217",13426.4462671004,1495.60223018581,577413.047302714
"AGOr218",9149.22303117846,1304.32353815639,437755.896130665
"ARMr101",328.236923849388,0,130882.061776151
