"GDLcode","X1","X2","X3"
"AFGr101",1819236.80009327,2225574.4979486,3632784.88995813
"AFGr102",536973.388091125,558147.080058428,15432.7608504476
"AFGr103",1311163.61625905,1171044.47555695,837017.160184003
"AFGr104",1663367.04494208,1652358.40041559,1408484.14864233
"AFGr105",2844356.62465884,1216307.90569226,846011.255648898
"AFGr106",2561180.75059461,416218.06781953,795348.417585859
"AFGr107",1714633.39036806,1079497.56325521,668619.454376728
"AFGr108",645331.913476252,1594890.95467289,2532849.38485086
"ALBr201",0,3963.28546236443,127329.848537636
"ALBr202",0,11784.0545526593,115347.232947341
"ALBr203",0,605.840005877258,274325.511494123
"ALBr204",0,13008.0193135214,271827.452986479
"ALBr205",505.097133415636,1430.94657760744,296599.384588977
"ALBr206",45.8246800718867,4436.04494437779,61231.1519655503
"ALBr207",0,25980.7736736642,189267.204226336
"ALBr208",0,12229.2014279597,68338.9215320403
"ALBr209",0,1327.75096489732,134975.306035103
"ALBr210",284.375662800653,2056.12837669842,205678.542260501
"ALBr211",2302.15644849886,6423.21182089745,860680.506930604
"ALBr212",0,1120.94116789233,174170.688132108
"AGOr201",7901.96188157354,99938.1882447172,702665.390873709
"AGOr202",17498.6923840683,384736.933983491,277566.788332441
"AGOr203",241639.969131003,1046313.36584378,233296.324025218
"AGOr204",6490.71974820103,275082.495357116,7096123.19289468
"AGOr205",256135.736034808,186804.979234939,77780.9139302531
"AGOr206",317686.831220778,1509843.31422787,215244.21255135
"AGOr207",88455.8194739133,846650.50200719,193938.134518897
"AGOr208",63292.5768733127,650214.786391026,220512.401535661
"AGOr209",369085.862222142,899146.807353004,1016238.71142485
"AGOr210",53145.3703858084,1569251.88091091,494209.877703279
"AGOr211",52697.6425718613,1227124.92899096,239250.332437178
"AGOr212",37365.6171982154,703444.618452091,168056.762249694
"AGOr213",82706.6076858957,365626.615599675,119443.192714429
"AGOr214",170528.729397999,166042.509103732,210477.814998269
"AGOr215",453551.768099745,1839144.30666388,556426.355236379
"AGOr216",490772.429800232,398545.441332504,269714.388867264
"AGOr217",26614.6534978767,290025.205705844,275695.236596279
"AGOr218",14267.9344201856,349845.465529764,84096.0427500503
"ARMr101",273.129707322308,7538.07239001365,123399.096602664
"ARMr102",0,183.985711305406,259826.033888695
"ARMr103",1612.77102404078,2880.99593335035,286462.127842609
"ARMr104",0,114889.511334942,95690.4138650578
"ARMr105",0,1071.92669679897,208427.689903201
"ARMr106",0,1049.34695416571,208550.002845834
"ARMr107",901.736942884412,2976.74311300632,229602.810144109
"ARMr108",0,0,115350.5853
"ARMr109",210.658295059672,555.143146812132,45127.6572481282
"ARMr110",144.896521663443,4875.58480192042,102216.301676416
"ARMr111",0,60104.832612609,1007716.48438739
"BGDr201",108543.346221897,10989.7700165603,4055457.43176154
"BGDr202",224214.700639587,28715.2004219847,4115465.35393843
"BGDr203",927273.39202139,1587874.73439985,5788573.80157876
"BGDr204",1073157.14140644,1335314.69321672,526035.879376848
"BGDr205",434934.339793368,710938.20942318,201817.270783453
"BGDr206",445979.773516056,567873.996083823,5819146.60940012
"BGDr207",643335.031180244,155495.795443921,10673598.3933758
"BGDr208",18502.6959934392,117480.181965777,13880965.7320408
"BGDr209",1223876.99190595,159629.684335214,9053499.32375884
"BGDr210",784783.988500556,67391.1126111961,6905329.52788825
"BGDr211",660309.446997006,1024362.63205049,9515699.3709525
"BGDr212",281085.830059518,36487.4096257974,4353795.46331468
"BGDr213",325646.349481289,123058.927101607,4793384.0154171
"BGDr214",1355446.72925868,517543.350680345,4060194.75706097
"BGDr215",889736.800417101,365298.638626511,3492192.52795639
"BGDr216",1117111.27104744,316459.385263866,4395001.63868869
"BGDr217",3375883.698673,145677.310336854,3857972.87699014
"BGDr218",1069724.53883664,373183.396721236,6461559.25944213
"BGDr219",1430080.55616514,109268.572885493,5654030.12294936
"BGDr220",3275064.77509107,993843.045178799,3451367.60673013
"BGDr221",756667.725472042,361355.305694712,5596473.36683325
"BGDr222",531195.173191618,1497663.22200748,3986628.7628009
"BGDr223",373436.349671873,978991.394898599,3681636.07942953
"BENr101",725030.288418632,22785.2416400779,750674.40494129
"BENr102",567423.60001382,60193.9204380417,1558930.31354814
"BENr103",782677.315930696,419335.873606954,1117629.44846235
"BENr104",647609.857214016,45238.568211337,596347.527574647
"BENr105",519640.098398637,136626.564389727,1238155.09621164
"BENr106",651080.415487893,149362.923853334,919510.546658773
"BDIr101",152422.71726367,1819993.41885092,1372437.59288541
"BDIr102",40405.8290714913,340228.029801668,982828.765126841
"BDIr103",25907.4835985297,715669.417276115,614177.692125356
"BDIr104",33982.6504644096,786327.698840967,1663630.85869462
"BDIr105",53336.0275881015,820770.700140248,1295872.90427165
"KHMr101",63686.5171014787,212713.595564748,494694.250433774
"KHMr102",431767.241325695,231115.004491301,1058217.791183
"KHMr103",184135.370691109,54296.9376705273,262613.938438364
"KHMr104",87430.1843657441,27934.101161836,663579.82217242
"KHMr105",168605.73759097,54874.5897628667,448630.627946163
"KHMr106",130670.436082368,284179.550825772,998098.69909186
"KHMr107",3750.99232785911,17973.4413967687,113945.854675372
"KHMr108",5204.0540594213,131588.600341444,1575645.52259913
"KHMr109",267718.094222028,208090.344913591,472637.730064381
"KHMr110",81206.3386314562,51938.9151415682,279435.872026976
"KHMr111",107188.521727469,243476.37019097,131306.768181561
"KHMr112",182026.595711659,119156.116913325,579782.899475016
"KHMr113",179109.991804249,289500.971215334,993498.054980417
"KHMr114",143705.493853844,144390.174760281,606879.274785874
"KHMr115",176771.54133178,14381.0983237035,535326.059544516
"KHMr116",29947.9488025829,2859.12728782655,267510.796109591
"KHMr117",412643.964914625,95658.7879069013,1045803.01017847
"CMRr101",293891.604690975,299675.671597643,570093.684711382
"CMRr102",302332.452651795,651141.576236165,3753094.50311204
"CMRr103",71454.8616534979,350282.350360757,484009.046485745
"CMRr104",1933922.21095579,1003000.26945175,976988.41559246
"CMRr105",40182.3706059329,497307.463545448,3180391.57384862
"CMRr106",1117697.78788601,505667.848838624,750485.094275362
"CMRr107",2518.46898759778,733490.941507807,1252586.4225046
"CMRr108",144372.640114014,552470.880663643,1190328.00522234
"CMRr109",171339.752221097,78015.7948278473,543029.081751056
"CMRr110",0,279165.933528044,1297564.14047196
"TCDr101",177800.761093086,154798.86779342,891358.600113494
"TCDr102",460893.33050564,227950.202205211,1001703.97628915
"TCDr103",469241.434033769,598582.273849305,599865.992116926
"TCDr104",933985.699128366,423963.522505566,1010530.33536607
"TCDr105",417124.801109533,259596.995501363,742216.877389104
"TCDr106",73456.6893608297,841209.511094893,718204.881544277
"TCDr107",59953.0500582066,1393240.03508904,1164979.06085275
"TCDr108",77421.2491858849,1006830.48878831,413413.535025808
"CODr101",394186.882322025,205678.410238078,7470286.7564399
"CODr102",253305.627484864,1827006.58878084,1273169.7977343
"CODr103",2133483.18672798,3592381.35489648,848733.230375545
"CODr104",1873030.65509814,5288811.41014804,617835.829753826
"CODr105",1678600.65892108,6755093.53586953,990582.637209388
"CODr106",1943012.35947249,2592778.44074155,1916141.35978596
"CODr107",716436.961515855,2227616.95305789,1562793.97342626
"CODr108",198555.224110455,1446273.48343376,496733.778455783
"CODr109",343172.101408081,7572765.69811129,7160983.53048063
"CODr110",206199.970422273,4512386.5067359,2176990.75284183
"CODr111",445089.133061381,5685083.78321502,2237674.6227236
"DOMr101",189811.268170166,70556.6545618631,3745276.28926797
"DOMr102",42665.3768408236,27314.0491037174,1076966.56305546
"DOMr103",9470.46037109945,34789.1280214732,1537860.17960743
"DOMr104",11259.738064216,54861.468630915,600146.889004869
"DOMr105",6369.03071902231,44611.2383965372,354214.82378444
"DOMr106",59159.7784618105,24897.4221219578,969863.199416232
"DOMr107",3100.19024395541,23082.3415867686,269197.356769276
"DOMr108",3955.41709389469,30359.6258157014,396076.883590404
"DOMr109",3003.94134895369,29673.2850593929,711979.681291653
"ETHr101",28002.2344237298,5361334.03933225,693054.561244016
"ETHr102",865630.719353288,781714.945551192,196755.88609552
"ETHr103",444685.852866594,21920589.8655124,201344.181621012
"ETHr104",1508220.06014331,35443624.2680583,1249440.34179834
"ETHr105",2171925.29879306,3234287.20369684,663322.982510097
"ETHr106",153884.324190453,924682.258281487,24942.71952806
"ETHr107",2826778.65164417,17511738.3583385,563969.51001734
"ETHr108",44435.0850885886,414659.965269018,43304.7191423933
"ETHr109",901.586773547391,226466.491177555,27885.8932488977
"ETHr110",69957.2049854125,2694113.44192367,1520549.10309092
"ETHr111",11819.9990852597,189427.685925109,264736.924389631
"GMBr101",367.587255727671,1165.02462356004,31428.5293607123
"GMBr102",405.549182019421,20109.8012316271,337160.507886354
"GMBr103",22940.7988116321,190395.069722803,739683.307265565
"GMBr104",3407.45244289701,44311.5977489857,43833.7727281173
"GMBr105",655.937982335112,106900.97091582,153498.055601845
"GMBr106",729.976763445506,130465.825182629,124323.587853925
"GMBr107",39.6671691143755,1790.66569440104,1668.23820548458
"GMBr108",280.175275501911,108844.234690308,171323.71163419
"GHAr101",103919.972783787,564121.999800976,2060652.79641524
"GHAr102",62351.5938261192,378047.371369957,2171023.47580392
"GHAr103",223002.536119583,307988.028597784,4074330.82528263
"GHAr104",323378.420655545,630220.448572942,1500742.10577151
"GHAr105",201160.459220279,380482.559541988,2327578.18223773
"GHAr106",215136.255935094,526433.798747746,5162669.28331716
"GHAr107",359550.030228556,429843.085989027,1816881.71578242
"GHAr108",797666.149025079,1068052.98686615,1150162.73210877
"GHAr109",155102.626127186,72908.8080159085,548199.283656905
"GHAr110",631510.489993377,211767.48660267,282655.690403952
"GTMr101",3109.37130339766,420278.422538875,2890768.74615773
"GTMr102",153500.045856288,884164.29497196,502625.686171753
"GTMr103",42180.9293113134,490154.3585188,712152.398169886
