"GDLcode","X1","X2","X3","X4","X5"
"AFGr101",401876.811934498,762892.389986302,1116938.61991571,1811186.55603813,3584701.81012536
"AFGr102",743417.686937667,240598.752899687,78453.9645859757,41164.4094438056,6918.41513286454
"AFGr103",141945.698598134,738049.124370353,1029817.92487572,1003193.43796344,406219.066192349
"AFGr104",1327636.56643828,886750.977951201,827606.886363563,935438.504082697,746776.659164256
"AFGr105",1851118.19806237,1371233.81701618,759705.207605318,501490.826786361,423127.736529771
"AFGr106",67387.7483927442,638305.047419432,1136115.14765633,838189.681796786,1092749.61073471
"AFGr107",226302.147548432,974195.173111393,1020854.36186015,1058086.44617684,183312.279303191
"AFGr108",1897992.23754969,1076079.24281485,682871.960206779,552358.271436919,563770.540991762
"ALBr201",33258.1797803294,30976.3542930854,29423.6980845933,26484.0402948641,11150.8615471278
"ALBr202",74307.9833249061,24944.8993573894,15267.0116251003,10066.8324488414,2544.56074376284
"ALBr203",17727.3142674123,61928.3059975921,96909.7227163891,65395.0146253978,32970.9938932086
"ALBr204",117284.93961587,73537.9845463344,47554.4735586946,34390.1006763615,12067.973902739
"ALBr205",66649.8875822254,85132.5677160835,60699.1713944151,50657.3317113449,35396.4698959311
"ALBr206",18856.8311810099,12059.0129058715,11214.2826379706,14382.7653672566,9200.12949789134
"ALBr207",62278.0730983146,62228.7049065278,44752.6741301334,37083.5377340217,8904.98803100257
"ALBr208",37811.4639571487,21277.6342712229,13943.7625216965,6077.79217364285,1457.47003628907
"ALBr209",39652.6368630826,35034.9597054393,26903.6103166582,19985.9267276242,14725.9233871957
"ALBr210",47928.6378403885,47304.6617471607,47315.9582538563,43109.8363816932,22359.9520769014
"ALBr211",45553.7063017407,84561.680562738,142005.150320784,213782.549409552,383502.788605185
"ALBr212",18753.3080768406,34539.7147495266,39198.5607987315,49469.2348675943,33330.8108073071
"AGOr201",3219.16236232991,71768.1185233819,261832.738218673,294079.345155317,179606.176740299
"AGOr202",38679.8254330196,189811.848850488,311887.55930142,88458.4696947431,50964.7114203293
"AGOr203",383204.802488029,672813.835052533,312683.250608379,108697.981836473,43849.7890145859
"AGOr204",0,41889.9519215622,1218374.69382581,2746912.35981042,3370519.4024422
"AGOr205",62593.4881265237,214401.416839542,158424.586040836,58799.6484994663,26502.4896936321
"AGOr206",695551.014756982,818047.501628925,334324.868371577,115127.262238961,79723.7110035543
"AGOr207",200366.285976262,381419.62467454,304801.625889869,155906.931229379,86549.9882299499
"AGOr208",244616.800803761,286114.220975417,283702.063725764,64940.8313390167,54645.8479560417
"AGOr209",623666.134936738,375683.949866089,555812.294350541,417899.431949768,311409.569896864
"AGOr210",482469.396878072,822143.695697035,414259.018205058,195415.195093934,202319.823125901
"AGOr211",503724.64639645,657373.072090199,270314.122005743,61615.7511996444,26045.3123079639
"AGOr212",213576.606790922,423833.265482243,150473.534152501,61514.2497712241,59469.3417031096
"AGOr213",112782.149889056,220861.381761262,175418.48867687,42203.1500888912,16511.2455839211
"AGOr214",122615.755451114,70664.9440334728,133306.374541142,123243.620026994,97218.3594472774
"AGOr215",1450361.52733528,390582.615314869,417772.235592585,331829.171885961,258576.879871308
"AGOr216",825176.857579049,61287.3357813508,115758.505208328,113380.264267893,43429.2971633797
"AGOr217",61825.3828931242,184026.116627057,207903.112233567,94327.6057939038,44252.878252348
"AGOr218",48894.6333494513,230020.46772753,93332.0151545365,48601.9040640243,27360.4224044576
"ARMr101",40025.0150944341,51958.1515776074,23145.1814092543,12211.485486367,3870.46513233726
"ARMr102",95765.4622436254,81106.1567957743,38452.6453218831,31056.528036209,13629.2272025083
"ARMr103",124809.628647891,80355.3979107103,43949.6942328392,30371.0098486386,11470.1641599208
"ARMr104",54247.0444330962,55967.4909032857,62913.1892203943,27250.6012935632,10201.5993496606
"ARMr105",58755.5274009338,44962.322150304,53354.9104580861,41713.3916954206,10713.4648952556
"ARMr106",31831.7571759916,44677.1381301751,46586.1469475571,46961.0360231558,39543.2715231204
"ARMr107",42889.7651376553,55308.1695487968,59179.6653355158,46186.4872730781,29917.202904954
"ARMr108",21906.6812075392,32550.4473114127,30828.3783418766,17830.3093341325,12234.769105039
"ARMr109",12620.7425586208,11279.7251729368,8790.77791978049,7609.03981250351,5593.17322615844
"ARMr110",32839.280470604,30175.0368074851,24087.0012789565,13500.2168744007,6635.24756855367
"ARMr111",26323.6236474233,49629.0685879121,175907.293590907,325444.385307629,490516.945866128
"BGDr201",452779.228906182,1052057.35849378,952185.611678774,829756.804442796,888211.544478466
"BGDr202",1387278.02998425,1571296.2161773,758216.563993859,418494.803813372,233109.641031221
"BGDr203",324743.796725945,784067.584394568,1524450.41256993,2073329.11746298,3597131.01684657
"BGDr204",715338.270111479,774440.042083859,802618.091289482,479971.932201393,162139.378313788
"BGDr205",410992.758754963,430626.028956997,183272.372824581,111411.83455464,211386.82490882
"BGDr206",1418019.14825888,1221452.81011491,1660837.91406705,1517028.47707806,1015662.02948111
"BGDr207",1330862.2180509,2050091.58583938,2870980.83299913,3104841.68026333,2115652.90284725
"BGDr208",86579.8628587645,104367.972213359,394955.751535878,4053226.0725335,9377818.9508585
"BGDr209",473142.045015469,730818.116095663,1452898.81603606,3870714.44993608,3909432.57291673
"BGDr210",1494113.14021168,2190941.895963,2128696.66046663,1420728.91194001,523024.020418684
"BGDr211",3708072.13996568,3285467.0512665,2000719.26691796,1574193.6604471,631919.331402757
"BGDr212",1249889.71894183,1021145.93687466,1074268.6344362,852895.955029239,473168.457718065
"BGDr213",1401474.02987328,1072435.88201293,1328262.8471158,944045.114475383,495871.418522605
"BGDr214",1097875.83164261,1448990.78034147,1422486.25398004,1138284.92987294,825547.041162943
"BGDr215",1049952.44764264,1047258.48213411,894148.046768888,979916.355874714,775952.634579645
"BGDr216",783964.539455813,943865.535035584,1534647.32966998,1461688.09050982,1104406.80032881
"BGDr217",1212757.58714744,1747930.40478515,1844632.42366395,1644647.55083202,929565.919571443
"BGDr218",2358662.37423874,1646364.0147287,1775450.40357099,1240408.01284224,883582.389619332
"BGDr219",2015514.15742167,1493462.15912952,1789157.55834348,1184428.04908578,710817.328019548
"BGDr220",2056962.84688898,2090319.78238587,1794373.3792578,995786.617981377,782832.800485977
"BGDr221",2180475.70450781,1796380.76663963,1361935.83936751,932059.786439065,443644.301045985
"BGDr222",1031450.81434148,1067074.44534281,1335907.91477761,1083621.93322254,1497432.05031556
"BGDr223",2032608.51279075,1269872.0426481,747629.135938919,559393.99229272,424560.14032951
"BENr101",447800.318570583,318010.300745437,342582.318519746,262185.745627503,127911.25153673
"BENr102",148608.828670634,234006.379842453,331145.806698054,465818.388186536,1006968.43060232
"BENr103",794482.050046588,564834.594964872,442268.82930467,321427.266161574,196629.897522295
"BENr104",188560.596137906,324355.667663505,312730.361222798,280889.730371245,182659.597604546
"BENr105",204666.843756968,277361.693958888,307166.681508066,515656.211019122,589570.328756957
"BENr106",248556.690683781,405651.266783239,421507.105661878,385963.38430748,258275.438563622
"BDIr101",1097142.38896752,821766.942700243,626868.574395752,441667.413838939,357408.409097544
"BDIr102",77975.3762013642,164988.264457265,296184.343526291,486327.709623622,337986.930191458
"BDIr103",320674.550232621,278249.575045196,305037.164032102,244376.051186577,207417.252503504
"BDIr104",269030.305486902,340349.15100411,416062.806497961,517813.62610212,940685.318908909
"BDIr105",421467.260937822,563359.391081564,498705.585002993,416525.702065328,269921.692912293
"KHMr101",45680.2191971917,93338.1771946515,175407.027811764,279168.557881073,177500.38101532
"KHMr102",429671.372339578,362649.80078494,436771.449393222,302386.535988339,189620.878493921
"KHMr103",177365.58778103,127789.170276469,90256.6631159233,56211.2409574833,49423.584669094
"KHMr104",159326.344252795,166368.501251752,198995.824345073,190653.332344871,63600.1055055087
"KHMr105",239488.27012244,184553.396088844,101899.226469665,86818.0910798398,59351.971539212
"KHMr106",64332.7535961386,162759.876965748,348021.558265489,482716.111559448,355118.385613176
"KHMr107",18063.6681942699,11780.6536319379,16203.7217028695,38578.873296877,51043.3715740457
"KHMr108",5902.45708718691,22564.1543110666,35979.2133470874,117830.15765649,1530162.19459817
"KHMr109",212904.450925439,259401.123136803,256441.428244192,149281.937762605,70417.2291309608
"KHMr110",141088.28810012,122077.339719546,66252.5935349261,63972.2471591444,19190.6572862633
"KHMr111",112319.860556769,144212.557723018,120190.196963856,72250.2168306809,32998.8280256754
"KHMr112",74490.2214971664,188895.016412158,240736.628774015,301196.984305086,75646.7611115746
"KHMr113",134701.323551749,196676.971454543,305320.803211563,433102.763892467,392307.155889677
"KHMr114",167677.203108791,210501.79810577,181292.612248581,179030.241464588,156473.088472271
