"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est","X6est","X7est","X8est"
"AFGr101",0.573914769,"AFG","DHS",7677596.188,920495.784665679,1890546.56367937,1466780.22808304,1062981.51251155,800725.955793546,616047.916730067,495899.604771675,424118.621765067
"AFGr102",0.484075794,"AFG","DHS",1110553.229,182408.741287116,343822.488676139,186678.106888326,140285.878820204,97016.4203400191,67758.4001531424,49001.0967135403,43582.0961215134
"AFGr103",0.477673324,"AFG","DHS",3319225.252,551941.314673132,1033930.30768961,556281.912642808,414184.567205313,286588.188826838,201428.221149045,145669.627154007,129201.112659243
"AFGr104",0.514833417,"AFG","DHS",4724209.594,726660.15339179,1336568.88101463,877542.897094632,629571.784384691,434660.425620784,304950.793240218,223052.151551315,191202.507701945
"AFGr105",0.460395014,"AFG","DHS",4906675.786,841685.166284818,1556810.50426857,808766.286536565,602144.28172061,413803.575576446,292433.156499478,209507.768430008,181525.046683502
"AFGr106",0.424135392,"AFG","DHS",3772747.236,669449.817904406,1212071.51229309,595738.180730026,462439.691225873,315460.023249416,222505.630451813,161575.388731801,133506.991413571
"AFGr107",0.48916955,"AFG","DHS",3462750.408,575452.598254695,1078931.96032262,584679.036263936,433435.326260794,298628.894871897,208234.457425517,150228.048116354,133160.086484192
"AFGr108",0.461780044,"AFG","DHS",4773072.253,819748.832058548,1513533.34503244,786571.861014626,586244.628114106,403103.319177931,284496.021804537,203257.26652702,176116.97927079
"AGOr201",0.664938167,"AGO","DHS",810505.541,78352.2179936542,152675.14696145,145080.020337558,132203.442719199,105102.874872806,83645.7370035548,61836.89755477,51609.2035570083
"AGOr202",0.601089587,"AGO","DHS",679802.4147,72125.0236180737,152621.742435961,130266.704725802,99771.3274586115,77812.3555619355,61601.2320153825,46586.5971802791,39017.4317039542
"AGOr203",0.530213845,"AGO","DHS",1521249.659,222078.654022204,424714.794857579,284421.998751928,207734.016970019,143459.569279029,101424.509726309,74085.1909411741,63330.9244517577
"AGOr204",0.686335134,"AGO","DHS",7377696.408,685857.084081292,1368013.15264113,1284354.9384123,1189291.64822523,982237.629964456,805923.041452117,584855.668128718,477163.245094759
"AGOr205",0.532986801,"AGO","DHS",520721.6292,75015.1742491966,144983.211382187,97228.2230306073,71262.8549740483,49162.6163883444,35085.7240948346,25858.1867576552,22125.638323127
"AGOr206",0.444981525,"AGO","DHS",2042774.358,355729.762170064,654095.067454151,333982.706454755,251529.60310027,169713.954621775,120128.818769685,86345.18217578,71249.2632535224
"AGOr207",0.554596867,"AGO","DHS",1129044.456,147863.816433821,289724.643291103,208865.826101384,157949.755448983,114124.018278822,85151.680395416,68029.9799975546,57334.7360529164
"AGOr208",0.510366012,"AGO","DHS",934019.7648,142472.682026143,265687.108384546,173515.47699788,124421.606650965,86119.132172451,60472.3915068452,43649.4682492681,37681.8988119014
"AGOr209",0.522659382,"AGO","DHS",2284471.381,341237.50736472,639659.642924304,426672.45235147,310362.914763432,214596.64051589,150208.663434274,108956.190442355,92777.3692035555
"AGOr210",0.526338628,"AGO","DHS",2116607.129,315705.322774887,591848.084824967,395069.205365114,287956.821004719,199079.915399067,139552.091239439,101173.277841753,86222.4105500539
"AGOr211",0.491354023,"AGO","DHS",1519072.904,248278.77859458,463124.670851205,266895.633072332,190433.8473596,132708.317191901,93829.0057500488,65669.7561096875,58132.8950706454
"AGOr212",0.535000914,"AGO","DHS",908866.9979,128896.922073448,250443.939934282,169217.741532904,124784.698696154,87212.2882684691,62710.4382765488,46235.6970217784,39365.2720964163
"AGOr213",0.497697862,"AGO","DHS",567776.416,89131.8387258656,171001.162267203,101780.461383112,72132.7163082866,50306.4584394815,35336.2795508459,25362.6580963472,22724.8412288584
"AGOr214",0.572293914,"AGO","DHS",547049.0535,65625.2919630251,134976.690899125,104768.645508147,75605.2104827825,57022.8340221592,43843.1477783868,35156.8905741746,30050.3422722004
"AGOr215",0.507918023,"AGO","DHS",2849122.43,432087.639014167,811782.715435848,532664.321940451,379341.702690325,262127.261038115,183735.121126176,133425.552662258,113958.11609266
"AGOr216",0.508733513,"AGO","DHS",1159032.26,176098.330315058,330589.165106895,216693.875333398,154223.544546127,106517.961897892,74612.625272824,54019.2029874454,46277.5545403611
"AGOr217",0.567594144,"AGO","DHS",592335.0958,76443.0408712134,150474.593130278,107592.691431747,82202.8644535988,60994.3994357088,46301.6248964981,36676.828875378,31649.0527055782
"AGOr218",0.565253654,"AGO","DHS",448209.4427,58284.3320579705,114372.792201752,81373.3857854476,62109.7123286226,45968.5543704649,34802.6830843079,27526.8177311403,23771.165140294
"ALBr201",0.774652765,"ALB","DHS",131293.134,11476.6111691627,23760.6033218852,22135.238758696,20687.5910355263,18362.0780619259,15559.4326575677,11104.7039592336,8206.87503600257
"ALBr202",0.75303631,"ALB","DHS",127131.2875,11112.8153439656,23007.4185911964,21433.5762791139,20031.8173806401,17780.0205849923,15066.215926616,10752.6971794558,7946.72621401981
"ALBr203",0.798393233,"ALB","DHS",274931.3515,24032.3322572062,49755.3419948166,46351.7849128613,43320.3716705895,38450.6849986063,32581.8701922244,23253.5485634725,17185.4169102232
"ALBr204",0.782022365,"ALB","DHS",284835.4723,24898.0724519221,51547.7273116362,48021.5605661942,44880.9437617154,39835.8316069913,33755.5987485099,24091.2338719859,17804.503981045
"ALBr205",0.764381473,"ALB","DHS",298535.4283,26095.6146482005,54027.058942514,50331.2913784972,47039.6178545488,41751.8469678323,35379.1683617818,25249.968917754,18660.8612288713
"ALBr206",0.783340944,"ALB","DHS",65713.02159,5744.11452116928,11892.3281935098,11078.8232265824,10354.2666318151,9190.33307652329,7787.59180320045,5557.97267375518,4107.59146344446
"ALBr207",0.779191812,"ALB","DHS",215247.9779,18815.2820489975,38954.2214653799,36289.5243489505,33916.1843605561,30103.6318690626,25508.8466150307,18205.560333438,13454.7268585846
"ALBr208",0.748436894,"ALB","DHS",80568.12296,7047.65637345022,14586.0625828213,13589.1212265361,12694.6742612948,11283.4240817234,9551.75811961869,6800.90683065036,5014.51948390513
"ALBr209",0.766556615,"ALB","DHS",136303.057,11914.5391590487,24667.267588702,22979.8818743648,21476.9943728209,19062.743773891,16153.1541810261,11528.4406016505,8520.035448496
"ALBr210",0.779421097,"ALB","DHS",208019.0463,18183.3858133446,37645.9750174839,35070.7696276543,32777.1363691768,29092.6254112267,24652.1523539556,17594.1411151295,13002.8605920286
"ALBr211",0.817419191,"ALB","DHS",869405.8752,75996.6105908935,157339.591926746,146576.641439339,136990.508506114,121591.267277689,103032.517810628,73533.8899329984,54344.8477155923
