GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est
AFGr101,2559030.65068639,1313339.23893803,968616.655417994,683769.968261006,491375.440387786,314454.573958728,262715.472350076
AFGr102,371192.498922646,161334.025537859,112078.171895849,74604.6429890731,49802.0248699385,32178.1091250601,30587.5266595744
AFGr103,1259727.67401091,540114.259542824,372791.891829306,248086.585783729,162380.639209171,105612.602984625,100853.346639437
AFGr104,2766782.73457546,1255052.56123927,887634.128771763,603413.582337082,417568.304633978,271304.151861604,248386.536580841
AFGr105,2278697.65180949,949111.5160864,649229.8971322,429011.830251709,274445.019953022,178054.707725369,173262.377041811
AFGr106,2095764.65246748,848068.220349965,575575.003923217,381456.113766309,239919.325208283,157909.379255249,154427.305029493
AFGr107,1649604.88541894,718973.205741275,499504.93179168,332993.110128264,223259.84330046,144733.189562336,136931.834057048
AFGr108,2145789.71981437,900871.502386622,616512.898013342,406276.923472471,258811.116934882,167229.764060128,162389.075318186
AGOr201,187335.161017734,113555.379167325,90459.0853530861,69727.0056834139,50645.1978706808,32107.2115480881,25762.9593596721
AGOr202,206906.127757744,109096.051898142,80796.7164113497,57745.0879594528,41649.5931945315,26892.9715889085,21935.4511898719
AGOr203,675213.823163583,319480.795898037,227851.353659803,156578.971721852,110732.087354939,71580.7137436687,64125.2544581171
AGOr204,2795666.01558971,1732860.45342152,1416139.57279802,1136318.51228196,847599.782051242,537299.722145988,448878.94171157
AGOr205,185718.496544539,85612.6081704353,60572.4389376357,41321.0758646001,28772.876389947,18595.7882638169,16850.7158290262
AGOr206,896952.070326932,366350.739514385,248268.77578979,164288.987430597,103445.060593564,67437.3634654055,65926.0028793269
AGOr207,464022.375745043,223267.374865199,161416.436920207,111808.72602573,78945.2271796509,50942.6812886597,45191.1779755115
AGOr208,335014.216848291,148637.798484734,103624.573585639,69198.7085116925,46942.2093712795,30192.7590706922,28390.7341276719
AGOr209,1034925.68897685,488775.758269329,347990.505257064,238739.063043132,168433.089931501,108683.02665161,97117.8678705119
AGOr210,913939.44124014,419438.253240472,297010.433673127,202578.478639229,141048.705100399,91212.8826309777,82758.8054756552
AGOr211,622187.973135754,269509.221992961,187154.882136258,124578.618240734,82623.4450607242,53597.0821660291,51095.7772675396
AGOr212,290813.664751862,126586.205638407,87982.2627230861,58575.6959215325,39173.5251196434,25329.671174901,24072.9746705681
AGOr213,195972.42548393,83969.1625840314,57991.5542568588,38659.4590705227,25411.3497653894,16531.6151138781,15797.4337253898
AGOr214,156845.90744964,80496.0599691148,59367.6196293786,41909.0412730864,30116.9612116279,19273.2795095743,16102.1309575781
AGOr215,1084427.12808621,489699.472970936,345011.64183628,233436.694515367,161310.151932702,104631.380719145,96471.5299393582
AGOr216,435599.468430591,194954.08574212,136330.872804014,91056.561056271,61965.8159603604,40131.4606103467,37293.7353962962
AGOr217,214264.057937352,102778.023730165,74416.4934471061,51628.377703998,36399.9367478265,23452.3936768073,20637.7167567452
AGOr218,176660.618986161,84740.434140635,61356.3652331707,42567.5740963816,30011.7314067128,19336.4879930693,17015.7881438691
ALBr201,33341.3175363231,22702.8941683864,20808.4300149322,18522.832289901,16111.8349530708,12135.4663202378,12515.2247171487
ALBr202,35744.319661578,23676.0205371377,20868.1683244505,18032.9570002937,14982.8768789594,10437.8835201692,10408.7740774116
ALBr203,63225.8894717763,43118.4878948921,40842.5183483685,37087.7265859703,32920.4305679737,26024.8178724192,26952.1292586
ALBr204,74416.336075808,50624.4810601684,46202.3395047054,40554.6880338109,35095.4077158422,25894.0162872432,26223.7313224219
ALBr205,76512.8238746242,51724.4064267534,46108.4655329179,40774.946974583,34956.677500499,25159.3579476877,25342.3217429348
ALBr206,17157.4987795842,11700.5110730786,10995.4895653521,9881.80496032801,8724.99048153802,6821.30366940314,7023.40147071588
ALBr207,55991.5877166502,38453.1359166235,35715.6195014213,31965.2654639412,28196.6539825303,21647.117639151,22290.6197796826
ALBr208,21215.3667419885,14054.8426020026,12389.8290958111,10739.0551870782,8943.81120479123,6230.15642080219,6188.9387475262
ALBr209,31589.581873707,21355.2746970137,19036.6408304292,16834.6096853033,14432.4411257421,10387.4560829269,10462.9957048778
ALBr210,56769.2753542762,38534.8967140367,35301.9650465358,31367.2724544209,27199.8747247325,20464.0866820296,20980.6290239682
ALBr211,172546.678124089,118814.27450303,118066.55895132,116381.707427226,106810.523799028,92539.3266177397,101987.930577567
ALBr212,39899.8407114196,27103.115269062,26001.158470689,23770.6249409918,21164.7744188491,16897.3668769882,17595.1193120003
ANDt,13586.4082688649,9002.87683672768,9720.66861635176,10766.3938254553,11038.9441273603,10394.6636727255,13501.0446525145
AREt,1611592.42784028,1076413.03626746,1152509.59223676,1280195.35824139,1306312.93637751,1235724.68602462,1600151.96301199
ARGr101,576960.362489706,384966.463692062,410139.234003691,453170.671948325,474556.315913033,448644.785852323,592995.16610086
ARGr102,3372626.30866381,2279012.93625605,2352993.87762076,2406326.75989507,2286586.14349827,2099453.04251376,2380737.93155227
ARGr103,247585.033020267,168179.963070837,176238.993769336,187132.180535799,184109.016702447,170955.384820648,209791.428080666
ARGr104,625825.446973284,422775.481658917,447934.43710243,479731.895175961,477252.657440941,445476.802514419,554580.279134048
ARGr105,725254.365241943,499171.085567859,499907.521056338,496615.836554605,462852.153404712,407318.351400841,451740.686773702
ARGr106,346972.649454152,237795.530445619,236243.540911294,232179.452409532,213540.548264764,185201.585183376,204333.693331262
ARGr107,393638.02302013,266333.92905615,283024.647784326,303848.659419682,303448.731195343,283618.993487055,354603.016037314
ARGr108,391761.820854438,264131.866702615,273422.052141111,279578.145476415,267436.175031906,246854.161955972,282883.777837543
ARGr109,468123.368218536,316165.170609957,335490.390582101,364932.554849774,366359.311638218,343653.93425991,434600.269841504
ARGr110,585190.791241963,395946.458501685,419226.074380037,458643.65810361,461163.341646231,436416.939418645,553790.736707829
ARGr111,496746.823407072,337270.453669863,343163.947971169,346361.828375309,327502.477956131,296550.292111,334217.176509455
ARMr101,39248.4138638537,25474.1562313517,22582.2672855484,19785.0501975461,16030.6517792694,11462.3270950754,11334.1335473553
ARMr102,72253.5499037132,46841.0848116504,41488.8763156651,36214.9889920426,29141.7945836292,20714.3488655603,20318.3565277393
ARMr103,75384.4472264691,48163.7551505775,41533.3781477089,35379.2048687558,27661.1428165618,18845.4508226585,17891.6209672683
ARMr104,65380.2819776598,41469.0293544944,35841.7104491386,30231.6126881471,23477.7626181312,15965.9741379264,15018.6287745025
ARMr105,56498.0604111391,36673.1344560535,32792.7294271705,28774.6310012417,23376.0738748905,16832.267475664,16619.1033538407
ARMr106,76837.9147235597,51614.7850491076,47219.5026789433,41893.5605487655,35126.0161890239,26371.0884604161,26545.132350184
ARMr107,64637.9222382096,42871.0447341106,38567.191950286,34225.2834988332,28329.7261757909,20745.5943735841,20490.2370291857
ARMr108,34293.5768865723,22726.9972480182,20480.881024287,18126.8681499078,14944.7442450959,10940.3713532255,10797.5610928934
ARMr109,15955.4254715066,10573.9600153483,9528.93225033506,8433.70450257478,6953.18991606032,5090.11586438926,5023.6719797857
ARMr110,37478.2036582478,24509.450455118,21944.679949984,19257.336403238,15714.876318506,11375.3203795126,11204.1328353936
ARMr111,204070.058909353,138553.752543059,135353.969666105,127701.422638535,114669.094147721,96009.1275797091,101696.574515517
ATGt,23817.362086683,16101.077625934,14352.9144952009,12692.6654510922,10881.5202892141,7831.75300248303,7888.7070493928
AUSr101,1322486.48497151,920546.249657236,985897.513274795,1009269.07687998,1089651.90273266,989991.890804173,1311663.88167964
AUSr102,1048172.23740861,729603.69206504,781399.593937694,799923.35534786,863632.926206011,784644.702983823,1039594.49205096
AUSr103,825516.66879731,575291.7840306,615905.175425906,629637.927991246,682017.75354741,619090.136561036,823831.553646492
AUSr104,293718.843473283,204570.674274424,218480.923568591,223625.158966691,243421.780831813,221366.181995345,291970.436889853
AUSr105,436157.011947898,303596.827773247,325149.722407983,332857.681213177,359367.996089168,326500.051117799,432587.709450729
AUSr106,87681.3896577581,60543.4484522624,63382.0699540776,68001.0180604369,74495.1190199739,68497.3599232537,93424.5949322373
AUSr107,42048.2182839158,29288.813768478,31333.2365699644,31984.3229296874,34740.9096648947,31599.0879137698,41729.4108692899
AUSr108,68660.3776123577,47792.589058078,51185.472454934,52398.8688871535,56572.1555250981,51398.0428747071,68098.4935876716
AUTr101,50153.3318106099,33240.5147023965,35582.9460107149,39397.1403993243,40834.049923238,38874.7216768444,51619.2954768721
AUTr102,285946.354099526,188092.992684831,203196.100084469,224060.181159563,231209.531241436,220322.494416156,292681.34631402
AUTr103,312448.404074164,215355.011214643,233869.663432235,239807.5008854,258455.956100345,237161.751360563,319902.71293265
AUTr104,96514.9137036655,64871.1184967844,68594.0102719343,74112.3871696142,79212.4492825229,74985.4626743566,101172.658401122
AUTr105,210968.039175841,144862.76863762,153645.834124447,161939.633803246,174468.646003212,162460.073231951,218716.005023684
AUTr106,248533.398494224,168703.907964818,178384.142415463,192011.188447343,205780.282890119,192873.563083475,260038.516704558
AUTr107,93247.3117692752,64270.6943289138,69796.2195840332,71568.3117855318,77133.7692971362,70778.7125186164,95471.9807164935
AUTr108,126569.002676359,87292.4469980327,94336.7343794197,96631.2646951494,104437.192781776,96161.2343296845,128361.124139579
AUTr109,65422.9909234082,44346.5520497377,47205.2368928113,50731.2444688892,54358.7272132146,50862.5824841589,68654.6659677802
AZEr101,595654.605876474,408631.768253107,401523.362000741,390472.880358756,357759.139623875,311127.614869905,336323.629017142
AZEr102,147000.409431811,100246.54178327,94206.1246090981,84664.4020643618,74753.155430842,58442.9260431673,60174.4406374502
AZEr103,414186.555361907,259731.3864895,215576.553100443,175507.3105967,133737.660307833,84362.4880611744,74946.046082442
AZEr104,182998.268893992,121615.35990612,107468.178247605,93319.2374059893,78167.8388847067,54735.0042025263,54615.112459061
AZEr105,252912.793199308,157325.479349989,130019.732157695,105275.655086581,79522.3490159875,50677.428394822,43785.5627956173
AZEr106,142728.332487658,91020.3347464509,77578.8801551762,64231.3762207601,50266.8868569119,32903.1878693269,30396.0016637161
AZEr107,721425.627253587,447428.429121478,368112.215512885,296845.076031956,222679.886389681,142530.49191344,121837.273776972
AZEr108,75974.7582749251,47132.3964432848,38624.8841855079,30996.9026236915,23122.9711773508,14670.398268363,12254.689026877
AZEr109,91550.0068962448,58087.9093765118,48389.5912681248,39642.1956040035,30635.3174486283,19600.2996704363,17592.6797360505
BDIr101,1415528.41084069,572553.845588368,387893.851618016,256240.427972886,160832.845473391,105792.550386932,103757.068119719
BDIr102,692978.057043983,293711.288485385,201189.319769312,133149.70460873,85440.972147257,54845.0239048428,53372.6340404903
BDIr103,588501.02305691,238141.727750965,161624.292239108,107114.753051342,67370.5266333041,44341.7304192926,43363.9468490789
BDIr104,1070136.3259564,458826.063147053,316686.021668756,210749.095147185,137942.052266329,89717.7106324965,85674.7311817806
BDIr105,948921.440797121,387002.012765943,262253.166891213,173688.081486965,109536.833367153,71532.9724920294,69746.4921995763
BELr101,206740.701676468,143906.482026452,154122.66665236,157776.279384074,170342.307096546,154762.729513472,205048.833650629
BELr102,315995.71762849,219955.875599681,235570.945908096,241155.361399252,260362.08224591,236549.258942172,313409.7582764
BELr103,148603.401178817,103275.989275902,109102.530822328,113566.81929107,124696.678668845,113013.003709618,151941.57705342
BELr104,255471.586952558,178073.106578698,189893.643815811,195162.49812957,213044.438127777,193856.93211835,258596.794277235
BELr105,193896.326733711,134965.86802615,144547.342095523,147973.963376394,159759.289610293,145147.639166403,192309.570991526
BELr106,204402.425687459,142418.697565863,151413.152708312,155637.12834237,170371.437768899,154354.913915843,204102.244011255
BELr107,68600.9395050784,47784.1921372312,51119.6325114364,52181.8686250894,56679.1921165534,51553.3643720969,68080.8107325144
BELr108,231688.772636675,154243.969122316,163801.900581187,181421.563761833,190294.769402509,179411.489988744,238637.534506734
BELr109,188286.172942116,125866.0922055,134225.354958584,149043.329909913,157092.451256644,146649.734082889,200036.864644355
BELr110,47863.3925755721,32166.7082575477,34263.558305419,37857.3530240403,40409.540766613,37679.9636270547,51559.4834437531
BELr111,83310.8376803339,55989.249114007,59639.0182711427,65894.3635851377,70336.6917885866,65585.6002805903,89744.2392802019
BENr101,708340.538795648,304067.231377622,209959.753635771,140078.708717779,91529.4678543545,59401.3325897862,56674.9670290392
BENr102,730834.281259999,419310.999327341,319931.157532182,237884.967342047,174473.594214703,111694.845144123,88162.1551796051
BENr103,1039571.29740509,428137.643158597,291603.192407582,193894.6560724,122890.003757142,80211.4984075956,78080.7087915905
BENr104,526898.071562864,247580.928506439,176016.721890224,120773.248629753,85315.7601200064,55251.217790258,49772.0515004553
BENr105,707454.271435072,345578.867592096,250071.36332229,174087.270043535,123613.422000532,79839.9299902595,70478.8756162153
BENr106,700178.613128643,329002.667716269,233903.198497175,160491.848979053,113373.484973393,73421.6409851404,66140.5457203278
BFAr101,939094.582212063,390241.525363025,266819.288335976,176658.438856459,111943.608266301,72467.1611140513,70622.3958521248
BFAr102,332042.217902065,137980.416513321,94341.1557858631,62462.3557201708,39580.6819384982,25622.7193268401,24970.4528132416
BFAr103,794999.372131827,439777.970414295,330020.822122252,238535.284272363,173721.447195884,111055.680609231,87699.423254149
BFAr104,644542.107277981,267840.002348197,183129.867453166,121248.4925435,76831.8447736174,49737.4147584595,48471.2708450801
BFAr105,647981.082884872,269269.071487705,184106.962882546,121895.417862298,77241.7836077531,50002.7903703438,48729.890904482
BFAr106,643032.866569274,267212.836131436,182701.055979378,120964.580664431,76651.9376014591,49620.9511011566,48357.7719528648
BFAr107,410209.216510025,170462.777020574,116550.274371988,77166.7957262563,48898.4823361008,31654.6362276723,30848.8178073836
BFAr108,796431.277147424,330957.671706223,226285.222598592,149821.230728332,94937.6054220364,61458.2543340443,59893.7380633482
BFAr109,898907.989956521,383330.415177984,263648.970748556,174669.407452266,111970.144152063,71807.5501226885,69723.5223899212
BFAr110,623491.001142452,259092.197894297,177148.743438441,117288.448883846,74322.4737012628,48112.962941946,46888.1719977558
BFAr111,406267.315033341,168824.71662258,115430.285643886,76425.2621531878,48428.5928456398,31350.4513086904,30552.3763926747
BFAr112,664755.003630521,276239.488037955,188872.835970022,125050.855779369,79241.29808543,51297.184396477,49991.3341002259
BFAr113,357370.972526801,148505.801312177,101537.662305461,67227.0922386631,42599.9648087133,27577.2646697442,26875.2421384402
BGDr201,2201374.07787559,1316450.91325853,1035743.30439082,790957.904093231,575951.167300112,369265.231962287,293334.401119431
BGDr202,1635686.68099471,829377.887728923,609312.632874892,428948.101693104,307654.518133244,196461.795504041,166163.383071084
