"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est"
"AFGr101",0.573914769,"AFG","DHS",7677596.188,4605087.34719004,634475.091881194,1450268.38842558,450352.025973221,537413.334529971
"AFGr102",0.484075794,"AFG","DHS",1110553.229,869210.335159133,81134.8694410035,96487.6794516704,37031.6622702164,26688.6826779762
"AFGr103",0.477673324,"AFG","DHS",3319225.252,2660564.854624,183537.334860747,304161.196012885,93147.3797072597,77814.4867951049
"AFGr104",0.514833417,"AFG","DHS",4724209.594,3448401.02310174,417334.437652787,512676.846357328,182600.833792418,163196.453095723
"AFGr105",0.460395014,"AFG","DHS",4906675.786,4000766.72870272,207306.486969372,459009.312792708,124890.730792913,114702.526742291
"AFGr106",0.424135392,"AFG","DHS",3772747.236,3175852.754424,122497.320406561,343027.70508705,68374.2387102664,62995.2173721179
"AFGr107",0.48916955,"AFG","DHS",3462750.408,2711089.86406955,261485.263776023,300610.416418007,106128.341770903,83436.5219655197
"AFGr108",0.461780044,"AFG","DHS",4773072.253,3867843.45779355,231424.49560397,438955.639333364,124538.456442101,110310.203827015
"AGOr201",0.664938167,"AGO","DHS",810505.541,367044.575681439,58883.8247097342,229278.304782356,72212.9812098391,83085.8546166316
"AGOr202",0.601089587,"AGO","DHS",679802.4147,350884.523445241,53653.061979076,184601.745003578,38910.3748989204,51752.7093731844
"AGOr203",0.530213845,"AGO","DHS",1521249.659,1040843.85696473,137591.051057812,181013.187095328,72404.4037062845,89397.1601758484
"AGOr204",0.686335134,"AGO","DHS",7377696.408,3103055.14653289,589197.400487511,2136533.31574919,748061.456601503,800849.088628901
"AGOr205",0.532986801,"AGO","DHS",520721.6292,356158.925758307,47386.8277734318,62503.4582265496,23862.3412158983,30810.076225813
"AGOr206",0.444981525,"AGO","DHS",2042774.358,1662868.30403734,78806.9960404932,215277.334275224,47382.5100669157,38439.2135800266
"AGOr207",0.554596867,"AGO","DHS",1129044.456,679603.3359601,108646.507149211,175116.078121039,78138.0485331756,87540.486236474
"AGOr208",0.510366012,"AGO","DHS",934019.7648,682728.757469422,88542.0130113439,94984.1768049935,35996.531371601,31768.2861426399
"AGOr209",0.522659382,"AGO","DHS",2284471.381,1589111.18501664,197287.475063118,261018.073579749,107225.420828359,129829.226512134
"AGOr210",0.526338628,"AGO","DHS",2116607.129,1469651.05122814,175571.954220532,248491.973765903,98652.2967447661,124239.853040657
"AGOr211",0.491354023,"AGO","DHS",1519072.904,1180347.50022136,111442.657785289,132696.990745107,54352.6857707297,40233.0694775099
"AGOr212",0.535000914,"AGO","DHS",908866.9979,614767.103706751,83757.5779145422,112596.377160502,42820.2419330578,54925.697185147
"AGOr213",0.497697862,"AGO","DHS",567776.416,428238.627764341,46634.0279507639,53901.0386810622,23201.2653732416,15801.4562305909
"AGOr214",0.572293914,"AGO","DHS",547049.0535,329414.076730972,45221.2151001841,101949.579717494,32654.0145142215,37810.1674371284
"AGOr215",0.507918023,"AGO","DHS",2849122.43,2081080.91013247,268360.274149844,292028.220317204,110075.043769233,97577.9816312453
"AGOr216",0.508733513,"AGO","DHS",1159032.26,847203.329692082,109872.460212297,117866.59046782,44668.3707134626,39421.5089143375
"AGOr217",0.567594144,"AGO","DHS",592335.0958,356459.870616106,48917.1903240657,110178.370964323,35963.686064478,40815.9778310268
"AGOr218",0.565253654,"AGO","DHS",448209.4427,270098.518840878,37234.4748389376,83382.3203486577,27223.9938315737,30270.1348399533
"ALBr201",0.774652765,"ALB","DHS",131293.134,42699.174606077,10413.547580862,35118.7885240624,21264.848726566,21796.7745624325
"ALBr202",0.75303631,"ALB","DHS",127131.2875,41451.131959326,10112.0461219499,34107.4363873138,20546.1549163325,20914.5181150779
"ALBr203",0.798393233,"ALB","DHS",274931.3515,89413.2192958639,21806.2485302236,73539.6870940957,44529.1647911904,45643.0317886265
"ALBr204",0.782022365,"ALB","DHS",284835.4723,92634.2390893199,22591.7963350113,76188.8791218522,46133.2824184049,47287.2753354117
"ALBr205",0.764381473,"ALB","DHS",298535.4283,97089.7410300351,23678.4117528573,79853.3956345966,48352.1912297416,49561.6886527695
"ALBr206",0.783340944,"ALB","DHS",65713.02159,21371.1996757143,5212.04465276666,17577.1697893689,10643.1876588224,10909.4198133277
"ALBr207",0.779191812,"ALB","DHS",215247.9779,70002.9827299051,17072.4469075891,57575.3505594753,34862.5670611436,35734.6306418869
"ALBr208",0.748436894,"ALB","DHS",80568.12296,26553.1035955387,6312.98324147205,21820.0245319827,12639.1190422144,13242.8925487921
"ALBr209",0.766556615,"ALB","DHS",136303.057,44328.5025870818,10810.9108697675,36458.8618470043,22076.2792369135,22628.5024592329
"ALBr210",0.779421097,"ALB","DHS",208019.0463,67651.9884075075,16499.0823996218,55641.7283480098,33691.7355618461,34534.5115830148
"ALBr211",0.817419191,"ALB","DHS",869405.8752,282748.321543715,68957.1432461668,232552.001331054,140813.033057126,144335.376021939
"ALBr212",0.802211309,"ALB","DHS",175291.6293,57008.3724748655,13903.2991796995,46887.6739542606,28391.0503659527,29101.2333252217
"ANDt",0.857457864,"AND","LIS",71703.27753,14918.6001826794,12067.332296866,20692.9429749755,15171.2666691675,8853.13540631165
"AREt",0.866315473,"ARE","LIS",8734524.567,1817307.16209373,1469980.36960066,2520707.90910266,1848085.69425448,1078443.43194847
"ARGr101",0.867066665,"ARG","LIS",2969926.109,617923.499713579,499824.924173744,857094.873908869,628388.862259614,366693.948944195
"ARGr102",0.818413495,"ARG","LIS",16614761.9,3456871.12855905,2796188.12120161,4794875.94406894,3515417.87366918,2051408.83250121
"ARGr103",0.830193904,"ARG","LIS",1510243.414,314221.587187058,254167.030485689,435843.129083731,319543.350853964,186468.316389559
"ARGr104",0.834284065,"ARG","LIS",3529918.678,734435.680606386,594069.101660209,1018703.86440277,746874.333073644,435835.698256994
"ARGr105",0.810655244,"ARG","LIS",3644841.489,758346.546723507,613410.082945851,1051869.58926872,771190.161751376,450025.108310548
"ARGr106",0.805713075,"ARG","LIS",1710477.762,355882.391038063,287865.551638384,493629.022386332,361909.736247768,211191.060689453
"ARGr107",0.835898591,"ARG","LIS",2397703.669,498866.769087207,403522.515566071,691956.448891028,507315.746352332,296042.189103364
"ARGr108",0.820961434,"ARG","LIS",2101251.287,437186.819263288,353630.941191458,606402.866867457,444591.163920933,259439.495756863
"ARGr109",0.837177222,"ARG","LIS",2758769.113,573990.127242821,464288.171527062,796156.799283661,583711.419251014,340622.595695442
"ARGr110",0.839529301,"ARG","LIS",3475123.871,723035.060636426,584847.387298059,1002890.55913089,735280.628326539,429070.235608083
"ARGr111",0.81640017,"ARG","LIS",2541712.675,528829.315531756,427758.56988613,733516.196948487,537785.748673685,313822.843959942
"ARMr101",0.742325579,"ARM","DHS",131210.2987,45813.9778738274,13587.7983030138,31036.6459140119,21972.2827261926,18799.5938829544
"ARMr102",0.732799851,"ARM","DHS",260010.0196,93569.2789722606,25080.7740085302,70510.2045775743,36769.7866791175,34079.9753625173
"ARMr103",0.727285295,"ARM","DHS",290955.8948,105112.243390252,28066.4587183195,78574.8930920175,41630.015834113,37572.2837652981
"ARMr104",0.726766753,"ARM","DHS",210579.9252,76441.4307684235,20122.4457288297,57062.520367626,29871.0038571016,27082.5244780192
"ARMr105",0.729467107,"ARM","DHS",209499.6166,75314.3922842217,20211.9340467704,56890.3389602801,29647.6038411961,27435.3474675317
"ARMr106",0.764474893,"ARM","DHS",209599.3498,68549.7805386716,17128.4786941732,56132.9608371929,33576.1658965912,34211.9638333711
"ARMr107",0.7563809,"ARM","DHS",233481.2902,76445.9952422605,19085.2164559435,62556.8175418963,37378.2095976465,38015.0513622531
"ARMr108",0.757595347,"ARM","DHS",115350.5853,37731.916861803,9409.16109708083,30918.3681076219,18460.5812491896,18830.5579843047
"ARMr109",0.750369596,"ARM","DHS",45893.45869,15177.7204317394,3683.2149382378,12427.3469284387,7120.59907295249,7484.57731863161
"ARMr110",0.738222478,"ARM","DHS",107236.783,38303.45306695,11193.8738698708,25706.1413341569,17873.5201795832,14159.7945494391
"ARMr111",0.801494168,"ARM","DHS",1067821.317,348631.940095148,87345.4522817703,285584.76316354,171224.545448269,175034.616011273
"ATGt",0.777000313,"ATG","LIS",86195.91445,17933.9415066761,14506.3765302107,24875.3920857168,18237.6768393407,10642.5274880556
"AUSr101",0.938713281,"AUS","LIS",7454909.422,1551070.14485321,1254627.0175819,2151422.0948758,1577339.59634315,920450.56834593
"AUSr102",0.936464705,"AUS","LIS",6027606.517,1254105.17877669,1014418.49384027,1739514.87614616,1275345.13060381,744222.837633061
"AUSr103",0.93199413,"AUS","LIS",4753193.322,988950.480432795,799940.606115529,1371730.29949752,1005699.68211003,586872.25384413
"AUSr104",0.926435135,"AUS","LIS",1704174.189,354570.868210254,286804.689252885,491809.865980643,360576.0010233,210412.764532918
"AUSr105",0.953346968,"AUS","LIS",2454133.872,510607.649919777,413019.459564142,708241.715241045,519255.474735739,303009.572539297
"AUSr106",0.907428517,"AUS","LIS",505818.9174,105240.798656227,85127.0007253571,145974.945274194,107023.192614512,62452.9801297099
"AUSr107",0.926218079,"AUS","LIS",229079.4589,47662.3241659178,38553.020840309,66110.3417172617,48469.5494978791,28284.2226786325
"AUSr108",0.97091569,"AUS","LIS",385605.9439,80229.2601297327,64895.709387079,111282.525468879,81588.0501651448,47610.3987491646
"AUTr101",0.873247632,"AUT","LIS",292903.5997,58556.5635892254,30120.9555753316,44354.4862767255,89604.263207488,70267.3310512295
"AUTr102",0.878244213,"AUT","LIS",1673323.234,335582.238150851,170406.59398085,253648.74994744,512339.062561616,401346.589359244
"AUTr103",0.93960409,"AUT","LIS",1779467.684,362973.700022033,171068.137317277,266817.395159587,543903.777594889,434704.673906215
"AUTr104",0.898157341,"AUT","LIS",563289.1042,114635.567917823,54643.4802805178,85116.0808318731,173108.973729309,135785.001440477
"AUTr105",0.90806431,"AUT","LIS",1232670.607,251766.154632351,118560.373858967,184737.731820128,376794.267438209,300812.079250346
