"GDLCODE,""X1est"",""X2est"",""X3est"",""X4est"",""X5est"""
AFGr101,3868053.25390142,1418168.03070223,716353.202897126,467168.179620232,123559.332878985
AFGr102,601003.740234188,143314.409460933,49315.2270664985,32841.2582976238,5302.36494075688
AFGr103,2081466.70029325,438758.973500839,151658.714515218,102540.883679261,15141.7280114303
AFGr104,4248454.63174845,1303810.67602788,517332.694398144,318438.396833222,62105.6009923061
AFGr105,3850195.06737215,668869.983692368,227799.854755395,163027.563241752,21920.5309383392
AFGr106,3722442.72451666,424520.794984044,168774.582762913,122367.947473895,15013.9502624906
AFGr107,2629589.53959483,659217.190189074,231875.332189428,158712.22542719,26606.7125994766
AFGr108,3582516.55276691,672000.700301188,223325.22796067,157495.457140319,22543.0618309177
AGOr201,243378.67754681,127040.505007538,73088.5162440465,98367.3510171088,27716.9501844962
AGOr202,307790.403997917,118531.368428347,63530.8046819457,42772.5987896465,12396.8241021441
AGOr203,1014317.86349534,352916.959073712,147784.489083005,89272.8884864975,21270.7998614453
AGOr204,3606426.41585632,1919703.93261625,1180681.82499799,1759904.87461381,448045.951915628
AGOr205,286645.74457752,88349.2102970648,36343.1685207474,21861.0571712767,4244.81943339145
AGOr206,1560648.40461102,208375.825319106,77496.6229240766,58531.0112148352,7617.1359309606
AGOr207,693657.701417852,246189.182649752,111307.587789411,67814.6788586456,16624.8492843399
AGOr208,522653.946398674,144564.28911028,54795.9419035103,33739.5585717586,6247.2640157766
AGOr209,1595291.39085836,513216.084662356,217965.641492757,129690.209797133,28501.6731893985
AGOr210,1407520.35222299,433822.283945742,178456.336174172,107344.635222243,20843.3924348538
AGOr211,1004889.71048668,239624.424592846,82455.9997415794,54911.2099200211,8865.65525887684
AGOr212,463119.47000323,116739.658227117,40569.9123638206,27497.5461129316,4607.41329290135
AGOr213,321106.974868664,69736.2552171911,24356.7970095399,16636.7160188124,2496.25688579288
AGOr214,238113.790319438,86547.5749122472,43647.3953684104,28458.6380825357,7343.60131736894
AGOr215,1673113.23261812,501260.55622786,193992.76892373,122951.503120917,23669.9391093699
AGOr216,678473.855617767,191657.075451339,72987.5544756206,45624.0716899617,8589.44276531216
AGOr217,317011.191515303,113565.730397461,53061.7403174653,31797.7201120368,8140.61765773426
AGOr218,261223.105141802,92614.0100207268,44704.1154825153,26449.8570663442,6697.91228861146
ALBr201,41484.1866147916,22808.9554644974,22801.770863555,33525.1246774642,15517.9623796918
ALBr202,46390.9522387272,21807.1119025698,19386.6824408608,34456.7620123527,12109.4914054896
ALBr203,76300.2466615334,44617.592606256,47720.4671140118,68773.6349577191,32760.0586604798
