"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est"
"AFGr101",0.573914769,"AFG","DHS",7677596.188,3897793.85854635,3779802.32945365
"AFGr102",0.484075794,"AFG","DHS",1110553.229,566058.440236388,544494.788763612
"AFGr103",0.477673324,"AFG","DHS",3319225.252,1689357.50335441,1629867.74864559
"AFGr104",0.514833417,"AFG","DHS",4724209.594,2410855.25239858,2313354.34160142
"AFGr105",0.460395014,"AFG","DHS",4906675.786,2496296.19959621,2410379.58640379
"AFGr106",0.424135392,"AFG","DHS",3772747.236,1919042.99260248,1853704.24339752
"AFGr107",0.48916955,"AFG","DHS",3462750.408,1766639.0481652,1696111.3598348
"AFGr108",0.461780044,"AFG","DHS",4773072.253,2428644.52702113,2344427.72597887
"AGOr201",0.664938167,"AGO","DHS",810505.541,405839.06098147,404666.48001853
"AGOr202",0.601089587,"AGO","DHS",679802.4147,344444.05304232,335358.36165768
"AGOr203",0.530213845,"AGO","DHS",1521249.659,779188.157006208,742061.501993792
"AGOr204",0.686335134,"AGO","DHS",7377696.408,3674500.84290564,3703195.56509436
"AGOr205",0.532986801,"AGO","DHS",520721.6292,266647.228568617,254074.400631383
"AGOr206",0.444981525,"AGO","DHS",2042774.358,1035651.77827593,1007122.57972407
"AGOr207",0.554596867,"AGO","DHS",1129044.456,579872.101440392,549172.354559608
"AGOr208",0.510366012,"AGO","DHS",934019.7648,474304.503435787,459715.261364213
"AGOr209",0.522659382,"AGO","DHS",2284471.381,1167981.71968701,1116489.66131299
"AGOr210",0.526338628,"AGO","DHS",2116607.129,1082635.38360444,1033971.74539556
"AGOr211",0.491354023,"AGO","DHS",1519072.904,770380.039140862,748692.864859138
"AGOr212",0.535000914,"AGO","DHS",908866.9979,465266.133747465,443600.864152535
"AGOr213",0.497697862,"AGO","DHS",567776.416,287765.275653717,280011.140346283
"AGOr214",0.572293914,"AGO","DHS",547049.0535,277611.694633834,269437.358866166
"AGOr215",0.507918023,"AGO","DHS",2849122.43,1447226.10431708,1401896.32568292
"AGOr216",0.508733513,"AGO","DHS",1159032.26,588705.561249191,570326.698750809
"AGOr217",0.567594144,"AGO","DHS",592335.0958,301457.416841554,290877.678958446
"AGOr218",0.565253654,"AGO","DHS",448209.4427,227933.04319269,220276.39950731
"ALBr201",0.774652765,"ALB","DHS",131293.134,65371.6612230083,65921.4727769917
"ALBr202",0.75303631,"ALB","DHS",127131.2875,63299.4521807581,63831.8353192419
"ALBr203",0.798393233,"ALB","DHS",274931.3515,136890.015664047,138041.335835953
"ALBr204",0.782022365,"ALB","DHS",284835.4723,141821.338498106,143014.133801894
"ALBr205",0.764381473,"ALB","DHS",298535.4283,148642.63109062,149892.79720938
"ALBr206",0.783340944,"ALB","DHS",65713.02159,32718.9187617512,32994.1028282488
"ALBr207",0.779191812,"ALB","DHS",215247.9779,107173.295826851,108074.682073149
"ALBr208",0.748436894,"ALB","DHS",80568.12296,40115.3653588222,40452.7576011778
"ALBr209",0.766556615,"ALB","DHS",136303.057,67866.1327854691,68436.9242145309
"ALBr210",0.779421097,"ALB","DHS",208019.0463,103573.966195802,104445.080104198
