GDLCODE,X1est,X2est
AFGr101,3378318.81389513,3214983.18610487
AFGr102,424477.861204961,407299.138795039
AFGr103,1424052.19507398,1365514.80492602
AFGr104,3307862.02120906,3142279.97879094
AFGr105,2513302.86079903,2418510.13920097
AFGr106,2268182.06869547,2184937.93130453
AFGr107,1894558.59271097,1811442.40728903
AFGr108,2374072.78709178,2283808.21290822
AGOr201,285903.405373946,283688.594626054
AGOr202,278167.300906315,266854.699093685
AGOr203,834157.463741848,791405.536258152
AGOr204,4460288.5829473,4454474.4170527
AGOr205,224265.397713385,213178.602286615
AGOr206,974038.798191662,938630.201808338
AGOr207,582250.180835405,553343.819164595
AGOr208,390129.509310215,371871.490689785
AGOr209,1274447.77094528,1210217.22905472
AGOr210,1101213.31836345,1046773.68163655
AGOr211,709410.574532177,681336.425467823
AGOr212,333584.339760313,318949.660239687
AGOr213,221870.478549217,212462.521450783
AGOr214,207007.277802021,197103.722197979
AGOr215,1290305.37024446,1224682.62975553
AGOr216,511749.003829539,485582.996170461
AGOr217,268454.685526479,255122.314473521
AGOr218,221340.766955463,210348.233044537
ALBr201,69544.6059857715,66593.3940142285
ALBr202,68046.5026761986,66104.4973238013
ALBr203,138765.583399878,131406.416600122
ALBr204,152766.379811475,146244.620188525
ALBr205,153510.499116443,147068.500883557
ALBr206,37031.6177282012,35273.3822717988
ALBr207,119711.925968679,114548.074031321
ALBr208,40455.0206724314,39306.9793275686
ALBr209,63363.5270021934,60735.4729978066
ALBr210,117780.261999662,112837.738000338
ALBr211,429084.001385368,398062.998614632
ALBr212,88738.0014480839,83693.9985519161
ANDt,40252.8762309119,37758.1237690881
AREt,4782563.82089738,4480336.17910262
ARGr101,1715399.89946864,1626033.10053136
ARGr102,8907736.48941751,8270000.51058249
ARGr103,696474.396151307,647517.603848693
ARGr104,1788770.14694468,1664806.85305532
ARGr105,1836238.20607897,1706621.79392103
ARGr106,858637.075276353,797629.924723647
ARGr107,1133800.19820146,1054715.80179854
ARGr108,1040428.37546532,965639.624534678
ARGr109,1362503.00428739,1266821.99571261
ARGr110,1715081.74044523,1595296.25955477
ARGr111,1285519.76627155,1196293.23372845
ARMr101,74059.9710130711,71857.0289869289
ARMr102,135378.763450438,131594.236549562
ARMr103,134046.184074824,130812.815925175
ARMr104,114962.932306746,112422.067693254
ARMr105,107346.77950176,104219.22049824
ARMr106,156144.882643588,149463.117356412
ARMr107,127591.149686255,122275.850313745
ARMr108,67533.7431595089,64777.2568404911
ARMr109,31420.7412471843,30138.2587528156
ARMr110,72031.1278820684,69452.8721179316
ARMr111,474463.866010039,443590.133989961
ATGt,47785.6515602524,45780.3484397476
AUSr101,3882416.50012466,3747090.49987534
AUSr102,3077487.4993216,2969483.5006784
AUSr103,2427864.9524588,2343426.0475412
AUSr104,864082.700080866,833071.299919134
AUSr105,1280839.723201,1235377.276799
AUSr106,264260.466436056,251764.533563944
AUSr107,123621.708961546,119102.291038454
AUSr108,201631.377340769,194474.622659231
AUTr101,148782.311446432,140919.688553568
AUTr102,844700.267054535,800808.732945465
AUTr103,925340.11836833,891660.88163167
AUTr104,286519.724255212,272943.275744788
AUTr105,627621.669803341,599439.330196659
AUTr106,740354.384026049,705970.615973951
AUTr107,276062.119793658,266204.880206342
AUTr108,373544.446146162,360244.553853838
AUTr109,195267.861955594,186314.138044406
AZEr101,1451146.33442481,1350346.66557519
AZEr102,317634.190766712,301853.809233288
AZEr103,679873.747659811,678174.252340189
AZEr104,351676.967498461,341242.032501539
AZEr105,410034.978089643,409484.021910357
AZEr106,246234.565853206,242890.434146794
AZEr107,1160426.75517779,1160432.24482221
AZEr108,121454.77978667,121322.22021333
AZEr109,152930.126077962,152567.873922038
BDIr101,1529748.82517273,1472850.17482727
BDIr102,771206.416704637,743480.583295363
BDIr103,637197.700822191,613260.299177809
BDIr104,1209729.70225739,1160002.29774261
BDIr105,1029917.69805815,992763.301941851
BELr101,607124.718520636,585575.281479364
BELr102,927666.938022437,895332.061977563
BELr103,440690.727678056,423509.272321944
BELr104,756761.349127539,727337.65087246
BELr105,569405.307401009,549194.692598991
BELr106,602133.648000129,580566.351999871
BELr107,201517.24555627,194482.75444373
BELr108,687558.125707796,651941.874292204
BELr109,564668.504070706,536531.495929294
BELr110,144520.620583608,137279.379416392
BELr111,251552.038311781,238947.961688219
BENr101,800559.526505809,769492.473494191
BENr102,1054187.34370979,1028104.65629021
BENr103,1137801.64756968,1096587.35243032
BENr104,647037.272284394,614570.727715606
BENr105,897239.207215436,853884.792784564
BENr106,859827.895378005,816684.104621995
BFAr101,1030460.73916191,997386.260838088
BFAr102,364401.693201402,352598.306798598
BFAr103,1107783.09788832,1068026.90211168
BFAr104,707250.737963115,684550.262036885
BFAr105,711024.29753098,688202.70246902
BFAr106,705700.217407617,682841.782592383
BFAr107,450186.527507062,435604.472492938
BFAr108,873917.471238988,845867.528761012
BFAr109,1004581.76763861,969476.232361386
BFAr110,684151.532835665,662192.467164335
BFAr111,445793.773786298,431485.226213702
BFAr112,729430.182409466,706017.817590534
BFAr113,392140.220463779,379553.779536221
BGDr201,3311068.90153782,3272008.09846218
BGDr202,2138444.13330557,2035160.86669443
BGDr203,4482766.05522138,4406653.94477862
BGDr204,1465635.19990577,1392291.80009423
BGDr205,1308206.08025712,1245021.91974288
BGDr206,3220303.77905313,3073699.22094687
BGDr207,5032276.19607777,4875933.80392223
BGDr208,6858235.27185548,6839189.72814452
