"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est","X6est"
"AFGr101",0.573914769,"AFG","DHS",7677596.188,89773.4282474805,294577.395061357,1708154.21154438,2520272.84600671,2338248.08553926,726570.221600813
"AFGr102",0.484075794,"AFG","DHS",1110553.229,14517.777479805,37603.587108909,197637.108066863,311592.39721062,394749.402429467,154452.956704337
"AFGr103",0.477673324,"AFG","DHS",3319225.252,47878.9663049061,122681.984457577,625299.692691213,934102.56883424,1152149.21168811,437112.82802396
"AFGr104",0.514833417,"AFG","DHS",4724209.594,60805.6774020646,170935.532114223,925007.737985557,1410811.1691921,1598480.1269858,558169.350320247
"AFGr105",0.460395014,"AFG","DHS",4906675.786,71416.9771614468,179622.707291783,907007.401181076,1366311.08692869,1720403.76467879,661913.848758219
"AFGr106",0.424135392,"AFG","DHS",3772747.236,52964.2309027349,135953.155166031,688232.743163026,1044179.91710496,1331793.87175708,519623.317906162
"AFGr107",0.48916955,"AFG","DHS",3462750.408,46414.5389879188,118683.350967085,621344.609239853,975060.340392034,1226965.10481543,474282.463597675
"AFGr108",0.461780044,"AFG","DHS",4773072.253,69472.3692678146,174731.773113967,882310.559869348,1329107.89756949,1673559.01047607,643890.642703307
"AGOr201",0.664938167,"AGO","DHS",810505.541,12379.0724944659,43802.173714285,251353.063946441,282120.161526969,180034.626864032,40816.4424538058
"AGOr202",0.601089587,"AGO","DHS",679802.4147,9073.90356736261,29869.6313179442,170772.931418596,225743.808693769,189997.865806091,54344.2738962379
"AGOr203",0.530213845,"AGO","DHS",1521249.659,17431.7654172865,52024.0213634324,290939.150402814,464376.123592723,512439.529675417,184039.068548328
"AGOr204",0.686335134,"AGO","DHS",7377696.408,126485.266176393,438839.934688946,2490781.91105088,2575787.81404953,1451157.49396687,294643.988067382
"AGOr205",0.532986801,"AGO","DHS",520721.6292,5873.69358622855,17989.9127378916,101627.953690729,161711.259418616,172336.290549633,61182.5192169028
