"GDLCODE,""X1est"",""X2est"",""X3est"",""X4est"",""X5est"",""X6est"""
AFGr101,130581.796935042,334347.329718568,1728775.80146055,2097779.99232321,1874687.1775152,427129.902047423
AFGr102,14744.8683926641,36637.987106814,180167.472351741,234403.989063954,274488.033984758,91334.6491000695
AFGr103,49022.6426440564,120837.598678161,588846.948527861,768650.484118997,946794.169631511,315415.156399414
AFGr104,120578.29518026,296148.891345035,1494330.70297854,1925397.04186507,2047958.97650842,565728.092122663
AFGr105,79869.201883311,200667.590906978,969591.546318096,1304188.33453077,1736536.23553535,640960.090825503
AFGr106,65098.2948675321,171630.105255389,827315.555763376,1131989.4621854,1599228.62532321,657857.956605088
AFGr107,66334.6548640414,164646.178065594,816267.339581759,1057526.4995355,1217406.54070543,383819.787247672
AFGr108,77136.9845481698,192128.744399725,925231.592974571,1236142.24115208,1626120.50970648,601120.927218981
AGOr201,14188.3259084584,38300.3498875112,187488.680137174,190141.765025222,118570.950676254,20901.9283653804
AGOr202,10504.6881970313,28033.6078323076,146301.645939949,174172.636435835,151041.836652426,34967.5849424504
AGOr203,30511.0430527247,75293.3216495022,386796.880093396,496220.002495283,503175.920933763,133565.831775331
AGOr204,235810.265078449,648056.902041532,3093757.3357783,2963953.20802764,1712910.93861968,260274.350454397
AGOr205,8138.30720566249,20147.3190410777,101968.501101223,131491.246688126,138192.865598154,37505.7603657576
AGOr206,28249.6629676971,73375.5613893397,354303.242275705,486772.895998458,690361.43925054,279606.19811826
AGOr207,21693.5976685201,53391.9119210607,272568.96795693,345892.748499978,346598.206100847,95448.5678526639
AGOr208,14047.3600986603,33992.8788403583,167860.95168546,218397.538345315,248595.092450364,79107.1785798423
AGOr209,45934.3183546211,113917.321425182,584028.807685137,751162.486451434,780369.146557416,209252.919526209
AGOr210,39961.6364146482,98929.6444461175,500697.265878403,645663.190030923,678570.237099106,184165.026130802
AGOr211,24631.3282433863,60990.5685289268,299551.821735403,390320.427755073,461831.754033808,153421.099703403
AGOr212,11612.838942109,28812.2142654926,142283.63527517,184610.913240932,214967.457277151,70246.9409991459
AGOr213,7640.15738852299,19026.6012453326,93036.0912352201,120382.359720137,145402.264005693,48845.5264050943
AGOr214,8003.50727772168,20492.5292000731,105958.640739348,128575.328489083,114901.71540646,26179.2788873141
AGOr215,46448.4964427457,114686.504901383,575596.138916344,742042.321949799,808426.738935816,227787.798853912
AGOr216,18400.5042905153,44670.0931049037,221434.425868025,287219.849462182,322917.8706532,102689.256621175
AGOr217,10149.5728459708,25090.1543705051,128460.844039965,161177.485534965,156937.775427986,41761.1677806079
AGOr218,8368.31822693567,20686.8209452458,105915.907885122,132890.764019625,129395.124951501,34432.0639715702
ALBr201,5856.05790897487,17402.5567991367,60457.1642650554,38542.9994861353,12758.2840668883,1120.93747380946
ALBr202,4507.04451454799,14293.6559387287,56406.2829401211,41304.8322451112,16013.2480143068,1625.9363471842
ALBr203,14087.9273737015,38549.0772641639,121130.52562981,71468.4527600623,22916.1269261074,2019.89004615479
ALBr204,12289.8726481134,37039.9267522021,131542.007139784,86251.5314541517,29272.0541274444,2615.60787830436
ALBr205,11638.4402836692,35498.7456604022,129066.101649545,89652.851533903,31806.916938452,2915.9439340285
ALBr206,3593.39867652805,10090.4006539843,32342.5299608564,19495.566096003,6230.23685729327,552.867755334988
ALBr207,11183.5095551834,31852.6831264045,104815.772236786,64145.2865667793,20482.3272982892,1780.4212165581
ALBr208,2758.09028312782,8640.3283389324,33606.9875685397,24412.1144555364,9391.03741778074,953.441936082979
ALBr209,4774.75009487481,14627.9101561511,53339.9627863835,37079.7320654179,13070.4010919862,1206.24380518651
ALBr210,9813.48557940105,29273.9779085347,102188.824309483,65573.9064688105,21820.2043181534,1947.60141561766
ALBr211,62682.6413608486,144406.139732288,384472.419160112,183952.742719321,47606.8607512193,4026.19627621121
ALBr212,9650.66924515617,25494.0609698946,77482.1616130155,44560.9980048604,14031.5107058696,1212.59946120372
ANDt,9355.08172423722,19433.1699272537,35416.9613162826,11597.2517373014,2081.33113731428,127.204157610707
AREt,1108443.66279214,2303306.06792722,4196601.21995207,1382984.70886025,256267.841014985,15296.4994533291
ARGr101,417833.68520934,876574.469044063,1484921.51640117,476151.854825839,82618.0362514478,3333.43826814183
ARGr102,1574601.83183677,3370442.62532624,7941845.42644784,3428432.71709262,806777.272843339,55637.1264531838
ARGr103,141032.39407117,298064.795131581,619485.812957905,232532.764801886,49561.0937923924,3315.13924506487
ARGr104,370724.601000949,784541.501507536,1591963.17973851,581074.254376148,117453.307460598,7820.15591625552
ARGr105,277589.49659838,634321.079009701,1650638.15369922,767781.663421134,196191.534882233,16338.0723893282
