"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est","X6est","X7est","X8est"
"AFGr101",0.573914769,"AFG","DHS",7677596.188,94181.0207894572,174983.934388846,3009459.72251397,452220.985380804,157961.50812881,2836503.50668455,735648.964116288,216636.545997274
"AFGr102",0.484075794,"AFG","DHS",1110553.229,15354.184011402,18362.850713026,482570.533250469,77412.9431914522,23994.9010308674,347455.353879458,105251.81463347,40150.6482898558
"AFGr103",0.477673324,"AFG","DHS",3319225.252,44140.6039471843,54833.2681847831,1446913.84986883,227574.944718762,71944.6816858624,1042566.28093429,311885.431012428,119366.191647866
"AFGr104",0.514833417,"AFG","DHS",4724209.594,61599.4319585811,85760.1347309153,1938919.20292221,336011.265600898,102181.55447611,1571927.72759801,469402.132180219,158408.144533061
"AFGr105",0.460395014,"AFG","DHS",4906675.786,70611.8299999026,88294.8246010163,2223934.66349624,337490.709201356,113423.976854547,1447250.90978842,439123.865660504,186545.006398012
"AFGr106",0.424135392,"AFG","DHS",3772747.236,54292.5978893178,67910.8586623383,1733709.5057008,259955.140515008,86901.4574947994,1093211.31835325,334195.988574811,142570.368809677
"AFGr107",0.48916955,"AFG","DHS",3462750.408,47546.653955184,58124.4716889398,1502880.28349263,240473.695010202,74970.6440076339,1087398.42649391,326358.019727717,124998.213623781
"AFGr108",0.461780044,"AFG","DHS",4773072.253,68689.1454022163,85890.6509757751,2163379.30154385,328301.198202356,110335.563294003,1407843.81563378,427166.992527729,181465.585420291
"AGOr201",0.664938167,"AGO","DHS",810505.541,12394.3395405311,27486.2383186337,339263.085288134,40251.3030081259,17581.3093909322,278122.805522365,73316.7926955776,22089.6672356995
"AGOr202",0.601089587,"AGO","DHS",679802.4147,9067.32640022595,17594.5455201133,268000.14522599,38615.9356986232,14053.5892462126,248284.762123471,64816.3387425672,19369.7717427969
"AGOr203",0.530213845,"AGO","DHS",1521249.659,17107.0752268539,30273.7552322138,611009.508912729,93879.7060976714,30700.1292942226,548411.105048186,146366.403232572,43501.9759555506
"AGOr204",0.686335134,"AGO","DHS",7377696.408,122716.25082618,268878.941020207,3153960.98279009,361698.894347765,164503.153411409,2436189.52548273,659345.068903822,210403.591217793
"AGOr205",0.532986801,"AGO","DHS",520721.6292,5941.55739760893,10491.880487072,206339.32855431,31585.5974727681,10580.3867415946,190128.671867323,50724.5856117712,14929.6210675519
"AGOr206",0.444981525,"AGO","DHS",2042774.358,27247.0322377117,35602.9729016221,938494.383863628,129944.071498063,46234.7285029072,616912.407272793,173708.884808792,74629.8769144834
"AGOr207",0.554596867,"AGO","DHS",1129044.456,13397.2297226681,24489.1061455428,447575.428557054,66180.1227653135,23214.8646312162,415134.822004581,107323.496659162,31729.3855144632
"AGOr208",0.510366012,"AGO","DHS",934019.7648,11585.156420901,16381.428538374,384921.213586846,62830.1931649187,20121.2303213711,316807.609754668,90513.2343709076,30859.698642014
"AGOr209",0.522659382,"AGO","DHS",2284471.381,26080.81888295,42882.9117508308,929183.036716309,147043.399564793,45932.3997907244,805343.0039228,220636.164734034,67369.6456375588
"AGOr210",0.526338628,"AGO","DHS",2116607.129,24604.2824032552,39754.287125019,858874.463342328,136672.904427265,42671.1488585354,745269.690722918,205599.756320181,63160.5958004982
"AGOr211",0.491354023,"AGO","DHS",1519072.904,17976.9636483225,25527.2895202687,641100.70830773,102574.081903044,31640.1197019564,506237.783629929,144576.172810006,49439.7844787425
"AGOr212",0.535000914,"AGO","DHS",908866.9979,10620.3755556711,18393.4184382845,359690.33034004,55208.3253717885,18506.10599133,331279.056949019,88834.5172125948,26334.8680412727
"AGOr213",0.497697862,"AGO","DHS",567776.416,6756.15658826211,9865.84694373044,238589.835482663,38386.470605291,11949.7486082057,189698.866956991,54077.6108923179,18451.8799225384
"AGOr214",0.572293914,"AGO","DHS",547049.0535,6845.6432625994,12391.8991218023,215033.41759144,31819.541485809,11251.8647344222,201982.385430412,52077.0686524883,15647.2332210264
"AGOr215",0.507918023,"AGO","DHS",2849122.43,34402.4633813266,49798.1015715244,1180782.63033164,191106.113634351,60933.9542032891,964379.917634785,274247.598474114,93471.6507689684
"AGOr216",0.508733513,"AGO","DHS",1159032.26,14049.0130688212,20314.4653719066,480273.773613309,77980.4933975738,24870.0233725848,391555.997526013,111840.297096746,38148.1965530454
"AGOr217",0.567594144,"AGO","DHS",592335.0958,6899.25983246091,13300.8017714466,232941.311730263,34060.165468915,12191.4695198747,219962.411221989,56334.9773280664,16644.6989269838
"AGOr218",0.565253654,"AGO","DHS",448209.4427,5336.96536667695,9727.92120350652,175761.289070669,26638.0998674276,9163.56306167517,165704.148295675,43105.1517965642,12772.3040378054
"ALBr201",0.774652765,"ALB","DHS",131293.134,2149.29399566936,4825.37388599336,56062.963474549,6455.13233435533,2908.39750523706,43241.0164647492,11894.0384168069,3756.91792263973
"ALBr202",0.75303631,"ALB","DHS",127131.2875,2081.16376356333,4672.41489410417,54285.8298102998,6250.51181008044,2816.20453513263,41870.3242773705,11517.0106115612,3637.82779788785
"ALBr203",0.798393233,"ALB","DHS",274931.3515,4500.67939577261,10104.462613932,117397.352379089,13517.2206095382,6090.26254803281,90547.8507115783,24906.4361334055,7867.08710865196
"ALBr204",0.782022365,"ALB","DHS",284835.4723,4662.81176872537,10468.4655470331,121626.471951007,14004.1646596318,6309.65802857856,93809.7444415403,25803.6650264252,8150.49087705853
"ALBr205",0.764381473,"ALB","DHS",298535.4283,4887.08269801657,10971.9755776617,127476.436145105,14677.7339946044,6613.13861921064,98321.7855888127,27044.7642218527,8542.51145473608
"ALBr206",0.783340944,"ALB","DHS",65713.02159,1075.7348723253,2415.1293269464,28059.8582497271,3230.83346044431,1455.67085064742,21642.3948606605,5953.03942760575,1880.36054164327
"ALBr207",0.779191812,"ALB","DHS",215247.9779,3523.65102717741,7910.93898003483,91912.190343314,10582.8396330831,4768.16009229913,70891.3030926497,19499.6313994806,6159.26333196122
"ALBr208",0.748436894,"ALB","DHS",80568.12296,1318.91575472849,2961.09403995708,34403.0765136542,3961.19644487588,1784.74015113766,26534.8798166955,7298.78494374478,2305.43529520642
