GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est,X8est
AFGr101,133468.591853209,165362.210365292,2588387.06162446,483266.696145512,177742.159028125,1939861.10321232,779404.854160885,325809.323610202
AFGr102,13467.3933588166,15967.6957588879,303482.44319945,61849.3440252592,25567.3973925647,269606.942997868,98485.1792191713,43350.6040479823
AFGr103,45498.1098799681,54089.0933558211,1016889.76370788,208102.688905915,86717.3848625762,902491.075531315,329807.671166522,145971.212590007
AFGr104,114723.508132827,131389.465483399,2361061.00669028,488512.90781828,197926.011555333,2050831.75088266,767702.949635044,337994.399802173
AFGr105,78912.090990316,94506.6514855635,1785743.89901395,366440.555389949,153681.63620891,1613062.45389827,581529.558051301,257936.154961744
AFGr106,70166.9917581607,85945.2290515573,1622897.71055548,328873.893285257,138893.814008536,1455960.87550656,519354.885448564,231026.600385888
AFGr107,61663.3331785639,71919.1022486203,1346860.6541492,277923.226236085,114767.394430905,1195584.77049822,442461.581914766,194820.937343643
AFGr108,74529.0077490903,89257.3859406729,1686556.76484145,346087.027342742,145145.562766957,1523466.71616019,549229.153535536,243609.381663369
AGOr201,14223.914535585,22218.220769993,260106.657161618,40387.6167888228,12875.1250556527,140210.095640474,57150.1247985995,22420.2452492554
AGOr202,11294.9776810536,14709.989006301,222244.325288929,39299.3710309346,14118.4277843809,155581.199294043,61840.1087307447,25933.601183614
AGOr203,30148.2829588808,35145.2668006201,604525.711106492,122602.085894505,48764.9393882179,506840.285815156,192810.985855585,84725.442180542
AGOr204,244081.676068706,419852.598784783,4255596.89163527,639741.731131326,188707.928362669,1995097.6289305,846385.800783131,325298.744303622
AGOr205,7817.88452549803,8899.78444761744,159540.0594809,32967.0507696496,13446.5805147857,139493.213550876,52244.346037112,23035.0806735613
AGOr206,30514.3220278524,36599.2525544516,694435.050988218,142033.442663576,59569.9257574714,625025.895669997,224561.548159504,99929.5621789304
AGOr207,21297.8423959386,25882.0135277659,426538.748266833,85233.8444658233,33149.2052160298,350203.544157606,134734.273545022,58554.5284249805
AGOr208,12883.1211857111,14813.4657583413,275294.43132715,57432.0042330176,23687.7288430944,245641.449607527,91682.7894200105,40566.0096251479
AGOr209,45133.6219232463,52674.4106440293,924266.680155864,189076.26971447,74778.7484542568,772808.410847902,296023.188754696,129903.669505535
AGOr210,38388.2607334217,43700.7280847021,783391.642688433,161878.540982497,66026.9203377186,684955.352674871,256536.096303111,113109.458195245
AGOr211,22532.0845921662,26682.9223270199,506664.880570402,103210.626935382,42847.7024151936,451774.669830994,164571.442755358,72462.6705734843
AGOr212,10857.3692916815,12663.1534817992,237148.443860267,48935.322604807,20207.6650701325,210512.547792698,77906.407983476,34303.0899151395
AGOr213,7084.01359727019,8421.62177302565,158328.795021067,32401.396051994,13501.816561322,140517.025154349,51350.7491452147,22727.5826957573
AGOr214,8151.7539270454,10095.063988842,158262.231982023,29797.6021880048,10948.1157020005,119109.512792117,47713.519809212,20033.1996107553
AGOr215,44858.8770081379,51337.7514487008,916282.140516461,191105.617420502,77748.9252107148,800837.18536029,300199.457896636,132618.045138557
AGOr216,17314.4949156972,19639.3093393141,360004.20071519,75394.5415017174,31033.9696729557,320602.868622216,120033.116869397,53309.4983635128
AGOr217,10010.499774342,12044.3565368232,197575.525875906,39336.9880179368,15140.5058324043,160062.147786814,62479.4646713819,26927.5115043913
AGOr218,8542.97672172215,9963.47709638705,162469.094729712,32471.9939656768,12378.6796613754,131687.017684424,51941.9612395156,22233.7989011867
ALBr201,6901.98451064199,12049.1572250715,64624.5435518726,10721.2521790403,2736.35310015498,23449.4913104612,10947.6261711936,4707.59195156396
ALBr202,4742.73222338864,8985.49753929112,65378.2299851113,10402.5453398564,2741.31013018189,25585.5796194622,11992.2905001376,4322.81466257086
ALBr203,15209.9075653965,26052.9246714676,128805.28411114,21289.1308065685,5154.75915859492,43767.1758876172,20411.2352265967,9481.58257261826
ALBr204,14169.8230681195,25438.2699900396,142939.391605026,23458.5352924542,6054.90732521702,52449.6065391425,24255.027088169,10245.4390918321
ALBr205,13034.5136200391,24177.8006945632,145690.078383518,23714.2533882372,6133.527283514,53230.7086770229,24631.6943140923,9966.4236390131
ALBr206,3878.29294241142,6688.12342236717,34425.4045631194,5700.20898130461,1396.24550078939,12072.1733492158,5637.98961224226,2506.5616285499
ALBr207,12333.2813373767,21302.5213519448,111818.653038803,18408.5150949618,4569.57520253699,39511.7737908642,18300.9920308221,8014.68815269047
ALBr208,2872.14182898077,5474.5081805233,39069.4583554935,6207.39313097887,1613.53122372392,14854.5995100418,7099.49435580486,2570.87341445292
ALBr209,5343.37549108966,9922.0825390169,60194.3169935677,9777.71771791124,2542.68169110881,22020.7598675183,10200.747885267,4097.31781452046
ALBr210,11691.9733202723,20411.2925188525,109474.085008196,18161.8191469384,4635.38673442787,39723.4775524536,18545.2970687708,7974.66865008872
ALBr211,62841.6623757736,101537.038112993,386868.154899299,67257.4650339185,14349.7228291734,111914.847077818,50776.7606403304,31601.3490306948
