"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est"
"ANDt",0.857457864,"AND","LIS",71703.27753,14340.655506,14340.655506,14340.655506,14340.655506,14340.655506
"AREt",0.866315473,"ARE","LIS",8734524.567,1746904.9134,1746904.9134,1746904.9134,1746904.9134,1746904.9134
"ARGr101",0.867066665,"ARG","LIS",2969926.109,397833.646905056,468321.195563124,573068.389497134,689008.520574483,912745.153034674
"ARGr102",0.818413495,"ARG","LIS",16614761.9,3447519.41681946,3429129.12001606,3350338.55386404,3222688.99751471,3116136.78717158
"ARGr103",0.830193904,"ARG","LIS",1510243.414,279744.740204047,292615.502766871,301327.933390211,318617.596408998,324009.723627036
"ARGr104",0.834284065,"ARG","LIS",3529918.678,653852.335566962,683935.396846656,704299.115240006,744710.550814285,757313.665255748
"ARGr105",0.810655244,"ARG","LIS",3644841.489,831589.880503811,769828.254877447,739068.015091367,675383.531509055,597876.228120693
"ARGr106",0.805713075,"ARG","LIS",1710477.762,425652.559082906,364196.94022561,321544.721748352,300974.519855962,280009.058861298
"ARGr107",0.835898591,"ARG","LIS",2397703.669,444130.385706615,464564.359683019,478396.452362809,505845.993325295,514406.681684904
"ARGr108",0.820961434,"ARG","LIS",2101251.287,436004.11821426,433678.316914244,423713.757715212,407570.053930687,394094.509083054
"ARGr109",0.837177222,"ARG","LIS",2758769.113,511011.100359702,534522.185983332,550437.226088798,582020.339028237,591870.164483256
"ARGr110",0.839529301,"ARG","LIS",3475123.871,643702.60810803,673318.6910556,693366.30414428,733150.434385243,745557.911111955
"ARGr111",0.81640017,"ARG","LIS",2541712.675,579905.201929146,536836.029468039,515385.524257792,470975.456053043,416926.110965798
"ATGt",0.777000313,"ATG","LIS",86195.91445,17239.18289,17239.18289,17239.18289,17239.18289,17239.18289
"AUSr101",0.938713281,"AUS","LIS",7454909.422,1512791.8132224,1502087.39749528,1488494.86461749,1482774.15802696,1467630.17176239
"AUSr102",0.936464705,"AUS","LIS",6027606.517,1223155.54436304,1214500.57589259,1203510.44373687,1198885.0128463,1186640.46564465
"AUSr103",0.93199413,"AUS","LIS",4753193.322,964544.508477192,957719.454748181,949052.959577481,945405.480738502,935749.790735242
"AUSr104",0.926435135,"AUS","LIS",1704174.189,345820.53456157,343373.531122916,340266.311117653,338958.57148427,335496.693002623
"AUSr105",0.953346968,"AUS","LIS",2454133.872,421501.143844072,461723.110031556,498254.812818147,522286.08912777,553080.692649779
"AUSr106",0.907428517,"AUS","LIS",505818.9174,126429.212534359,111099.657255733,102639.223150817,88364.2751319418,76136.1435083013
"AUSr107",0.926218079,"AUS","LIS",229079.4589,52073.9549304396,49167.5213968403,46226.7380231116,41890.9542905826,39425.0004728798
"AUSr108",0.97091569,"AUS","LIS",385605.9439,56587.6165069268,63233.080496903,74458.9753984279,84339.7867936778,108745.370664137
"AUTr101",0.873247632,"AUT","LIS",292903.5997,76880.4360672431,65373.5979316357,56184.593295618,50223.6609887914,42974.2063677872
"AUTr102",0.878244213,"AUT","LIS",1673323.234,439208.736400413,373471.546342284,320975.861855884,286921.768510734,245506.501291145
"AUTr103",0.93960409,"AUT","LIS",1779467.684,251419.688775888,294135.262369278,350364.014815104,402291.089650205,490142.659424388
"AUTr104",0.898157341,"AUT","LIS",563289.1042,123281.316080347,121865.250380758,115902.953628534,106469.934006604,94685.2321867893
"AUTr105",0.90806431,"AUT","LIS",1232670.607,240832.631954153,250354.982632889,250962.055452975,253420.186801545,237020.898405981
"AUTr106",0.904973429,"AUT","LIS",1433562.636,313749.169177861,310145.302421135,294971.343285407,270964.444565325,240972.54861115
"AUTr107",0.934823064,"AUT","LIS",543271.8093,76758.4769552463,89799.5493838301,106966.197786941,122819.543228938,149640.643544613
"AUTr108",0.9278053,"AUT","LIS",738719.89,122155.154549346,140093.995880956,152928.735690612,162499.313508419,162605.555792656
"AUTr109",0.900440412,"AUT","LIS",379437.717,83043.646279502,82089.7688972344,78073.5004289258,71719.3149794399,63781.0106154904
"BELr101",0.94645028,"BEL","LIS",1171068.012,166258.326511413,192777.261983377,229194.301281016,261290.810949577,328779.990329941
"BELr102",0.930527276,"BEL","LIS",1817427.557,301982.114128928,343252.367149172,373988.908425511,394566.816035033,407759.003365657
"BELr103",0.913273457,"BEL","LIS",867256.3252,170258.136224479,175417.685585171,175509.571639713,175967.860108368,169972.216651235
"BELr104",0.920683959,"BEL","LIS",1488043.869,292129.983252386,300982.770565538,301140.429237069,301926.76348013,291639.400646496
"BELr105",0.937775137,"BEL","LIS",1119192.829,185964.065152202,211378.762455195,230306.678702665,242978.791295928,251102.692247243
"BELr106",0.922508952,"BEL","LIS",1163426.45,228401.699999802,235323.247899642,235446.513263218,236061.308348213,228018.138203344
"BELr107",0.924734385,"BEL","LIS",396462.3386,65875.8225172695,74878.7128740265,81583.7289765708,86072.6921503397,88950.4989824216
"BELr108",0.874404105,"BEL","LIS",1337193.767,352677.358981976,297227.318903406,254964.187843019,226292.266246173,199971.618740805
"BELr109",0.885979094,"BEL","LIS",1100315.147,290201.951032445,244574.667608077,209798.284100308,186205.480719699,164547.432466918
"BELr110",0.885853369,"BEL","LIS",281083.2981,74134.1439619883,62478.3312221271,53594.4577255151,47567.5089883945,42034.8071530169
"BELr111",0.890381279,"BEL","LIS",488157.1709,118041.750997111,107634.226514269,100398.291565395,86995.0544381438,73149.5539729226
"BGRr101",0.758113511,"BGR","LIS",787752.9178,198911.845251913,172755.403591654,149614.9667485,138333.466993208,121260.574416445
"BGRr102",0.793287735,"BGR","LIS",824948.9828,173689.073908846,175363.646364167,168067.109808254,159689.480821322,145487.082167092
"BGRr103",0.797993423,"BGR","LIS",964344.5483,203038.145407204,204995.678359777,196466.21120984,186672.974282864,170070.728567616
"BGRr104",0.784346123,"BGR","LIS",1053045.692,243787.017890735,229078.945990077,215731.739184766,194734.984156522,162425.722363928
"BGRr105",0.87092988,"BGR","LIS",2180559.577,296385.281535361,354151.337184009,425098.755262497,504861.029255221,630154.14763772
"BGRr106",0.787695097,"BGR","LIS",1470136.207,340346.220985942,319812.573490315,301178.802766144,271865.649470862,226759.329827199
"BHSt",0.80514593,"BHS","LIS",366444.5474,73288.90948,73288.90948,73288.90948,73288.90948,73288.90948
"BIHr101",0.762730034,"BIH","LIS",274498.7331,63260.9401023178,58693.2541628858,54504.6701371633,51930.0834055897,47981.9748030292
"BIHr102",0.762854333,"BIH","LIS",539501.2063,124333.373460194,115356.020280843,107123.755931037,102063.650072909,94304.0173429873
"BIHr103",0.770977546,"BIH","LIS",1054838.102,205752.35711628,210602.821191654,212974.429275258,213521.718473317,211076.347591357
"BIHr104",0.79268022,"BIH","LIS",402333.1481,67053.5846697384,70013.4451848155,77258.7279334612,83699.0700817786,100743.349761027
"BIHr105",0.767132586,"BIH","LIS",1247137.448,243261.47215147,248996.186679802,251800.144223081,252447.205466406,249556.038001599
"BLRr101",0.812370407,"BLR","LIS",1475817.89,321244.660909906,312121.673424142,297142.361873356,288906.313061768,260846.752460824
"BLRr102",0.798661106,"BLR","LIS",1294371.145,315616.420742536,291601.205072109,263386.040615404,232961.713504487,199996.679184832
"BLRr103",0.81059844,"BLR","LIS",1476174.741,321322.337484548,312197.144071326,297214.210540929,288976.170262592,260909.824893469
"BLRr104",0.820506358,"BLR","LIS",1074731.916,198000.828469997,212237.359395951,220029.154485435,225113.727536906,217454.699483373
"BLRr105",0.834156779,"BLR","LIS",3286877.927,517401.412759956,565747.338648945,640005.552631793,707561.148175989,832202.538671321
"BLRr106",0.796997184,"BLR","LIS",1095155.906,267040.244633056,246721.184387526,222848.584853084,197106.832458258,169215.410306181
"BRAr101",0.734509982,"BRA","LIS",1673816.966,437047.245712457,387576.199048834,344452.678550849,291012.724819857,226931.522774532
"BRAr102",0.715721086,"BRA","LIS",798040.1136,227275.389362546,186284.840826015,152252.528386242,131755.639385879,107977.580828716
"BRAr103",0.737377598,"BRA","LIS",3937048.04,1027995.31673502,911632.601300722,810200.141657168,684502.010160098,533774.197001232
"BRAr104",0.761456553,"BRA","LIS",520567.1711,93399.6698625191,103250.371119778,107184.834393218,110257.806385887,105671.550416909
"BRAr105",0.718943309,"BRA","LIS",8392032.883,2389983.29598141,1958934.74923732,1601057.64480112,1385516.3912239,1135471.00389939
"BRAr106",0.747708666,"BRA","LIS",781821.1715,185656.388448186,176901.320983499,159999.210235332,142286.564781869,121194.814985196
"BRAr107",0.74976169,"BRA","LIS",1525634.793,323411.482970192,324067.066673378,308929.133394781,301999.055118949,270530.290873365
"BRAr108",0.706051396,"BRA","LIS",7064246.944,2011840.56714661,1648992.44422981,1347738.59113037,1166300.23607182,955816.985124759
"BRAr109",0.715252937,"BRA","LIS",3302285.997,940464.423986139,770845.739242452,630020.20065089,545204.176525708,446810.68919216
"BRAr110",0.733146957,"BRA","LIS",8991328.504,2347709.1210038,2081962.96056648,1850314.13221641,1563247.98998332,1219019.7080239
"BRAr111",0.751097841,"BRA","LIS",3435320.106,728235.862905347,729712.061460242,695625.498415234,680020.822023249,609161.610487274
"BRAr112",0.736471853,"BRA","LIS",3974594.809,1037799.08399882,920326.642710973,817926.843809008,691029.956630244,538864.68517139
"BRAr113",0.737516093,"BRA","LIS",9440788.458,2465066.77655629,2186036.4549416,1942807.92825351,1641391.87821474,1279956.25835123
"BRAr114",0.719395418,"BRA","LIS",3289145.77,936722.193292665,767778.443434387,627513.268041583,543034.737946674,445032.77114165
"BRAr115",0.747173263,"BRA","LIS",2268308.761,538647.491017247,513246.290644028,464207.959006243,412818.011628006,351624.22129252
"BRAr116",0.735420024,"BRA","LIS",14650263.8,3825303.22777891,3392302.54801153,3014859.2766663,2547120.3090719,1986242.66614263
"BRAr117",0.761149821,"BRA","LIS",20885743.59,3747300.37627458,4142521.65042072,4300376.76625469,4423667.87768324,4239662.10182192
"BRAr118",0.764374675,"BRA","LIS",3800265.936,681840.122691857,753752.618354173,782475.14944061,804908.586342414,771427.811333386
"BRAr119",0.78957131,"BRA","LIS",16946180.07,2597870.84317565,2929570.26660063,3318550.76112481,3688781.73067744,4304571.53758038
"BRAr120",0.786365562,"BRA","LIS",44015854.3,6747686.14821156,7609239.21991024,8619573.62576424,9581208.18563921,11180655.0408068
"BRAr121",0.77046324,"BRA","LIS",11047157.81,1982070.61385156,2191116.16526072,2274610.93614206,2339823.66647423,2242496.9500405
"BRAr122",0.775230359,"BRA","LIS",6697406.759,1026720.92897769,1157813.95119428,1311545.38697416,1457866.70467705,1701236.88001091
"BRAr123",0.775976547,"BRA","LIS",11127247.01,1705821.04360304,1923622.42434361,2179035.85833071,2422137.92805656,2826479.51178489
"BRAr124",0.764311524,"BRA","LIS",2685939.265,481908.684505935,532734.757995639,553035.172580953,568890.602184618,545227.171852679
"BRAr125",0.757791801,"BRA","LIS",3357264.24,711689.200825137,713131.857831345,679819.795012035,664569.681365832,595320.502359536
"BRAr126",0.767676303,"BRA","LIS",6766385.22,1214018.44141498,1342058.86173751,1393199.41692424,1433142.22051812,1373529.59735162
"BRAr127",0.82155202,"BRA","LIS",2966809.339,454815.624949826,512887.057160101,580986.827083246,645804.071649193,753611.904590546
"BRBr101",0.804963749,"BRB","LIS",86156.25096,19416.775913672,18414.761865403,17275.5921245344,16488.5441759954,15029.3975961599
"BRBr102",0.820456023,"BRB","LIS",83440.57965,15915.9054942176,16652.7958576401,17012.6412820883,17086.3934884298,16662.8038335536
"BRBr103",0.826328961,"BRB","LIS",63796.18955,10397.4287535282,11097.4153977057,12371.1267195283,13425.9925231718,15941.9821547807
"BRBr104",0.804960944,"BRB","LIS",37390.85527,8426.66492458218,7991.80196525114,7497.41495984909,7155.84489840301,6522.59150150585
"BRNt",0.844588925,"BRN","LIS",416163.5355,83232.7071,83232.7071,83232.7071,83232.7071,83232.7071
"CANr101",0.884658461,"CAN","LIS",491619.041,140457.833182276,111605.174031059,91905.5044488267,80673.4398999835,69924.8084973693
"CANr102",0.908407491,"CAN","LIS",251004.4378,59796.1814959235,55234.1772797818,50334.394453508,45404.1193529202,40902.6769506117
"CANr103",0.894556009,"CAN","LIS",922316.4011,241596.108131687,207697.804454464,185983.565084794,159382.756815044,131449.976352299
"CANr104",0.888900461,"CAN","LIS",765140.5302,200424.685118543,172303.135921828,154289.312678108,132221.661578127,109049.025346423
"CANr105",0.908122846,"CAN","LIS",7949754.583,1893850.85004707,1749364.10613605,1594179.31609696,1438028.78178816,1295460.13765775
"CANr106",0.928615338,"CAN","LIS",13623253.4,2452104.53151455,2627837.58680121,2748592.99804581,2867944.84789848,2907072.4597393
"CANr107",0.896174246,"CAN","LIS",1294114.782,338986.810203095,291423.63576415,260956.088928094,223632.130301775,184439.26323784
"CANr108",0.911979989,"CAN","LIS",1128583.111,240009.24929101,233142.098333513,223931.332639959,222047.524443536,210374.250062828
"CANr109",0.94090693,"CAN","LIS",4091428.324,629231.225864888,687875.576907775,785099.375053661,885204.224600271,1092513.41699483
"CANr110",0.929655981,"CAN","LIS",4649344.084,836854.263970952,896828.443190161,938039.85139028,978772.2521417,992125.723980752
"CHEr101",0.949104498,"CHE","LIS",1593445.875,315497.608628342,320529.443931329,319059.273579316,324263.211998036,313849.72704448
"CHEr102",0.933888629,"CHE","LIS",1821534.36,404011.5147609,390307.878020522,368615.467004659,340799.696816396,313641.198756092
"CHEr103",0.939130424,"CHE","LIS",1088354.429,215490.984084768,218927.825162288,217923.670305759,221478.061148345,214365.449011125
"CHEr104",0.977190674,"CHE","LIS",1444127.101,206778.347939698,236419.78643445,279645.503464386,323163.217887037,407457.817926904
"CHEr105",0.923609044,"CHE","LIS",1139986.975,278018.83269205,249974.278322778,231978.248010675,203755.465699331,171674.5331759
"CHEr106",0.939137724,"CHE","LIS",799762.4542,158350.619703875,160876.13564024,160138.24609704,162750.141879983,157523.535558491
"CHEr107",0.947577549,"CHE","LIS",352317.6954,69757.870110366,70870.4304083935,70545.3694581643,71695.9824908704,69393.5164470084
"CHLr101",0.862233579,"CHL","LIS",511878.6341,74922.8047940856,88121.2327057286,102461.999613779,113838.589677772,130719.545967729
"CHLr102",0.859578327,"CHL","LIS",579789.3756,84862.7844882412,99812.2427543547,116055.593692147,128941.511584103,148062.057852055
"CHLr103",0.835893367,"CHL","LIS",290276.4858,58751.3694267452,61401.3089354332,60081.2991517313,58705.4226763001,51747.8829555712
"CHLr104",0.811489754,"CHL","LIS",764174.8966,190508.55146082,176207.082144928,160743.54582228,135740.093358648,104158.578475094
"CHLr105",0.848165033,"CHL","LIS",1831601.282,313762.321410338,361765.579259669,385484.287119151,396346.35919302,373789.981798506
"CHLr106",0.802185762,"CHL","LIS",922143.0259,250742.101090726,214354.46705561,179827.975231007,155544.314082916,125436.108741341
"CHLr107",0.773693176,"CHL","LIS",1045130.127,284183.815955699,242943.128218313,203811.805015718,176289.408655393,142165.643047915
"CHLr108",0.8072773,"CHL","LIS",2092874.964,569078.603919784,486494.052356362,408133.507077676,353019.858735005,284686.956570664
"CHLr109",0.769763242,"CHL","LIS",1067257.226,290200.448016531,248086.628066401,208126.831317655,180021.741211117,145175.520169292
"CHLr110",0.777347295,"CHL","LIS",1204128.172,327417.35213487,279902.623916494,234818.162700995,203108.721013053,163793.628622946
"CHLr111",0.79024465,"CHL","LIS",110903.5684,30156.0527792688,25779.8135769075,21627.408754516,18706.8805940267,15085.8507573138
"CHLr112",0.846004436,"CHL","LIS",157314.0486,26948.6713971381,31071.613935168,33108.7854514826,34041.7158610199,32104.3755214206
"CHLr113",0.862892657,"CHL","LIS",7197991.226,1053557.72952575,1239152.83347463,1440811.40545186,1600787.98975762,1838166.47592015
"CHNr101",0.894153271,"CHN","LIS",21433844.62,3434743.89450538,3783742.62949576,4217152.83387729,4590916.28005863,5200366.59028319
"CHNr102",0.850197421,"CHN","LIS",14940137.61,2394136.34598877,2637400.64219473,2939502.67800944,3200028.84205219,3624836.97436066
"CHNr103",0.737088928,"CHN","LIS",75429151.78,16714470.3297055,16361116.8087889,15345820.7128657,14692049.3091083,12775570.6376011
