Country;ISO_Code;GDLCODE;Region;GEOLEV1_IPUMS;Label;;;;;;;
Armenia;ARM;ARMr101;Aragatsotn;51902;Aragatsotn [Province: Armenia];;;;;;;
Armenia;ARM;ARMr102;Ararat;51903;Ararat [Province: Armenia];;;;;;;
Armenia;ARM;ARMr103;Armavir;51904;Armavir [Province: Armenia];;;;;;;
Armenia;ARM;ARMr104;Gegharkunik;51905;Gegharkunik [Province: Armenia];;;;;;;
Armenia;ARM;ARMr105;Lori;51906;Lori [Province: Armenia];;;;;;;
Armenia;ARM;ARMr106;Kotayk;51907;Kotayk [Province: Armenia];;;;;;;
Armenia;ARM;ARMr107;Shirak;51908;Shirak [Province: Armenia];;;;;;;
Armenia;ARM;ARMr108;Syunik;51909;Syunik [Province: Armenia];;;;;;;
Armenia;ARM;ARMr109;Vayots Dzor;51910;Vayots Dzor [Province: Armenia];;;;;;;
Armenia;ARM;ARMr110;Tavush;51911;Tavush [Province: Armenia];;;;;;;
Armenia;ARM;ARMr111;Yerevan;51901;Yerevan [Province: Armenia];;;;;;;
Benin;BEN;BENr101;Atacora (incl Donga);101;204002;204007;;;;;;
Benin;BEN;BENr102;Atlantique (incl Littoral (Cotonou));102;204008;204003;;;;;;
Benin;BEN;BENr103;Borgou (incl Alibori);103;204001;204004;;;;;;
Benin;BEN;BENr104;Mono (incl Couffo);104;204006;204009;;;;;;
Benin;BEN;BENr105;Queme (incl Plateau);105;204010;204011;;;;;;
Benin;BEN;BENr106;Zou (incl Collines);106;204005;204012;;;;;;
BurkinaFaso;BFA;BFAr101;Boucle de Mouhoun;854001;Boucle du Mouhoun [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr102;Cascades;854002;Cascades [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr103;Centre (incl Ouagadougou);854003;Centre [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr104;Centre-Est;854004;Centre?Est [Region: Burkina Faso];;;;;;;
BurkinaFaso;BFA;BFAr105;Centre-Nord;854005;Centre?Nord [Region: Burkina Faso];;;;;;;
