Country;liscountry;Continent;iso_code;Level;GDLcode;Region;year2015;region_number_LIS;region_number
Austria;at;Europe;AUT;National;AUTt;Total;8643;;
Austria;at;Europe;AUT;Subnat;AUTr101;Burgenland;290;11;11
Austria;at;Europe;AUT;Subnat;AUTr104;Karnten;559;21;21
Austria;at;Europe;AUT;Subnat;AUTr102;Niederosterreich;1646;12;12
Austria;at;Europe;AUT;Subnat;AUTr106;Oberosterreich;1446;31;31
Austria;at;Europe;AUT;Subnat;AUTr107;Salzburg;542;32;32
Austria;at;Europe;AUT;Subnat;AUTr105;Steiermark;1227;22;22
Austria;at;Europe;AUT;Subnat;AUTr108;Tirol;734;33;33
Austria;at;Europe;AUT;Subnat;AUTr109;Vorarlberg;382;34;34
Austria;at;Europe;AUT;Subnat;AUTr103;Wien;1817;13;13
Belgium;be;Europe;BEL;National;BELt;Total;11274;;
Belgium;be;Europe;BEL;Subnat;BELr101;Bruxelles - Brussel;1193;1;1
Belgium;be;Europe;BEL;Subnat;BELr102;Prov. Antwerpen;1823;2;2
Belgium;be;Europe;BEL;Subnat;BELr107;Prov. Brabant Wallon;396;3;3
Belgium;be;Europe;BEL;Subnat;BELr108;Prov. Hainaut;1340;3;3
Belgium;be;Europe;BEL;Subnat;BELr109;Prov. Liege;1101;3;3
Belgium;be;Europe;BEL;Subnat;BELr103;Prov. Limburg;864;2;2
Belgium;be;Europe;BEL;Subnat;BELr110;Prov. Luxembourg;282;3;3
Belgium;be;Europe;BEL;Subnat;BELr111;Prov. Namur;491;3;3
Belgium;be;Europe;BEL;Subnat;BELr104;Prov. Oost-Vlaanderen;1484;2;2
Belgium;be;Europe;BEL;Subnat;BELr105;Prov. Vlaams-Brabant;1119;2;2
Belgium;be;Europe;BEL;Subnat;BELr106;Prov. West-Vlaanderen;1183;2;2
Brazil;br;America;BRA;National;BRAt;Total;204472;;
Brazil;br;America;BRA;Subnat;BRAr102;Acre;759;12;12
Brazil;br;America;BRA;Subnat;BRAr114;Alagoas;3239;27;27
Brazil;br;America;BRA;Subnat;BRAr106;Amapa;673;16;16
Brazil;br;America;BRA;Subnat;BRAr103;Amazonas;3703;13;13
Brazil;br;America;BRA;Subnat;BRAr116;Bahia;15035;29;29
Brazil;br;America;BRA;Subnat;BRAr110;Ceara;9252;23;23
Brazil;br;America;BRA;Subnat;BRAr127;Distrito Federal;2822;53;53
Brazil;br;America;BRA;Subnat;BRAr118;Espirito Santo;3740;32;32
Brazil;br;America;BRA;Subnat;BRAr126;Goias;6341;52;52
Brazil;br;America;BRA;Subnat;BRAr108;Maranhao;6979;21;21
Brazil;br;America;BRA;Subnat;BRAr125;Mato Grosso;3192;51;51
Brazil;br;America;BRA;Subnat;BRAr124;Mato Grosso do Sul;2640;50;50
Brazil;br;America;BRA;Subnat;BRAr117;Minas Gerais;20830;31;31
Brazil;br;America;BRA;Subnat;BRAr105;Para;8207;15;15
Brazil;br;America;BRA;Subnat;BRAr112;Paraiba;4059;25;25
Brazil;br;America;BRA;Subnat;BRAr121;Parana;11281;41;41
Brazil;br;America;BRA;Subnat;BRAr113;Pernambuco;9500;26;26
Brazil;br;America;BRA;Subnat;BRAr109;Piaui;3257;22;22
Brazil;br;America;BRA;Subnat;BRAr119;Rio de Janeiro;17376;33;33
Brazil;br;America;BRA;Subnat;BRAr111;Rio Grande do Norte;3366;24;24
Brazil;br;America;BRA;Subnat;BRAr123;Rio Grande do Sul;11473;43;43
Brazil;br;America;BRA;Subnat;BRAr101;Rondonia;1658;11;11
Brazil;br;America;BRA;Subnat;BRAr104;Roraima;489;14;14
Brazil;br;America;BRA;Subnat;BRAr122;Santa Catarina;6684;42;42
Brazil;br;America;BRA;Subnat;BRAr120;Sao Paulo;44182;35;35
Brazil;br;America;BRA;Subnat;BRAr115;Sergipe;2221;28;28
Brazil;br;America;BRA;Subnat;BRAr107;Tocantins;1513;17;17
Chile;cl;America;CHL;National;CHLt;Total;17969;;
Chile;cl;America;CHL;Subnat;CHLr111;Aisen;111;11;11
Chile;cl;America;CHL;Subnat;CHLr102;Antofagasta;588;2;2
Chile;cl;America;CHL;Subnat;CHLr109;Arbucania;1013;9;9
Chile;cl;America;CHL;Subnat;CHLr103;Atacama;302;3;3
Chile;cl;America;CHL;Subnat;CHLr108;Bio Bio;2216;8;8
Chile;cl;America;CHL;Subnat;CHLr104;Coquimbo;720;4;4
Chile;cl;America;CHL;Subnat;CHLr110;Los Lagos (incl Los Rios);1271;10.14;10
Chile;cl;America;CHL;Subnat;CHLr112;Magallanes and La Antartica Chilena;182;12;12
Chile;cl;America;CHL;Subnat;CHLr107;Maule;1082;7;7
Chile;cl;America;CHL;Subnat;CHLr106;OHiggins;929;6;6
Chile;cl;America;CHL;Subnat;CHLr113;Region Metropolitana;7213;13;13
Chile;cl;America;CHL;Subnat;CHLr101;Tarapaca (incl Arica and Parinacota);514;1.15;1
Chile;cl;America;CHL;Subnat;CHLr105;Valparaiso (former Aconcagua);1828;5;5
China;cn;Asia/Pacific;CHN;National;CHNt;Total;1371220;;
China;cn;Asia/Pacific;CHN;Subnat;CHNr101;Beijing;21715;10;10
China;cn;Asia/Pacific;CHN;Subnat;CHNr102;Tianjin;15474;10;10
China;cn;Asia/Pacific;CHN;Subnat;CHNr103;Hebei;74268;10;10
China;cn;Asia/Pacific;CHN;Subnat;CHNr104;Shanxi;36649;10;10
China;cn;Asia/Pacific;CHN;Subnat;CHNr105;Inner Mongolia;25116;10;10
China;cn;Asia/Pacific;CHN;Subnat;CHNr106;Liaoning;43831;20;20
China;cn;Asia/Pacific;CHN;Subnat;CHNr107;Jilin;27537;20;20
China;cn;Asia/Pacific;CHN;Subnat;CHNr108;Heilongjiang;38129;20;20
China;cn;Asia/Pacific;CHN;Subnat;CHNr109;Shanghai;24156;30;30
China;cn;Asia/Pacific;CHN;Subnat;CHNr110;Jiangsu;79780;30;30
China;cn;Asia/Pacific;CHN;Subnat;CHNr111;Zhejiang;55404;30;30
China;cn;Asia/Pacific;CHN;Subnat;CHNr112;Anhui;61455;30;30
China;cn;Asia/Pacific;CHN;Subnat;CHNr113;Fujian;38400;30;30
China;cn;Asia/Pacific;CHN;Subnat;CHNr114;Jiangxi;45671;30;30
China;cn;Asia/Pacific;CHN;Subnat;CHNr115;Shandong;98494;30;30
China;cn;Asia/Pacific;CHN;Subnat;CHNr116;Henan;94824;40;40
China;cn;Asia/Pacific;CHN;Subnat;CHNr117;Hubei;58535;40;40
China;cn;Asia/Pacific;CHN;Subnat;CHNr118;Hunan;67847;40;40
China;cn;Asia/Pacific;CHN;Subnat;CHNr119;Guangdong;108517;40;40
China;cn;Asia/Pacific;CHN;Subnat;CHNr120;Guangxi;47972;40;40
China;cn;Asia/Pacific;CHN;Subnat;CHNr121;Hainan;9112;40;40
China;cn;Asia/Pacific;CHN;Subnat;CHNr122;Chongqing;30177;50;50
China;cn;Asia/Pacific;CHN;Subnat;CHNr123;Sichuan;82060;50;50
China;cn;Asia/Pacific;CHN;Subnat;CHNr124;Guizhou;35309;50;50
China;cn;Asia/Pacific;CHN;Subnat;CHNr125;Yunnan;47432;50;50
China;cn;Asia/Pacific;CHN;Subnat;CHNr126;Tibet;3241;50;50
