iso_code,country,year,GDLCODE,level,pop
AFG,Afghanistan,1990,AFGr101,Subnat,1980.88
AFG,Afghanistan,1990,AFGr102,Subnat,420.901
AFG,Afghanistan,1990,AFGr103,Subnat,1383.228
AFG,Afghanistan,1990,AFGr104,Subnat,1715.133
AFG,Afghanistan,1990,AFGr105,Subnat,2020.475
AFG,Afghanistan,1990,AFGr106,Subnat,1687.081
AFG,Afghanistan,1990,AFGr107,Subnat,1570.157
AFG,Afghanistan,1990,AFGr108,Subnat,1634.329
AFG,Afghanistan,1990,AFGt,National,12412.308
AFG,Afghanistan,1991,AFGr101,Subnat,2122.39
AFG,Afghanistan,1991,AFGr102,Subnat,450.97
AFG,Afghanistan,1991,AFGr103,Subnat,1482.042
AFG,Afghanistan,1991,AFGr104,Subnat,1837.658
AFG,Afghanistan,1991,AFGr105,Subnat,2164.814
AFG,Afghanistan,1991,AFGr106,Subnat,1807.602
AFG,Afghanistan,1991,AFGr107,Subnat,1682.326
AFG,Afghanistan,1991,AFGr108,Subnat,1751.082
AFG,Afghanistan,1991,AFGt,National,13299.017
AFG,Afghanistan,1992,AFGr101,Subnat,2311.748
AFG,Afghanistan,1992,AFGr102,Subnat,491.205
AFG,Afghanistan,1992,AFGr103,Subnat,1614.269
AFG,Afghanistan,1992,AFGr104,Subnat,2001.613
AFG,Afghanistan,1992,AFGr105,Subnat,2357.957
AFG,Afghanistan,1992,AFGr106,Subnat,1968.875
AFG,Afghanistan,1992,AFGr107,Subnat,1832.422
AFG,Afghanistan,1992,AFGr108,Subnat,1907.312
AFG,Afghanistan,1992,AFGt,National,14485.546
AFG,Afghanistan,1993,AFGr101,Subnat,2524.172
AFG,Afghanistan,1993,AFGr102,Subnat,536.341
AFG,Afghanistan,1993,AFGr103,Subnat,1762.602
AFG,Afghanistan,1993,AFGr104,Subnat,2185.538
AFG,Afghanistan,1993,AFGr105,Subnat,2574.627
AFG,Afghanistan,1993,AFGr106,Subnat,2149.793
AFG,Afghanistan,1993,AFGr107,Subnat,2000.8
AFG,Afghanistan,1993,AFGr108,Subnat,2082.572
AFG,Afghanistan,1993,AFGt,National,15816.603
AFG,Afghanistan,1994,AFGr101,Subnat,2725.115
AFG,Afghanistan,1994,AFGr102,Subnat,579.038
AFG,Afghanistan,1994,AFGr103,Subnat,1902.919
AFG,Afghanistan,1994,AFGr104,Subnat,2359.524
AFG,Afghanistan,1994,AFGr105,Subnat,2779.587
AFG,Afghanistan,1994,AFGr106,Subnat,2320.933
AFG,Afghanistan,1994,AFGr107,Subnat,2160.079
AFG,Afghanistan,1994,AFGr108,Subnat,2248.361
AFG,Afghanistan,1994,AFGt,National,17075.727
AFG,Afghanistan,1995,AFGr101,Subnat,2890.28
AFG,Afghanistan,1995,AFGr102,Subnat,614.132
AFG,Afghanistan,1995,AFGr103,Subnat,2018.252
AFG,Afghanistan,1995,AFGr104,Subnat,2502.531
AFG,Afghanistan,1995,AFGr105,Subnat,2948.053
AFG,Afghanistan,1995,AFGr106,Subnat,2461.6
AFG,Afghanistan,1995,AFGr107,Subnat,2290.998
AFG,Afghanistan,1995,AFGr108,Subnat,2384.63
AFG,Afghanistan,1995,AFGt,National,18110.657
AFG,Afghanistan,1996,AFGr101,Subnat,3008.82
AFG,Afghanistan,1996,AFGr102,Subnat,639.32
AFG,Afghanistan,1996,AFGr103,Subnat,2101.027
AFG,Afghanistan,1996,AFGr104,Subnat,2605.168
AFG,Afghanistan,1996,AFGr105,Subnat,3068.962
AFG,Afghanistan,1996,AFGr106,Subnat,2562.559
AFG,Afghanistan,1996,AFGr107,Subnat,2384.96
AFG,Afghanistan,1996,AFGr108,Subnat,2482.432
AFG,Afghanistan,1996,AFGt,National,18853.437
AFG,Afghanistan,1997,AFGr101,Subnat,3089.204
AFG,Afghanistan,1997,AFGr102,Subnat,656.4
AFG,Afghanistan,1997,AFGr103,Subnat,2157.158
AFG,Afghanistan,1997,AFGr104,Subnat,2674.768
AFG,Afghanistan,1997,AFGr105,Subnat,3150.953
AFG,Afghanistan,1997,AFGr106,Subnat,2631.021
AFG,Afghanistan,1997,AFGr107,Subnat,2448.676
AFG,Afghanistan,1997,AFGr108,Subnat,2548.753
AFG,Afghanistan,1997,AFGt,National,19357.126
AFG,Afghanistan,1998,AFGr101,Subnat,3149.95
AFG,Afghanistan,1998,AFGr102,Subnat,669.308
AFG,Afghanistan,1998,AFGr103,Subnat,2199.577
AFG,Afghanistan,1998,AFGr104,Subnat,2727.364
AFG,Afghanistan,1998,AFGr105,Subnat,3212.913
AFG,Afghanistan,1998,AFGr106,Subnat,2682.757
AFG,Afghanistan,1998,AFGr107,Subnat,2496.827
AFG,Afghanistan,1998,AFGr108,Subnat,2598.872
