"GDLcode","iso_code","country","region","shdi","ID","Ruralpop","Population","Urbanpop"
"AFGr101","AFG","Afghanistan","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",0.573914769,1,693988.8242,7677596.188,6983607.364
"AFGr102","AFG","Afghanistan","Central Highlands (Bamyan Daikundi)",0.484075794,2,475055.6697,1110553.229,635497.5592
"AFGr103","AFG","Afghanistan","East (Nangarhar Kunar Laghman Nooristan)",0.477673324,3,791173.443,3319225.252,2528051.809
"AFGr104","AFG","Afghanistan","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",0.514833417,4,1128166.036,4724209.594,3596043.558
"AFGr105","AFG","Afghanistan","North East (Baghlan Takhar Badakhshan Kunduz)",0.460395014,5,1176377.298,4906675.786,3730298.488
"AFGr106","AFG","Afghanistan","South (Uruzgan Helmand Zabul Nimroz Kandahar)",0.424135392,6,1181862.157,3772747.236,2590885.079
"AFGr107","AFG","Afghanistan","South East (Ghazni Paktya Paktika Khost)",0.48916955,7,1258140.607,3462750.408,2204609.801
"AFGr108","AFG","Afghanistan","West (Ghor Herat Badghis Farah)",0.461780044,8,1208617.886,4773072.253,3564454.367
"AGOr201","AGO","Angola","Cabinda",0.664938167,9,87600.86085,810505.541,722904.6801
"AGOr202","AGO","Angola","Zaire",0.601089587,10,130973.1997,679802.4147,548829.215
"AGOr203","AGO","Angola","Uige",0.530213845,11,520854.6518,1521249.659,1000395.008
"AGOr204","AGO","Angola","Luanda",0.686335134,12,78553.60092,7377696.408,7299142.807
"AGOr205","AGO","Angola","Kuanza Norte",0.532986801,13,156329.3793,520721.6292,364392.2499
"AGOr206","AGO","Angola","Kuanza Sul",0.444981525,14,900196.0238,2042774.358,1142578.334
"AGOr207","AGO","Angola","Malange",0.554596867,15,411731.4525,1129044.456,717313.0035
"AGOr208","AGO","Angola","Lunda Norte",0.510366012,16,227167.6625,934019.7648,706852.1023
"AGOr209","AGO","Angola","Benguela",0.522659382,17,644069.0395,2284471.381,1640402.341
"AGOr210","AGO","Angola","Huambo",0.526338628,18,939437.1076,2116607.129,1177170.022
"AGOr211","AGO","Angola","Bie",0.491354023,19,665957.117,1519072.904,853115.7872
"AGOr212","AGO","Angola","Moxico",0.535000914,20,190868.9764,908866.9979,717998.0215
"AGOr213","AGO","Angola","Kuando Kubango",0.497697862,21,163545.0479,567776.416,404231.3681
"AGOr214","AGO","Angola","Namibe",0.572293914,22,154110.5085,547049.0535,392938.545
"AGOr215","AGO","Angola","Huila",0.507918023,23,1314203.289,2849122.43,1534919.142
"AGOr216","AGO","Angola","Cunene",0.508733513,24,669699.8549,1159032.26,489332.4051
"AGOr217","AGO","Angola","Lunda Sul",0.567594144,25,91381.22505,592335.0958,500953.8707
"AGOr218","AGO","Angola","Bengo",0.565253654,26,222642.2112,448209.4427,225567.2315
"ALBr201","ALB","Albania","Berat",0.774652765,27,58499.39144,131293.134,72793.74252
"ALBr202","ALB","Albania","Diber",0.75303631,28,95955.36189,127131.2875,31175.92557
"ALBr203","ALB","Albania","Durres",0.798393233,29,59376.79778,274931.3515,215554.5537
"ALBr204","ALB","Albania","Elbasan",0.782022365,30,137829.4273,284835.4723,147006.045
"ALBr205","ALB","Albania","Fier",0.764381473,31,158545.5613,298535.4283,139989.867
"ALBr206","ALB","Albania","Gjirokaster",0.783340944,32,37758.57181,65713.02159,27954.44978
"ALBr207","ALB","Albania","Korce",0.779191812,33,110775.8648,215247.9779,104472.113
"ALBr208","ALB","Albania","Kukes",0.748436894,34,55784.61908,80568.12296,24783.50388
"ALBr209","ALB","Albania","Lezhe",0.766556615,35,77628.94145,136303.057,58674.11555
"ALBr210","ALB","Albania","Shkoder",0.779421097,36,91666.2616,208019.0463,116352.7847
"ALBr211","ALB","Albania","Tirana",0.817419191,37,75754.63098,869405.8752,793651.2442
"ALBr212","ALB","Albania","Vlore",0.802211309,38,72601.33516,175291.6293,102690.2942
"ANDt","AND","Andorra","Total",0.857457864,39,19144.13377,71703.27753,52559.14375
"AREt","ARE","United Arab Emirates","Total",0.866315473,40,881564.7438,8734524.567,7852959.823
"ARGr101","ARG","Argentina","City of Buenos Aires",0.867066665,41,0,2969926.109,2969926.109
"ARGr102","ARG","Argentina","Rest of Buenos Aires",0.818413495,42,1176606.827,16614761.9,15438155.07
"ARGr103","ARG","Argentina","Catamarca, La Rioja, San Juan",0.830193904,43,394465.1611,1510243.414,1115778.252
"ARGr104","ARG","Argentina","Cordoba",0.834284065,44,817069.0323,3529918.678,2712849.646
"ARGr105","ARG","Argentina","Corrientes, Entre Rios, Misiones",0.810655244,45,967075.8231,3644841.489,2677765.666
"ARGr106","ARG","Argentina","Chaco, Formosa",0.805713075,46,425802.8486,1710477.762,1284674.914
"ARGr107","ARG","Argentina","Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",0.835898591,47,456310.307,2397703.669,1941393.362
"ARGr108","ARG","Argentina","Jujuy, Salta",0.820961434,48,427234.988,2101251.287,1674016.299
"ARGr109","ARG","Argentina","La Pampa, San Luis, Mendoza",0.837177222,49,628405.5452,2758769.113,2130363.568
"ARGr110","ARG","Argentina","Santa Fe",0.839529301,50,720440.6375,3475123.871,2754683.233
"ARGr111","ARG","Argentina","Santiago del Estero, Tucuman",0.81640017,51,669960.377,2541712.675,1871752.298
"ARMr101","ARM","Armenia","Aragatsotn",0.742325579,52,91267.71044,131210.2987,39942.58827
"ARMr102","ARM","Armenia","Ararat",0.732799851,53,65852.67629,260010.0196,194157.3433
"ARMr103","ARM","Armenia","Armavir",0.727285295,54,92840.88579,290955.8948,198115.009
"ARMr104","ARM","Armenia","Gegharkunik",0.726766753,55,86257.09211,210579.9252,124322.8331
"ARMr105","ARM","Armenia","Lori",0.729467107,56,86535.65578,209499.6166,122963.9609
"ARMr106","ARM","Armenia","Kotayk",0.764474893,57,56076.01368,209599.3498,153523.3362
"ARMr107","ARM","Armenia","Shirak",0.7563809,58,88566.48879,233481.2902,144914.8014
"ARMr108","ARM","Armenia","Syunik",0.757595347,59,51783.51448,115350.5853,63567.07087
"ARMr109","ARM","Armenia","Vayots Dzor",0.750369596,60,36832.33293,45893.45869,9061.125761
"ARMr110","ARM","Armenia","Tavush",0.738222478,61,62627.34248,107236.783,44609.44048
"ARMr111","ARM","Armenia","Yerevan",0.801494168,62,8235.081965,1067821.317,1059586.236
"ATGt","ATG","Antigua and Barbuda","Total",0.777000313,63,22703.93895,86195.91445,63491.9755
"AUSr101","AUS","Australia","New South Wales",0.938713281,64,1327152.727,7454909.422,6127756.695
"AUSr102","AUS","Australia","Victoria",0.936464705,65,958292.7734,6027606.517,5069313.744
"AUSr103","AUS","Australia","Queensland",0.93199413,66,1177048.221,4753193.322,3576145.1
"AUSr104","AUS","Australia","South Australia",0.926435135,67,361885.345,1704174.189,1342288.844
"AUSr105","AUS","Australia","Western Australia",0.953346968,68,469732.3996,2454133.872,1984401.473
"AUSr106","AUS","Australia","Tasmania",0.907428517,69,237223.2354,505818.9174,268595.682
"AUSr107","AUS","Australia","Northern Territory",0.926218079,70,102943.6034,229079.4589,126135.8554
"AUSr108","AUS","Australia","Australian Capital Territory",0.97091569,71,20774.79898,385605.9439,364831.1449
"AUTr101","AUT","Austria","Burgenland",0.873247632,72,236786.337,292903.5997,56117.26275
"AUTr102","AUT","Austria","Niederosterreich",0.878244213,73,997662.1826,1673323.234,675661.0518
"AUTr103","AUT","Austria","Wien",0.93960409,74,7797.644323,1779467.684,1771670.04
"AUTr104","AUT","Austria","Karnten",0.898157341,75,364372.5528,563289.1042,198916.5515
"AUTr105","AUT","Austria","Steiermark",0.90806431,76,688710.8154,1232670.607,543959.7919
"AUTr106","AUT","Austria","Oberosterreich",0.904973429,77,777130.5114,1433562.636,656432.1247
"AUTr107","AUT","Austria","Salzburg",0.934823064,78,256958.519,543271.8093,286313.2902
"AUTr108","AUT","Austria","Tirol",0.9278053,79,353524.9634,738719.89,385194.9266
"AUTr109","AUT","Austria","Vorarlberg",0.900440412,80,95687.32618,379437.717,283750.3908
"AZEr101","AZE","Azerbaijan","Baku",0.821686612,81,77159.31434,2165583.475,2088424.16
"AZEr102","AZE","Azerbaijan","Absheron",0.797570714,82,38921.26556,635994.8821,597073.6165
"AZEr103","AZE","Azerbaijan","Ganja Gazakh",0.718838856,83,272858.6451,1275732.473,1002873.828
"AZEr104","AZE","Azerbaijan","Shaki Zaqatala",0.757158131,84,242780.5244,619932.3847,377151.8603
