iso_code,GDLcode,Nr_individuals,Nr_households,INCOME_1,INCOME_2,INCOME_3,INCOME_4,INCOME_5,INCOME_AVG,WEALTH_1,WEALTH_2,WEALTH_3,WEALTH_4,WEALTH_5,WEALTH_AVG,EDU_1,EDU_2,EDU_3,EDU_4,EDU_5,EDUF_1,EDUF_2,EDUF_3,EDUF_4,EDUF_5,EDUM_1,EDUM_2,EDUM_3,EDUM_4,EDUM_5,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,AGE_8,GENDER_0,GENDER_1,HHTYPE_1,HHTYPE_2,HHTYPE_3,HHTYPE_4,HHTYPE_5,HHTYPE_6,HHTYPE_7,HHTYPE_8,HHSIZE_1,HHSIZE_2,HHSIZE_3,HHSIZE_4,HHSIZE_5,HHSIZE_6,RURALHH_0,RURALHH_1,RURALINDI_0,RURALINDI_1,Source
AFG,AFGr101,7677973,970283,0.0,0.0,0.0,0.0,0.0,0.0,401652.0,762917.0,1116638.0,1811934.0,3584832.0,3.9657987856951302,5460532.0,302913.0,1042614.0,546393.0,325521.0,2908407.0,125107.0,416808.0,169000.0,109577.0,2552125.0,177806.0,625806.0,377393.0,215944.0,1130820.0,2183553.0,1794976.0,948520.0,660161.0,482764.0,262872.0,214307.0,3728899.0,3949074.0,3756.0,20746.0,589846.0,14189.0,16993.0,274977.0,28182.0,21594.0,3756.0,21437.0,134133.0,226737.0,444713.0,139507.0,887748.0,82535.0,6983565.0,694408.0,DHS (45)
AFG,AFGr102,1110807,148923,0.0,0.0,0.0,0.0,0.0,0.0,742482.0,240990.0,78625.0,41605.0,7105.0,1.496463382027661,873966.0,49213.0,130274.0,33792.0,23562.0,477568.0,21313.0,44117.0,7742.0,3851.0,396398.0,27900.0,86157.0,26050.0,19711.0,158726.0,342407.0,243955.0,114601.0,85224.0,69682.0,49476.0,46736.0,554591.0,556216.0,344.0,3732.0,78613.0,7247.0,2427.0,47045.0,3047.0,6468.0,344.0,5026.0,17917.0,41858.0,66170.0,17608.0,88719.0,60204.0,635489.0,475318.0,DHS (45)
AFG,AFGr103,3319330,356612,0.0,0.0,0.0,0.0,0.0,0.0,142593.0,737912.0,1029939.0,1002867.0,406019.0,3.2385442242862266,2682664.0,117762.0,318441.0,126132.0,74331.0,1435965.0,36177.0,107389.0,33328.0,14737.0,1246699.0,81585.0,211052.0,92804.0,59594.0,613953.0,1049100.0,670622.0,393875.0,232936.0,157851.0,128010.0,72983.0,1627596.0,1691734.0,0.0,5155.0,196155.0,2320.0,5470.0,131583.0,7388.0,8541.0,0.0,5666.0,28083.0,58271.0,156621.0,107971.0,270706.0,85906.0,2528025.0,791305.0,DHS (45)
AFG,AFGr104,4723510,580877,0.0,0.0,0.0,0.0,0.0,0.0,1327338.0,886476.0,827217.0,935725.0,746754.0,2.76459899523871,3716649.0,198044.0,482547.0,213139.0,113131.0,1970310.0,66778.0,175435.0,62274.0,41408.0,1746339.0,131266.0,307112.0,150865.0,71723.0,759321.0,1328227.0,975457.0,589082.0,386913.0,298674.0,224167.0,161669.0,2316205.0,2407305.0,1093.0,9329.0,298116.0,6639.0,10201.0,227788.0,16684.0,11027.0,1093.0,10324.0,70212.0,141905.0,264897.0,92446.0,445483.0,135394.0,3595627.0,1127883.0,DHS (45)
AFG,AFGr105,4906960,623669,0.0,0.0,0.0,0.0,0.0,0.0,1850817.0,1371110.0,759998.0,502093.0,422942.0,2.2409216704436146,3976834.0,184955.0,493530.0,159791.0,91850.0,2102016.0,65642.0,164150.0,38997.0,26812.0,1874818.0,119313.0,329380.0,120794.0,65038.0,714726.0,1495817.0,1079713.0,565210.0,404652.0,310013.0,198368.0,138461.0,2397617.0,2509343.0,638.0,18467.0,363470.0,7691.0,9084.0,203523.0,9488.0,11308.0,638.0,20084.0,75048.0,155433.0,283772.0,88694.0,474146.0,149523.0,3729525.0,1177435.0,DHS (45)
AFG,AFGr106,3772858,407859,0.0,0.0,0.0,0.0,0.0,0.0,68017.0,637986.0,1135851.0,838112.0,1092892.0,3.5963320114353627,3383215.0,83712.0,207339.0,76241.0,22351.0,1761694.0,21049.0,56442.0,16551.0,5346.0,1621521.0,62663.0,150897.0,59690.0,17005.0,678498.0,1273232.0,712188.0,472842.0,244862.0,169137.0,141879.0,80220.0,1861082.0,1911776.0,454.0,4952.0,210845.0,1935.0,2732.0,174456.0,8516.0,3969.0,454.0,5556.0,19646.0,67350.0,199283.0,115570.0,285261.0,122598.0,2590489.0,1182369.0,DHS (45)
AFG,AFGr107,3462175,348299,0.0,0.0,0.0,0.0,0.0,0.0,226064.0,974548.0,1020499.0,1057834.0,183230.0,2.9993119931834755,2886241.0,110745.0,306573.0,115409.0,43207.0,1503242.0,27952.0,87012.0,23436.0,9508.0,1382999.0,82793.0,219561.0,91973.0,33699.0,539187.0,1068451.0,732358.0,469492.0,289607.0,215684.0,100106.0,47290.0,1651150.0,1811025.0,0.0,1830.0,119926.0,4910.0,7756.0,195866.0,13994.0,4017.0,0.0,1923.0,12387.0,40955.0,184573.0,108461.0,227830.0,120469.0,2203935.0,1258240.0,DHS (45)
AFG,AFGr108,4772552,642085,0.0,0.0,0.0,0.0,0.0,0.0,1897647.0,1075471.0,682831.0,552893.0,563710.0,2.3314997929828736,4097922.0,147787.0,338666.0,103560.0,84617.0,2120638.0,52455.0,120541.0,24968.0,19374.0,1977284.0,95332.0,218125.0,78592.0,65243.0,817912.0,1470142.0,982221.0,585089.0,353360.0,293171.0,168882.0,101775.0,2337976.0,2434576.0,617.0,18570.0,369736.0,7601.0,8739.0,214810.0,9860.0,12152.0,617.0,20927.0,88440.0,175513.0,272381.0,84207.0,484161.0,157924.0,3564314.0,1208238.0,DHS (45)
AGO,AGOr201,810585,183392,0.0,0.0,0.0,0.0,0.0,0.0,3862.0,71771.0,261580.0,293843.0,179529.0,3.7073977436049272,487474.0,39572.0,169970.0,79423.0,34146.0,268238.0,19882.0,82506.0,28439.0,14369.0,219236.0,19690.0,87464.0,50984.0,19777.0,137972.0,228616.0,149159.0,116777.0,67799.0,51378.0,41206.0,17678.0,413434.0,397151.0,27526.0,7591.0,52360.0,24552.0,4514.0,34161.0,19354.0,13334.0,27526.0,24734.0,56068.0,39932.0,30659.0,4473.0,162298.0,21094.0,722468.0,88117.0,DHS (45)
AGO,AGOr202,679743,145152,0.0,0.0,0.0,0.0,0.0,0.0,38842.0,189733.0,311782.0,88443.0,50943.0,2.886592432728252,442127.0,28138.0,151183.0,42889.0,15406.0,247137.0,14382.0,66183.0,14925.0,5591.0,194990.0,13756.0,85000.0,27964.0,9815.0,127925.0,202438.0,108552.0,90966.0,68608.0,40143.0,23756.0,17355.0,348218.0,331525.0,22263.0,6950.0,45088.0,15154.0,3961.0,30748.0,13877.0,7111.0,22263.0,14788.0,35399.0,40019.0,31216.0,1467.0,116664.0,28488.0,548692.0,131051.0,DHS (45)
