"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7"
"Benin","BENr101",690260,237580,164450,98650,59630,37040,40000
"Benin","BENr102",926270,407270,328760,201780,114390,61130,46720
"Benin","BENr103",1122900,400130,261400,140410,77000,45240,43080
"Benin","BENr104",636110,238650,151120,96450,54790,35170,36810
"Benin","BENr105",816820,316990,251320,146650,86500,54720,45380
"Benin","BENr106",775010,297420,201800,125460,71690,46190,49960
"BurkinaFaso","BFAr101",740709.186934455,265511.163794526,170748.133295493,116046.761400012,76037.0904146839,50698.3252922192,45489.1659461564
"BurkinaFaso","BFAr102",263899.547629576,107458.406869378,67989.407113581,42972.9652241062,28624.3825942328,17852.548098183,11936.3571442714
"BurkinaFaso","BFAr103",674206.625702085,437174.279170764,300540.420953978,165466.191283916,92361.202537076,51135.0212853023,35517.9407707589
"BurkinaFaso","BFAr104",582250.926587158,195400.661857398,132890.749704646,89533.0761056807,58870.7788770601,42525.8717073782,42203.5484743883
"BurkinaFaso","BFAr105",629850.789833216,212369.42044577,133826.526832681,95189.3289684714,63154.5586187324,40966.2431606529,38772.3656715925
"BurkinaFaso","BFAr106",610209.867668121,207149.863576063,132651.606660815,94752.6329753883,64599.8144053646,47620.6582933478,45094.0600476527
"BurkinaFaso","BFAr107",317176.458785715,108196.631048161,72491.5348517949,52892.2027812795,37763.8058780435,28385.2395504016,27678.2079425528
"BurkinaFaso","BFAr108",638355.964174691,218795.090058279,145866.859213401,91768.5436893204,53536.8492472593,34842.1017338446,27688.6054661976
"BurkinaFaso","BFAr109",691788.838185502,319682.26198412,202543.760601401,128347.031871853,76598.556691505,46061.0297466224,34509.3809772099
"BurkinaFaso","BFAr110",617373.761459413,201192.082527572,129573.939661943,93109.8242395042,62801.042814808,45613.9362298945,48681.205705121
"BurkinaFaso","BFAr111",354035.680106658,116254.711872909,76380.2086949635,55689.1366417403,39021.9062390686,27802.9782262908,27605.4252770389
"BurkinaFaso","BFAr112",481415.74227954,177142.610337067,117918.315656082,80102.5221598147,54867.7322737983,33719.1691802024,26524.082817976
"BurkinaFaso","BFAr113",312684.728571146,101563.010962756,74487.8593916034,56240.2053949166,39229.8567119653,28239.6742193739,20971.8051916337
"Egypt","EGYr101",4318670,3160880,2245060,1773250,1335680,836130,410680
"Egypt","EGYr114",4318670,3160880,2245060,1773250,1335680,836130,410680
"Egypt","EGYr102",1163230,895240,666300,554830,430630,276350,120750
"Egypt","EGYr103",163930,119700,86290,71810,61350,36370,19160
"Egypt","EGYr104",169790,110300,77920,63600,48100,25240,14040
"Egypt","EGYr105",357780,239420,173660,142640,95930,54340,28470
"Egypt","EGYr106",1643140,1124260,747190,622060,447250,252750,139540
"Egypt","EGYr107",1881760,1253700,792290,630200,420300,236300,132270
"Egypt","EGYr108",1438690,966500,700050,506980,340940,187710,92210
"Egypt","EGYr109",867220,623250,399700,325780,219960,121170,58670
"Egypt","EGYr110",1267440,917370,615630,503820,371830,217620,110660
"Egypt","EGYr111",2661300,1918400,1248410,950880,656600,372400,199400
"Egypt","EGYr112",2661300,1918400,1248410,950880,656600,372400,199400
"Egypt","EGYr113",327350,213240,150390,108840,82090,43930,23470
"Egypt","EGYr115",894380,533440,307540,229520,157580,99340,66020
"Egypt","EGYr116",975490,601010,348320,256400,167590,98850,62210
"Egypt","EGYr117",1641210,935660,549670,422160,298790,185590,116300
"Egypt","EGYr118",1377380,793660,450020,336290,236090,143770,92810
"Egypt","EGYr119",1482180,856710,488170,377480,263750,166660,105150
"Egypt","EGYr120",1263530,815790,478250,364540,243470,154250,113150
"Egypt","EGYr121",394450,279390,183050,137880,92180,55320,36050
"Egypt","EGYr122",443740,242410,198310,138100,80300,40330,22650
"Ethiopia","ETHr101",1998718.62,830494.95,527392.8,374639.98,239381.68,177016.88,163460.56
"Ethiopia","ETHr102",656119.77,307870.78,170737.92,138867.94,68179.05,28942.03,14063.9
"Ethiopia","ETHr103",7931192.91,3562711.89,2177040.87,1497114.08,973523.08,633672.57,560289.34
"Ethiopia","ETHr104",15648715.51,6428002.13,3808980.48,2438631.22,1360733.63,857743.52,782692.76
"Ethiopia","ETHr105",15648715.51,6428002.13,3808980.48,2438631.22,1360733.63,857743.52,782692.76
"Ethiopia","ETHr106",382589.85,176469.65,104984.49,62063.75,36263.79,17485.07,15730.04
