"country","GDLCODE","X1","X2","X3","X4","X5"
"Benin","BENr101",1126110,130000,44210,22340,4950
"Benin","BENr102",1307770,371730,183900,177310,45610
"Benin","BENr103",1795200,173680,70710,42390,8180
"Benin","BENr104",938570,191760,76640,36490,5640
"Benin","BENr105",1269800,250970,112250,72410,12950
"Benin","BENr106",1190410,234830,92580,42680,7030
"BurkinaFaso","BFAr101",1377609.49779887,56645.7088170652,23176.0802043389,6508.84980166718,1299.69045560447
"BurkinaFaso","BFAr102",495390.0140582,29560.1597222681,11957.1521915611,2963.29423877819,862.994462521368
"BurkinaFaso","BFAr103",1229444.78585996,208241.603558771,185720.567344056,90656.008659323,42338.7162817712
"BurkinaFaso","BFAr104",1086873.94164197,34322.2255516028,16490.4725007095,4606.10297466224,1382.87064476316
"BurkinaFaso","BFAr105",1166487.78019048,28187.6866011497,13880.6940658557,4398.15250176553,1174.92017186644
"BurkinaFaso","BFAr106",1114843.28024658,51623.7048966095,25338.7651224647,8058.08082474771,2214.67253635002
"BurkinaFaso","BFAr107",606009.268115607,24621.3359909711,10231.1632665184,2859.31900232983,862.994462521368
"BurkinaFaso","BFAr108",1167829.06074066,24818.888940223,12050.7299043646,4970.01630223149,1185.31769551128
"BurkinaFaso","BFAr109",1317054.32009134,89657.8463894187,66398.5859959212,19776.0899724776,6644.01760905005
"BurkinaFaso","BFAr110",1129347.82573112,42681.8345620508,18372.4242804248,6321.69437606014,1622.01368859438
"BurkinaFaso","BFAr111",661157.733527816,23280.0554407873,8661.13719614819,2786.53633681598,904.584557100711
"BurkinaFaso","BFAr112",950260.878472474,12185.8977117475,5583.4701972768,2880.1140496195,779.814273362682
"BurkinaFaso","BFAr113",594790.34010283,22666.601545742,11198.1329654881,3815.89117765472,946.174651680054
"Egypt","EGYr101",6440770,1131900,1220420,3334530,1952730
"Egypt","EGYr114",6440770,1131900,1220420,3334530,1952730
"Egypt","EGYr102",1788000,380740,384840,1052400,501350
"Egypt","EGYr103",234930,38780,42850,174000,68050
"Egypt","EGYr104",232230,42290,43900,148780,41790
"Egypt","EGYr105",586740,96300,76030,255260,77910
"Egypt","EGYr106",2683020,356570,351090,1230960,354550
"Egypt","EGYr107",3058080,392210,380110,1154610,361810
"Egypt","EGYr108",2250890,351200,347370,1010520,273100
"Egypt","EGYr109",1537870,162800,175000,592700,147380
"Egypt","EGYr110",2048090,308680,303580,1017340,326680
"Egypt","EGYr111",4579350,616870,581170,1808770,421230
"Egypt","EGYr112",4579350,616870,581170,1808770,421230
"Egypt","EGYr113",492300,83040,73810,233520,66640
"Egypt","EGYr115",1526830,156200,137790,382120,84880
"Egypt","EGYr116",1666160,156860,154530,452200,80120
"Egypt","EGYr117",2778900,288090,242800,691050,148540
"Egypt","EGYr118",2219180,264780,211470,591510,143080
"Egypt","EGYr119",2426740,307930,266790,599950,138690
"Egypt","EGYr120",2024370,276740,298500,697470,135900
"Egypt","EGYr121",581410,101460,122060,315490,57900
"Egypt","EGYr122",630500,102370,102430,255290,75250
"Ethiopia","ETHr101",3783097.35,228501.79,219277.82,69077.86,11150.65
"Ethiopia","ETHr102",1329162.14,23067.52,19463.92,11306.37,1781.44
"Ethiopia","ETHr103",15830412.39,651196.36,605094.21,231400.42,17441.36
"Ethiopia","ETHr104",28582320.87,1221718.18,1083024.34,409401.06,29034.8
"Ethiopia","ETHr105",28582320.87,1221718.18,1083024.34,409401.06,29034.8
"Ethiopia","ETHr106",714084.32,36066.43,30580.37,13078.83,1776.69
"Ethiopia","ETHr107",13393432.77,733017.3,543070.99,199821.03,18674.23
"Ethiopia","ETHr108",273891.31,22008.23,17859.23,6665.02,1386.08
"Ethiopia","ETHr109",129433.1,14074.59,21402.64,14539.19,1559.78
"Ethiopia","ETHr110",1341844.79,323263.24,520211.85,522565.53,68487.69
"Ethiopia","ETHr111",246253.06,31917.6,40651.46,22681.06,2416.99
"Ghana","GHAr101",1336730,245560,494250,209800,14570
"Ghana","GHAr102",1263810,239750,439060,164480,14070
"Ghana","GHAr103",1613430,386310,1046450,735870,113110
"Ghana","GHAr104",1279820,241100,398740,155700,9040
"Ghana","GHAr105",1440900,321960,591590,199230,15800
"Ghana","GHAr106",2419260,522530,1167570,505750,47730
"Ghana","GHAr107",1471830,242620,395220,157260,9880
"Ghana","GHAr108",2062620,143710,132750,102050,6080
"Ghana","GHAr110",832600,80520,64150,48250,3400
"Ghana","GHAr109",557960,52390,42890,38120,2440
"Guinea","GINr101",925370,92090,39830,23010,4030
"Guinea","GINr102",972570,252950,178690,215200,34710
"Guinea","GINr103",836990,62640,25780,11390,2540
"Guinea","GINr104",1781300,104740,44160,33070,2910
"Guinea","GINr105",1310060,132950,63970,45970,7830
"Guinea","GINr106",894220,67820,22850,12850,1470
"Guinea","GINr107",659660,46910,15030,9500,1560
"Guinea","GINr108",1324490,153960,59890,29430,4770
"Kenya","KENr101",1053560,654380,287130,961510,124220
"Kenya","KENr102",1910220,1240810,383240,746260,45960
"Kenya","KENr103",2105900,641530,145410,362420,19480
"Kenya","KENr104",3391140,1326150,324980,523430,24330
"Kenya","KENr108",2095950,118000,46560,31150,2610
"Kenya","KENr105",3146320,1315160,399360,498350,27810
"Kenya","KENr106",6306750,2005520,547320,942810,58230
"Kenya","KENr107",2684450,969300,286050,333370,18180
"Lesotho","LSOr101",68300,25970,7020,6410,400
"Lesotho","LSOr102",168200,76620,22350,17790,1600
"Lesotho","LSOr103",145700,60260,19310,23200,3490
"Lesotho","LSOr104",219580,103990,35950,46010,7500
"Lesotho","LSOr105",120570,43790,12120,9840,1000
"Lesotho","LSOr106",116560,36430,8740,7780,650
"Lesotho","LSOr107",85030,24400,6380,5670,490
"Lesotho","LSOr108",47940,13590,3890,3630,380
"Lesotho","LSOr109",70430,18030,3820,3250,210
"Lesotho","LSOr110",74920,17060,3270,2290,270
"Liberia","LBRr105",105920,9690,5370,4160,390
"Liberia","LBRr103",298840,26400,14090,10150,630
"Liberia","LBRr108",298840,26400,14090,10150,630
"Liberia","LBRr107",433060,61500,35970,19480,800
"Liberia","LBRr110",433060,61500,35970,19480,800
"Liberia","LBRr113",433060,61500,35970,19480,800
"Liberia","LBRr114",433060,61500,35970,19480,800
"Liberia","LBRr115",433060,61500,35970,19480,800
"Liberia","LBRr101",1399340,188930,145810,184650,24770
"Liberia","LBRr102",1399340,188930,145810,184650,24770
"Liberia","LBRr104",1399340,188930,145810,184650,24770
"Liberia","LBRr106",1399340,188930,145810,184650,24770
"Liberia","LBRr109",1399340,188930,145810,184650,24770
"Liberia","LBRr111",1399340,188930,145810,184650,24770
"Liberia","LBRr112",369420,45120,26330,16590,930
"Malawi","MWIr111",643330.791655395,121766.523340293,53391.9428647439,40695.8121985595,1002.85392307934
"Malawi","MWIr105",645978.326012325,123631.831637221,54976.4520632093,52288.8035493566,1905.42245385074
"Malawi","MWIr102",528955.301728196,65295.8189316957,27538.3687277586,22564.2132692851,531.512579232049
"Malawi","MWIr112",2325457.79099329,197351.623522783,93104.9582186857,74130.9619940246,1634.65189461932
"Malawi","MWIr106",304717.164527657,22333.5568669768,11512.7630369508,9707.62597540799,250.713480769834
"Malawi","MWIr109",1550662.87856143,152112.883052674,103945.809127173,133359.51469109,9797.88282848513
"Malawi","MWIr104",728513.203881754,45188.5977739549,20688.8764331267,17830.7427523506,461.312804616495
"Malawi","MWIr103",447162.535761846,30145.7889277649,13057.158078493,10550.0232707946,270.770559231421
"Malawi","MWIr108",551690.000164405,55558.1073385953,30587.0446539198,32311.9534016163,1885.36537538915
