"country","GDLCODE","X1","X2"
"Benin","BENr101",673710,653900
"Benin","BENr102",1071370,1014950
"Benin","BENr103",1049200,1040960
"Benin","BENr104",657560,591540
"Benin","BENr105",888170,830210
"Benin","BENr106",806090,761440
"BurkinaFaso","BFAr101",737839.47040848,727400.356669065
"BurkinaFaso","BFAr102",273974.748041422,266758.866631906
"BurkinaFaso","BFAr103",875315.528040498,881086.153663382
"BurkinaFaso","BFAr104",608244.735699247,535430.877614462
"BurkinaFaso","BFAr105",644386.527888696,569742.70564242
"BurkinaFaso","BFAr106",647734.530502333,554343.973124418
"BurkinaFaso","BFAr107",340456.514226502,304127.566611446
"BurkinaFaso","BFAr108",615574.989868856,595279.023714137
"BurkinaFaso","BFAr109",758644.915221796,740885.944836417
"BurkinaFaso","BFAr110",638543.119600298,559802.673037957
"BurkinaFaso","BFAr111",371805.048015682,324984.999042986
"BurkinaFaso","BFAr112",489608.990911671,482081.18379281
"BurkinaFaso","BFAr113",328520.157082231,304896.983361164
"Egypt","EGYr101",6877430,7202920
"Egypt","EGYr114",6877430,7202920
"Egypt","EGYr102",2005950,2101380
"Egypt","EGYr103",274980,283630
"Egypt","EGYr104",250450,258540
"Egypt","EGYr105",533580,558660
"Egypt","EGYr106",2451280,2524910
"Egypt","EGYr107",2603380,2743440
"Egypt","EGYr108",2059490,2173590
"Egypt","EGYr109",1292650,1323100
"Egypt","EGYr110",1970560,2033810
"Egypt","EGYr111",3893310,4114080
"Egypt","EGYr112",3893310,4114080
"Egypt","EGYr113",465620,483690
"Egypt","EGYr115",1120700,1167120
"Egypt","EGYr116",1210810,1299060
"Egypt","EGYr117",2030980,2118400
"Egypt","EGYr118",1678110,1751910
"Egypt","EGYr119",1846680,1893420
"Egypt","EGYr120",1708290,1724690
"Egypt","EGYr121",585460,592860
"Egypt","EGYr122",549860,615980
"Ethiopia","ETHr101",2196612.27,2114493.2
"Ethiopia","ETHr102",611343.15,773438.24
"Ethiopia","ETHr103",8621900.46,8713644.28
"Ethiopia","ETHr104",15281038.65,16044460.6
"Ethiopia","ETHr105",15281038.65,16044460.6
