"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Benin","BENr101",9450,20020,107930,196780,459850,533580
"Benin","BENr102",64290,114060,487520,621110,620610,178730
"Benin","BENr103",13660,30140,172570,298420,670640,904730
"Benin","BENr104",27260,54780,240820,320500,413870,191870
"Benin","BENr105",40340,67760,339550,465230,561570,243930
"Benin","BENr106",35070,65740,296940,407680,520910,241190
"BurkinaFaso","BFAr101",13506.3832146416,52050.0033660478,239922.858104585,304189.951753315,525553.230151868,330017.400487087
"BurkinaFaso","BFAr102",5053.19649139018,16615.2427844475,77950.2347653337,102841.90637107,198509.521427204,139763.512833882
"BurkinaFaso","BFAr103",43648.8042610205,76608.9542151499,369236.859675407,450826.227716434,594457.619346195,221623.216489674
"BurkinaFaso","BFAr104",7361.44674054372,39219.4591883205,176560.349012956,227861.730676576,415609.815131375,277062.812563938
"BurkinaFaso","BFAr105",5240.35191699722,32211.5282517012,147759.208516761,202356.605175794,409246.530660735,417315.009009128
"BurkinaFaso","BFAr106",7850.130351851,31691.6520694594,145544.535980411,198551.111521784,382483.304798928,435957.768904319
"BurkinaFaso","BFAr107",5292.3395352214,18528.3871350973,98121.430636315,139888.28311762,235680.668457492,147072.971956202
"BurkinaFaso","BFAr108",4668.48811653126,38283.6820602853,172068.618798387,241773.617313366,449848.860493819,304210.746800605
"BurkinaFaso","BFAr109",17977.318381921,53775.9922910905,251152.183641008,312206.442483483,531386.240916621,333032.682344089
"BurkinaFaso","BFAr110",6498.45227802235,35226.8101087035,157595.265884776,207856.895183912,417325.406532773,373842.96265007
"BurkinaFaso","BFAr111",3940.66146139275,19006.6732227598,87838.2797515725,126444.285044848,257910.574010151,201649.573567945
"BurkinaFaso","BFAr112",4730.87325840027,55855.4970200577,189006.184815824,241004.200563648,350885.230442272,130208.188604278
"BurkinaFaso","BFAr113",5562.67514998713,20753.4571950922,93889.6385128669,135625.298423238,228007.296007603,149578.775154607
"Egypt","EGYr101",305630,1064640,5351680,5580060,1709220,69120
"Egypt","EGYr114",305630,1064640,5351680,5580060,1709220,69120
"Egypt","EGYr102",78690,331720,1699310,1580140,401280,16190
"Egypt","EGYr103",8940,40540,222200,236790,46720,3420
"Egypt","EGYr104",8160,30600,168230,224850,74230,2920
"Egypt","EGYr105",21050,86480,426460,472590,83710,1950
"Egypt","EGYr106",86570,362840,1882160,2148230,480790,15600
"Egypt","EGYr107",72310,318800,1684650,2345330,884400,41330
"Egypt","EGYr108",62030,279980,1540260,1805960,529370,15480
"Egypt","EGYr109",28230,153120,851120,1163120,395610,24550
"Egypt","EGYr110",64640,267340,1461060,1761530,429650,20150
"Egypt","EGYr111",86610,460360,2567840,3464540,1316250,111790
"Egypt","EGYr112",86610,460360,2567840,3464540,1316250,111790
"Egypt","EGYr113",13930,59320,318110,397520,149810,10620
"Egypt","EGYr115",29870,119100,555310,857820,670560,55160
"Egypt","EGYr116",37170,138120,672140,956170,674290,31980
"Egypt","EGYr117",57860,226380,1013620,1569890,1204250,77380
"Egypt","EGYr118",43570,195000,748850,1183510,1180990,78100
"Egypt","EGYr119",54650,238020,847370,1311640,1218350,70070
"Egypt","EGYr120",44240,190580,772820,1208540,1114620,102180
"Egypt","EGYr121",19750,77180,313870,429380,320650,17490
"Egypt","EGYr122",17800,74040,315290,412530,292540,53640
"Ethiopia","ETHr101",128252.98,284719.19,1058561.18,1398861.4,1440058.32,652.4
"Ethiopia","ETHr102",15791.54,37340.98,196995.64,441347.08,692429.35,876.8
"Ethiopia","ETHr103",360307.91,1162676.9,4678795.81,6209841.82,4913673.49,10248.81
"Ethiopia","ETHr104",432310.4,1427522.42,6921128.41,10493597.49,12026601.48,24339.05
"Ethiopia","ETHr105",432310.4,1427522.42,6921128.41,10493597.49,12026601.48,24339.05
"Ethiopia","ETHr106",17459.38,51506.39,204452.23,270305.16,250479.13,1384.35
"Ethiopia","ETHr107",206973.12,681806.51,3576719.86,5159769.42,5248452.9,14294.51
"Ethiopia","ETHr108",8050.54,15835.88,71075.8,109607.38,116481.7,758.57
"Ethiopia","ETHr109",7718.32,13197.09,52522.95,60980.94,46590,0
"Ethiopia","ETHr110",100754.68,210966.5,823329.18,912252.78,728384.82,685.14
"Ethiopia","ETHr111",10832.41,24455.26,95496.33,105806.13,106586.69,743.35
"Ghana","GHAr101",99880,152340,545790,665690,726360,110850
"Ghana","GHAr102",107490,149480,511280,602310,651980,98630
"Ghana","GHAr103",206050,346080,1126670,1123820,892950,199600
"Ghana","GHAr104",89800,139040,499620,563720,656580,135640
"Ghana","GHAr105",128230,175480,609210,735120,769940,151500
"Ghana","GHAr106",214820,317800,1086800,1327470,1423740,292210
"Ghana","GHAr107",77240,117240,452150,605710,819500,204970
"Ghana","GHAr108",17230,32440,182390,355470,1022940,836740
"Ghana","GHAr110",11890,29280,150570,260790,418080,158310
"Ghana","GHAr109",7970,16520,78840,143390,310040,137040
"Guinea","GINr101",5720,17840,110040,183950,394080,372700
"Guinea","GINr102",11540,31620,179360,292850,576200,562550
"Guinea","GINr103",3480,13380,82930,153330,368730,317490
"Guinea","GINr104",6000,15260,88580,170910,478010,1207420
"Guinea","GINr105",9210,29500,170810,284180,588160,478920
"Guinea","GINr106",10500,29420,145050,212110,394410,207720
"Guinea","GINr107",10740,33440,137980,177070,272850,100580
"Guinea","GINr108",12930,28960,170110,313470,616900,430170
"Kenya","KENr101",256410,381500,1103410,851270,443900,44310
"Kenya","KENr102",242940,367440,1548730,1376760,729330,61290
"Kenya","KENr103",129300,194040,679210,815160,1098620,358410
