"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7","X8"
"Benin","BENr101",9450,6840,410220,51630,14900,668670,123950,41950
"Benin","BENr102",64290,39780,894510,176310,34860,568450,194070,114050
"Benin","BENr103",13660,13160,721230,55580,21430,1065450,150190,49460
"Benin","BENr104",27260,14780,543610,218260,15330,248650,117830,63380
"Benin","BENr105",40340,27060,857930,143170,21910,429570,132680,65720
"Benin","BENr106",35070,21700,705280,170310,22130,395340,141110,76590
"BurkinaFaso","BFAr101",13506.3832146416,35268.4002032829,680237.18941609,45977.8495574637,40883.0629714942,561372.699108327,49003.5289381109,38990.7136681341
"BurkinaFaso","BFAr102",5053.19649139018,10605.4741177325,237510.632618983,11510.0586748332,14369.377677163,220604.25917248,22552.2287856488,18528.3871350973
"BurkinaFaso","BFAr103",43648.8042610205,32211.5282517012,586077.215288457,59546.6179139744,40248.8140291592,727577.114571027,139472.382171827,127619.205216714
"BurkinaFaso","BFAr104",7361.44674054372,21065.3829044372,496190.623378852,55481.1861688436,27366.2822332077,436238.502042729,60139.27676173,39832.9130833658
"BurkinaFaso","BFAr105",5240.35191699722,22292.2906945279,528121.418492143,25848.2437810617,25723.4734973237,549821.050338915,31026.2105561899,26056.1942539584
"BurkinaFaso","BFAr106",7850.130351851,16885.5783992133,421754.751605473,38314.8746312198,28936.3083035779,586825.836990885,54223.0858078185,47287.937536713
"BurkinaFaso","BFAr107",5292.3395352214,10647.0642123118,279464.640525896,18372.4242804248,15471.5151835156,266093.425118637,26503.2877706863,22739.3842112558
"BurkinaFaso","BFAr108",4668.48811653126,30173.6136173134,631826.319325735,24007.8820959258,26700.8407199382,437299.049454502,28146.0965065704,28031.7237464772
"BurkinaFaso","BFAr109",17977.318381921,34540.5735481444,640165.133288893,37940.5637800057,37503.8677869226,583290.678951641,82223.6169833612,65889.1073373242
"BurkinaFaso","BFAr110",6498.45227802235,19921.6553035053,453144.875489232,41538.1069611189,35133.2323959,560021.021034499,47537.4781041891,34550.9710717892
"BurkinaFaso","BFAr111",3940.66146139275,12061.1274280095,301538.583223882,20067.220634533,12996.9045560447,303056.621676028,25494.7279771373,17634.2001016414
"BurkinaFaso","BFAr112",4730.87325840027,46539.3158342849,511402.200471247,27802.9782262908,34114.2750787061,289186.325133817,31514.8941674972,26399.312534238
"BurkinaFaso","BFAr113",5562.67514998713,11478.8661038987,219086.220720334,22437.8560255556,19131.4435064978,281575.337825797,41122.2060153254,33022.5350959984
"Egypt","EGYr101",305630,740980,10456970,1083010,65330,744130,388070,296230
"Egypt","EGYr114",305630,740980,10456970,1083010,65330,744130,388070,296230
"Egypt","EGYr102",78690,243340,3090440,314740,16220,193480,99830,70590
"Egypt","EGYr103",8940,27300,378860,49280,3460,48650,33040,9080
"Egypt","EGYr104",8160,20900,358990,49540,3170,35640,24640,7950
"Egypt","EGYr105",21050,64200,847210,86220,3310,40530,16160,13560
"Egypt","EGYr106",86570,259220,3660310,469760,26330,311620,105180,57200
"Egypt","EGYr107",72310,237680,4021770,400390,25190,422340,108710,58430
"Egypt","EGYr108",62030,212700,3303980,286790,15220,227130,78530,46700
"Egypt","EGYr109",28230,109340,1912880,180410,19270,262960,50800,51860
"Egypt","EGYr110",64640,184880,2962650,321090,19180,313840,86150,51940
"Egypt","EGYr111",86610,346360,5973700,490430,41630,801340,154500,112820
"Egypt","EGYr112",86610,346360,5973700,490430,41630,801340,154500,112820
"Egypt","EGYr113",13930,43860,694720,70220,5620,79070,25530,16360
"Egypt","EGYr115",29870,82200,1602860,177120,13630,295630,45940,40570
"Egypt","EGYr116",37170,101860,1938090,195650,8790,172330,31970,24010
"Egypt","EGYr117",57860,164500,3008610,305970,27700,418350,92610,73780
"Egypt","EGYr118",43570,139480,2543340,323130,16800,234730,68300,60670
"Egypt","EGYr119",54650,164700,2663060,464140,18350,228830,70500,75870
"Egypt","EGYr120",44240,126040,2317550,349170,27220,377480,106940,84340
"Egypt","EGYr121",19750,49360,831050,126010,6040,83170,34140,28800
"Egypt","EGYr122",17800,51920,836840,67180,6820,111990,26610,46680
"Ethiopia","ETHr101",128252.98,97699.14,2495748.34,533722.6,86813.54,547636.29,264727.96,156504.62
"Ethiopia","ETHr102",15791.54,22735.08,943579.19,187159.28,15005.6,118898.31,53642.91,27969.48
"Ethiopia","ETHr103",360307.91,508501.25,10020778.38,1412710.74,466352.92,2869354.8,925831.09,771707.65
"Ethiopia","ETHr104",432310.4,667795.83,18740549.3,3356037.27,708062.23,4684575.4,1505815.41,1230353.41
"Ethiopia","ETHr105",432310.4,667795.83,18740549.3,3356037.27,708062.23,4684575.4,1505815.41,1230353.41
"Ethiopia","ETHr106",17459.38,25732.54,421959.78,85930.28,21940.98,152291.64,41129.16,29142.88
"Ethiopia","ETHr107",206973.12,272700.91,8679273.2,1665383.16,361518.4,2196558.07,774192.91,731416.55
"Ethiopia","ETHr108",8050.54,6868.38,155150.43,31609.12,9915.73,63720.81,30415.81,16079.05
"Ethiopia","ETHr109",7718.32,6379.53,86538.08,16184.05,5256.05,29907.76,17079.39,11946.12
"Ethiopia","ETHr110",100754.68,71212.61,616094.99,231670.39,106337.94,834978.58,467697.43,347626.48
"Ethiopia","ETHr111",10832.41,10131.42,145050.89,35864.08,10736.52,66162.02,36278.4,28864.43
"Ghana","GHAr101",99880,49040,794000,250230,54640,530190,341700,181230
"Ghana","GHAr102",107490,40560,617400,270440,52050,423060,419440,190730
"Ghana","GHAr103",206050,105080,1073870,401670,99350,845480,692330,471340
"Ghana","GHAr104",89800,33180,543280,224150,54860,551220,383110,204800
"Ghana","GHAr105",128230,48940,747380,277320,63640,608270,478090,217610
"Ghana","GHAr106",214820,89120,1337580,563480,93980,1013390,916910,433560
"Ghana","GHAr107",77240,32160,626780,227910,45380,657810,434450,175080
"Ghana","GHAr108",17230,10920,540090,84040,33530,1468630,208010,84760
"Ghana","GHAr110",11890,7680,227430,85590,21230,477750,145020,52330
"Ghana","GHAr109",7970,3980,145870,41160,15650,355050,83650,40470
"Guinea","GINr101",5720,9400,304960,28320,33320,593320,76880,32410
"Guinea","GINr102",11540,16740,301550,31890,68120,947410,194430,82440
"Guinea","GINr103",3480,8280,331770,17840,24960,469780,57080,26150
"Guinea","GINr104",6000,9660,411790,18170,42360,1371720,75060,31420
"Guinea","GINr105",9210,14900,424720,45660,56110,832670,119220,58290
"Guinea","GINr106",10500,10320,315690,64580,41580,412710,89510,54320
"Guinea","GINr107",10740,14180,277460,47090,34730,244590,62470,41400
"Guinea","GINr108",12930,13280,410980,47430,48560,812940,161320,65100
"Kenya","KENr101",256410,138180,978840,258270,67860,735090,305970,340180
"Kenya","KENr102",242940,146500,1697250,579440,125340,810700,493130,231190
"Kenya","KENr103",129300,71480,993970,337210,73870,901040,532730,235140
"Kenya","KENr104",163710,93820,1843180,844740,156520,1267670,877370,343020
"Kenya","KENr108",5620,7780,1301840,251460,13830,492460,177350,43930
"Kenya","KENr105",135680,88540,1841400,782520,139860,1249220,826240,323540
"Kenya","KENr106",290220,155940,3640540,1391180,171580,2305750,1408900,496520
"Kenya","KENr107",94780,71180,1574610,555760,125620,1007630,632990,228780
"Lesotho","LSOr101",2840,1820,32950,8920,2560,29980,20790,8240
"Lesotho","LSOr102",8360,6780,79190,26690,9130,79920,55350,21140
"Lesotho","LSOr103",7870,5380,67850,20940,7470,73210,49610,19630
"Lesotho","LSOr104",20590,13440,104090,36190,14720,107520,79720,36760
"Lesotho","LSOr105",6210,3260,41830,13630,7220,58630,41270,15270
"Lesotho","LSOr106",4580,2720,34570,14150,6490,53060,40410,14180
"Lesotho","LSOr107",5830,1060,22610,8850,3000,39530,31670,9420
"Lesotho","LSOr108",1640,840,14930,5700,2530,22630,15640,5520
"Lesotho","LSOr109",1970,1520,24330,7930,4530,30190,17190,8080
"Lesotho","LSOr110",2000,1620,28240,7110,5140,28440,17720,7540
"Liberia","LBRr105",2170,1980,38590,10130,5230,36170,14930,16330
"Liberia","LBRr103",4290,3040,91330,29130,10820,121930,59340,30230
"Liberia","LBRr108",4290,3040,91330,29130,10820,121930,59340,30230
"Liberia","LBRr107",3750,4060,161830,43190,19340,213820,72670,32150
"Liberia","LBRr110",3750,4060,161830,43190,19340,213820,72670,32150
"Liberia","LBRr113",3750,4060,161830,43190,19340,213820,72670,32150
"Liberia","LBRr114",3750,4060,161830,43190,19340,213820,72670,32150
"Liberia","LBRr115",3750,4060,161830,43190,19340,213820,72670,32150
"Liberia","LBRr101",51540,42260,570290,177810,69310,599360,283930,149000
"Liberia","LBRr102",51540,42260,570290,177810,69310,599360,283930,149000
"Liberia","LBRr104",51540,42260,570290,177810,69310,599360,283930,149000
"Liberia","LBRr106",51540,42260,570290,177810,69310,599360,283930,149000
"Liberia","LBRr109",51540,42260,570290,177810,69310,599360,283930,149000
"Liberia","LBRr111",51540,42260,570290,177810,69310,599360,283930,149000
"Liberia","LBRr112",4320,4880,140380,41390,14940,155470,71370,25640
"Malawi","MWIr111",11181.8212423346,19254.7953231233,326840.122070787,62949.14075169,38780.361205478,255426.894208307,93225.3006894552,52529.4884908957
"Malawi","MWIr105",8083.00262001946,17449.6582615805,314414.761963834,59980.6931393752,35480.971798547,310192.74694767,95050.4948294596,38128.5061554764
"Malawi","MWIr102",6789.32105924711,14120.1832369571,312298.740186136,35811.9135931631,21461.0739538978,190983.501111229,39442.2447947103,23978.237300827
"Malawi","MWIr112",35852.0277500863,69036.4640647816,1359077.66509635,228289.66704978,102752.412958709,586398.774442181,179390.509760432,130882.465501084
"Malawi","MWIr106",5214.84040001255,9486.99811233053,174045.298350419,27959.5673754519,13237.6717846473,77811.4358917258,22965.3548385168,17800.6571346582
"Malawi","MWIr109",26505.4291869869,49641.2691924272,941469.234447652,121626.123791062,75304.3010840274,526026.968272805,114004.433975659,95301.2083102294
"Malawi","MWIr104",11572.9342723356,23466.7818000565,348220.967710838,77941.8069017261,50443.5523308907,181506.531538129,69006.3784470892,50523.780644737
"Malawi","MWIr103",6658.9500492468,16988.345456964,253762.156695995,45810.3672062641,24329.2361739047,96554.7757140786,31609.9556554607,25472.4896462152
"Malawi","MWIr108",13688.956050033,21059.9323846661,296403.505505329,67221.298464008,35160.0585431616,142094.372361111,51737.233891663,44667.1137339537
"Malawi","MWIr113",31429.4419493064,48136.9883078082,862404.231152077,185237.148131984,78042.092294034,388264.924859396,138012.756894178,100506.020171011
"Malawi","MWIr101",19465.3946469699,27097.1130016037,415753.150891001,65967.7310601588,36985.252683166,287558.333903769,87639.4043379033,69798.6330463219
"Malawi","MWIr107",11542.8486546432,18292.0555569671,260661.791686781,62939.1122124592,29614.2763485328,122137.579291832,56440.6187909051,35410.7720239314
"Malawi","MWIr110",9978.39653463941,17108.6879277335,222362.800364381,50483.6664878138,31379.2992531525,109070.392674109,52018.0329901252,34819.0882093146
"Mali","MLIr101",15012.3765229723,37067.0757407097,811353.588191342,82789.4612604645,47683.2717790756,806851.983714299,137631.022125985,43381.9728876622
"Mali","MLIr102",13947.5941993626,40841.2546699401,1077749.47467939,61525.4419860016,50498.0923771329,965968.415498864,112772.044709434,39681.5907531374
"Mali","MLIr103",19598.3201939645,47187.7790146236,1376478.89964775,66248.4368471614,46112.4542917702,981876.895957548,103146.834199973,45385.0287439577
"Mali","MLIr104",18438.6562771619,47187.7790146236,1186462.69568002,106119.790786685,58879.2997758429,786863.594748319,111485.872001708,48748.0541026853
"Mali","MLIr105",21316.7312706812,50540.2619741076,987738.469937023,146560.434285366,61167.0004117172,571145.021424542,118992.060263194,65194.1969227954
"Mali","MLIr106",4216.95969746413,16952.1779838058,275599.401027768,37277.9237255829,27536.7468244408,238743.173271932,50065.8540081429,23994.5006785709
"Mali","MLIr107",3131.09257536711,13979.2213970936,258236.069473459,26756.6092804099,20905.5777001784,219281.904268135,47029.6430259687,20346.8305402644
"Mali","MLIr108",25111.9949983989,25660.1997590692,485066.331600055,41031.017856326,52806.8778114945,949743.663062871,167128.655209747,67165.6255813599
"Mozambique","MOZr101",20150,42800,592170,157870,41550,189550,78540,40450
"Mozambique","MOZr102",42770,90320,702990,165670,87310,334070,141050,71150
"Mozambique","MOZr103",97050,197480,1936290,388390,230500,805290,233170,149080
"Mozambique","MOZr104",74790,149300,2048550,508650,116930,612050,266140,114380
"Mozambique","MOZr105",28330,50200,1013010,260950,32350,258480,104820,43090
"Mozambique","MOZr106",22330,23480,556190,182370,28420,400240,168350,53720
"Mozambique","MOZr107",29790,35020,705160,180750,39530,451700,162100,61460
"Mozambique","MOZr108",44230,32520,303310,146270,56940,380540,233390,89500
"Mozambique","MOZr109",33940,19220,233180,144460,38540,394600,268910,80350
"Mozambique","MOZr110",36150,28460,329320,102400,38620,396540,208700,77310
"Mozambique","MOZr111",20390,18900,259580,76060,28830,422670,220170,70570
"Myanmar","MMRr101",11083.87,21904.22,458458.62,78059.69,37528.14,488796.29,199700.66,73274.96
"Myanmar","MMRr102",2695.1,4823.96,136276.52,19421.34,5137.33,71259.07,24853.67,7900.73
"Myanmar","MMRr103",14994.69,32763.32,552119.78,76640.63,55180.6,479292.94,185235.03,57486.57
"Myanmar","MMRr104",5395.81,8387.6,214619.65,34290.73,10221.86,144539.27,40601.41,10856.31
"Myanmar","MMRr105",43454.58,104389.82,2062764.28,337698.37,100978.19,1468681.08,713206.51,244112.79
"Myanmar","MMRr106",11925.94,31011.92,565068.27,72735.37,42870.74,409970.16,157091.7,61624.17
"Myanmar","MMRr107",55917.3,187266.72,2115137.33,304781.97,132085.68,1191385.13,525701.61,228327.84
"Myanmar","MMRr108",50936.54,130679.68,1644353.77,297038.34,82876.68,928586.56,485092.79,167011.69
"Myanmar","MMRr109",77354.54,211341.08,2897889.33,463183.25,158474.11,1823364.26,896126.54,374853.44
"Myanmar","MMRr110",21384.51,43476.34,671907.89,109195.4,72401.21,621459.21,309779.36,99877.83
"Myanmar","MMRr111",19109.12,61401.92,831077.83,137171.33,55072.98,656423.02,217168.65,56519.66
"Myanmar","MMRr112",67575,255678.54,2492316.36,388608.62,239505.33,2011116.39,1014052.24,472669.6
"Myanmar","MMRr113",44468.33,122189.08,2297439.3,289901.06,132129.84,1782196.38,630497.01,200262.86
"Myanmar","MMRr114",75976.16,259150.64,2955197.93,368976.62,160565.7,1431965.47,562167.56,238017.46
"Nepal","NPLr101",51451.2,137149.2,2213519.4,517492.8,218529.9,1918922.4,472959,246798.9
"Nepal","NPLr102",93992.4,226767.6,3487803.29999999,592652.7,289899,3554693.09999999,747216.9,499389.3
"Nepal","NPLr103",61389.9,136825.2,1410768.9,621383.4,239598,1647078.3,514584.9,277368.3
"Nepal","NPLr104",24931.8,62191.8,1328715.9,321991.2,109414.8,1253961,272573.1,143475.3
"Nepal","NPLr105",17698.5,31282.2,828095.400000001,219469.5,85293,1023159.6,210875.4,123257.7
