"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7"
"Austria","AUTr101",31308.08,41166.37,32152.94,34036.71,46620.41,50436.55,64321.62
"Austria","AUTr102",257420.16,178460.84,184807.55,196951.2,293671.28,197874.24,335299.67
"Austria","AUTr103",252637.82,242771.38,267609.66,228282.59,325884.18,199224.84,258041.99
"Austria","AUTr104",81049.83,60541.17,57266.8,65192.62,95054.17,78427.75,103695.87
"Austria","AUTr105",187446.86,150866.98,160948.87,135351.29,193163.93,165185.96,217193.68
"Austria","AUTr106",227142.69,185791.86,162168.62,192033.8,237224.42,160100.81,248649.56
"Austria","AUTr107",82458.95,75230.7,78083.79,54148.48,93802.25,70391.32,80796.32
"Austria","AUTr108",133140.57,128732.05,79718.46,104759.44,142161.72,78418.59,106402.35
"Austria","AUTr109",83231.52,49723.55,50571.08,63805.51,59446.79,39951.14,51717.17
"Belgium","BELr101",235880.3,138083.3,204577.4,184983.7,151774.3,114539.5,146656
"Belgium","BELr102",1055793.3,725665.9,792298.7,824722.1,944894.1,847988.3,1204872.8
"Belgium","BELr103",1055793.3,725665.9,792298.7,824722.1,944894.1,847988.3,1204872.8
"Belgium","BELr104",1055793.3,725665.9,792298.7,824722.1,944894.1,847988.3,1204872.8
"Belgium","BELr105",1055793.3,725665.9,792298.7,824722.1,944894.1,847988.3,1204872.8
"Belgium","BELr106",1055793.3,725665.9,792298.7,824722.1,944894.1,847988.3,1204872.8
"Belgium","BELr107",616207.5,452309.4,449451.1,465840.8,504337.9,463772.1,608773.1
"Belgium","BELr108",616207.5,452309.4,449451.1,465840.8,504337.9,463772.1,608773.1
"Belgium","BELr109",616207.5,452309.4,449451.1,465840.8,504337.9,463772.1,608773.1
"Belgium","BELr110",616207.5,452309.4,449451.1,465840.8,504337.9,463772.1,608773.1
"Belgium","BELr111",616207.5,452309.4,449451.1,465840.8,504337.9,463772.1,608773.1
"Brazil","BRAr101",446640.77,287422.15,296447.16,251003.78,213051.42,112927.63,101029.78
"Brazil","BRAr102",263474.26,145305.78,134362.74,121286.64,71723.65,47543.7,44278.17
"Brazil","BRAr103",1166377.16,717604.2,599050.95,521997.98,370086.6,236400.56,178157.7
"Brazil","BRAr104",142712.86,89347.98,69767.15,67844.26,48029.96,31042.94,19757.08
"Brazil","BRAr105",2400344.41,1450371.8,1320649.31,1168097.28,866084.89,564160.52,527265.12
"Brazil","BRAr106",255594.17,142347.71,130850.46,104960.58,78297.23,42112.82,35666.82
"Brazil","BRAr107",417075.62,264655.36,239197.43,213143.53,159646,103573.66,111112.61
"Brazil","BRAr108",2023714.33,1220526.27,1025451.32,891628.77,670268.87,508131.81,516981.06
"Brazil","BRAr109",750012.73,507403.27,506363.78,441804.46,384988.64,286292.99,314155.46
"Brazil","BRAr110",2143035.18,1477348.67,1397057.31,1296728.52,1041913.46,712311.22,861179.35
"Brazil","BRAr111",776826.52,546170.61,562721.36,490280.9,456401.74,292570.36,294244.16
"Brazil","BRAr112",950928.72,625161.83,590605.3,578388.01,480771.09,343086.43,354412.11
"Brazil","BRAr113",2133091.38,1538850.91,1413951.42,1352568.61,1131304.99,852747.48,883546.67
"Brazil","BRAr114",837520.03,577950.35,484421.62,458529.47,380057.29,281042.56,259106.26
"Brazil","BRAr115",521920.66,388121.1,344352.91,339263.81,273862.2,187189.69,179777.65
"Brazil","BRAr116",3488503.01,2336599.86,2313608.37,2215034.24,1704983.33,1284318.85,1309451.53
"Brazil","BRAr117",4128219.62,3218322.72,3229241.25,3067863.18,2749984.67,2263601.02,2120601.95
"Brazil","BRAr118",830316.1,570935.44,618834.48,589649.13,529820.31,397887.78,339338.96
"Brazil","BRAr119",3242006.15,2427527.71,2440292.79,2447994.12,2374110.73,2006758.05,2017319.16
"Brazil","BRAr120",8895350.53,6836835.39,6678713.44,6842428.98,6138356.21,4888272.26,4499663.62
"Brazil","BRAr121",2348320.23,1718186.33,1622454.3,1713491.27,1587442.54,1163694.07,1023750.88
"Brazil","BRAr122",1346715.52,1037695.4,1060046.26,1017384.04,1010484.4,773039.93,643562.26
"Brazil","BRAr123",2116946.17,1620991.22,1681959.58,1550146.32,1608068.54,1381007.79,1259561.59
"Brazil","BRAr124",621427,409925.56,407131.24,387577.4,333761.29,242582.2,218770.48
"Brazil","BRAr125",817795.23,525265.42,532433.25,496560.38,421468.32,278278.56,237947.43
"Brazil","BRAr126",1526440.25,1046724.18,1087669.05,1068077.62,878419.49,608541.43,519321.76
"Brazil","BRAr127",628444.85,456153.02,475415.8,468683.88,392096.12,267258.69,201779.19
"Canada","CANr101",79153.92,78937.2,62417.36,73961.46,84806.45,74523.02,60391.74
"Canada","CANr102",25755.51,23827.58,15746.2,20976.57,21296.19,19919.64,17006.65
"Canada","CANr103",136158.34,154140.44,111599.74,114047.51,153305.06,132579.72,108387.54
"Canada","CANr104",112108.38,115782.95,84681.08,100973.98,117473.86,103518.9,87941.39
"Canada","CANr105",1351564.74,1415927.72,1078828.69,1039774.79,1227596.2,1044218.63,928494.5
"Canada","CANr106",2326095.18,2593602.95,1722308.88,1841544.36,2027159.17,1572752.03,1433762.28
"Canada","CANr107",233880.1,220403.68,166170.86,151319.55,176559.02,130944.66,121102.34
"Canada","CANr108",206239.18,196539.01,152954.43,128791.96,147125.48,111566.85,103154.55
"Canada","CANr109",781544.5,794581.21,650236.68,575433.21,558060.49,388090.39,326203.7
"Canada","CANr110",690272.03,879624.99,584754.31,602851.18,692886.6,547626.16,533561.05
"Chile","CHLr101",125297,78260,80343,61845,58181,48931,41676
"Chile","CHLr102",143354,100513,86967,75809,71561,51683,44447
"Chile","CHLr103",71511,49052,38247,31853,38113,27591,24711
"Chile","CHLr104",175288,128291,93874,90357,101584,82577,86064
"Chile","CHLr105",377648,294067,241366,216637,227422,209799,256410
"Chile","CHLr106",202144,145026,112898,116273,130949,100311,106671
"Chile","CHLr107",225438,163681,122039,132768,145556,115672,127447
"Chile","CHLr108",422346,358914,252437,249965,292634,232635,257126
"Chile","CHLr109",219232,165078,115913,121675,127212,105787,128069
"Chile","CHLr110",275527,194754,151409,162215,171686,124182,152244
"Chile","CHLr111",27194,14806,15063,13869,11963,10258,9998
"Chile","CHLr112",29899,21303,21512,20899,20000,18300,18762
"Chile","CHLr113",1545942,1229958,1034543,880119,927332,723135,775463
"China","CHNr101",11801398,12701969,13325239,15830326,16540670,9378724,4929140
"China","CHNr102",11801398,12701969,13325239,15830326,16540670,9378724,4929140
