LISCODE;Country;iso_code;year
at15;Austria;AUT;2015
be15;Belgium;BEL;2015
br16;Brazil;BRA;2016
ca15;Canada;CAN;2015
cl15;Chile;CHL;2015
cn13;China;CHN;2013
co15;Colombia;COL;2015
cz13;CzechRepublic;CZE;2013
dk16;Denmark;DNK;2016
do07;DominicanRepublic;DOM;2007
eg12;Egypt;EGY;2012
ee16;Estonia;EST;2016
fi16;Finland;FIN;2016
fr15;France;FRA;2015
ge15;Georgia;GEO;2015
de15;Germany;DEU;2015
gr16;Greece;GRC;2016
gt14;Guatemala;GTM;2014
hu15;Hungary;HUN;2015
is10;Iceland;ISL;2010
in11;India;IND;2011
ie15;Ireland;IRL;2015
il15;Israel;ISR;2015
it14;Italy;ITA;2014
ci15;IvoryCoast;CIV;2015
jp13;Japan;JPN;2013
lt15;Lithuania;LTU;2015
lu15;Luxembourg;LUX;2015
mx14;Mexico;MEX;2014
ps17;Palestine;PSE;2017
py15;Paraguay;PRY;2015
pe15;Peru;PER;2015
pl15;Poland;POL;2015
ru15;Russia;RUS;2015
rs16;Serbia;SRB;2016
sk15;Slovakia;SVK;2015
za15;SouthAfrica;ZAF;2015
es16;Spain;ESP;2015
se15;Sweden;SWE;2015
ch15;Switzerland;CHE;2015
us15;UnitedStates;USA;2015
uy15;Uruguay;URY;2015
vn13;Vietnam;VNM;2013
uk15;UnitedKingdom;GBR;2015
au14;Australia;AUS;2014
