"country","GDLCODE","X1","X2","X3","X4","X5"
"Austria","AUTr101",31308.083,1670.406,64864.398,178047.444,24152.342
"Austria","AUTr102",257420.157,11408.724,258125.44,942963.535,174567.086
"Austria","AUTr103",252637.821,27531.337,249106.397,860932.714,384244.201
"Austria","AUTr104",81049.832,1080.595,70903.485,324499.16,63695.145
"Austria","AUTr105",187446.864,7905.337,226149.892,671402.898,117252.579
"Austria","AUTr106",227142.688,14899.971,250074.08,797345.413,123649.611
"Austria","AUTr107",82458.949,3620.606,91079.122,301590.125,56162.994
"Austria","AUTr108",133140.569,4074.919,149413.459,410592.203,76112.033
"Austria","AUTr109",83231.525,6211.706,68385.27,196712.08,43906.191
"Belgium","BELr101",329276.08,59914.93,163251.01,263046.02,361006.36
"Belgium","BELr102",1325057.58,406355.17,874107.4,1931769.02,1858946.07
"Belgium","BELr103",1325057.58,406355.17,874107.4,1931769.02,1858946.07
"Belgium","BELr104",1325057.58,406355.17,874107.4,1931769.02,1858946.07
"Belgium","BELr105",1325057.58,406355.17,874107.4,1931769.02,1858946.07
"Belgium","BELr106",1325057.58,406355.17,874107.4,1931769.02,1858946.07
"Belgium","BELr107",840587.17,256265.9,617426.19,939381.51,907031.15
"Belgium","BELr108",840587.17,256265.9,617426.19,939381.51,907031.15
"Belgium","BELr109",840587.17,256265.9,617426.19,939381.51,907031.15
"Belgium","BELr110",840587.17,256265.9,617426.19,939381.51,907031.15
"Belgium","BELr111",840587.17,256265.9,617426.19,939381.51,907031.15
"Brazil","BRAr101",779086.12,201615.84,257476.34,355581.19,114763.2
"Brazil","BRAr102",391914.53,79670.26,113797.18,178734.23,63858.75
"Brazil","BRAr103",1602495,402157.26,520154.36,1009791.46,255077.09
"Brazil","BRAr104",192148.66,44912.47,64473.33,120310.77,46657.02
"Brazil","BRAr105",4043859.18,951833.05,1169047.59,1719155.6,413077.89
"Brazil","BRAr106",348423.61,68376.07,107020.41,202769.29,63240.4
"Brazil","BRAr107",654333.3,178252.06,207552.54,357266.77,110999.54
"Brazil","BRAr108",3475823.12,747168.87,999069.64,1373689.84,260950.96
"Brazil","BRAr109",1556925.22,377552.42,429442.39,623865.46,203235.83
