"country","GDLCODE","X1","X2"
"Austria","AUTr101",150170.3,149872.4
"Austria","AUTr102",831592.6,812892.4
"Austria","AUTr103",905462.1,868990.3
"Austria","AUTr104",273934.4,267293.9
"Austria","AUTr105",601603.7,608553.9
"Austria","AUTr106",711153.2,701958.5
"Austria","AUTr107",271124.8,263787
"Austria","AUTr108",406165.6,367167.5
"Austria","AUTr109",209446.6,189000.2
"Belgium","BELr101",599885.8,576608.6
"Belgium","BELr102",3224855.9,3171379.4
"Belgium","BELr103",3224855.9,3171379.4
"Belgium","BELr104",3224855.9,3171379.4
"Belgium","BELr105",3224855.9,3171379.4
"Belgium","BELr106",3224855.9,3171379.4
"Belgium","BELr107",1817882.2,1742809.7
"Belgium","BELr108",1817882.2,1742809.7
"Belgium","BELr109",1817882.2,1742809.7
"Belgium","BELr110",1817882.2,1742809.7
"Belgium","BELr111",1817882.2,1742809.7
"Brazil","BRAr101",839033.4,869489.3
"Brazil","BRAr102",413458.3,414516.7
"Brazil","BRAr103",1879949.8,1909725.4
"Brazil","BRAr104",233386.3,235116
"Brazil","BRAr105",4206354.1,4090619.3
"Brazil","BRAr106",397510.3,392319.4
"Brazil","BRAr107",757632,750772.2
"Brazil","BRAr108",3497446.1,3359256.3
"Brazil","BRAr109",1613533.6,1577487.7
"Brazil","BRAr110",4627956.1,4301617.6
"Brazil","BRAr111",1776877.2,1642338.4
"Brazil","BRAr112",2047009.5,1876344
"Brazil","BRAr113",4899115.9,4406945.5
"Brazil","BRAr114",1710042.9,1568584.7
"Brazil","BRAr115",1170139.2,1064348.9
"Brazil","BRAr116",7531028.8,7121470.4
"Brazil","BRAr117",10697375.7,10080458.7
"Brazil","BRAr118",1996689.9,1880092.3
"Brazil","BRAr119",9019191.3,7936817.4
"Brazil","BRAr120",23282522.2,21497098.2
"Brazil","BRAr121",5718629.9,5458709.7
"Brazil","BRAr122",3555785.9,3333141.9
"Brazil","BRAr123",5830536.6,5388144.6
"Brazil","BRAr124",1358787.7,1262387.5
"Brazil","BRAr125",1649493.1,1660255.5
"Brazil","BRAr126",3420378.4,3314815.3
"Brazil","BRAr127",1506792.8,1383038.8
"Canada","CANr101",261126.82,253064.33
"Canada","CANr102",74183.93,70344.41
"Canada","CANr103",469043.45,441174.9
"Canada","CANr104",365369.51,357111.04
"Canada","CANr105",4094823.64,3991581.62
"Canada","CANr106",6897625.97,6619598.88
"Canada","CANr107",603709.86,596670.35
"Canada","CANr108",519425.08,526946.39
"Canada","CANr109",1999784.89,2074365.3
"Canada","CANr110",2303368.17,2228208.15
"Chile","CHLr101",249838,244695
"Chile","CHLr102",296971,277363
"Chile","CHLr103",145483,135595
"Chile","CHLr104",397815,360220
"Chile","CHLr105",961178,862171
"Chile","CHLr106",475098,439174
"Chile","CHLr107",536779,495822
"Chile","CHLr108",1098643,967414
"Chile","CHLr109",521193,461773
"Chile","CHLr110",642784,589233
"Chile","CHLr111",54668,48483
"Chile","CHLr112",77958,72717
"Chile","CHLr113",3766429,3350063
"China","CHNr101",42114752,42392714
"China","CHNr102",42114752,42392714
"China","CHNr103",42114752,42392714
"China","CHNr104",42114752,42392714
"China","CHNr105",42114752,42392714
"China","CHNr106",35148006,35304382
"China","CHNr107",35148006,35304382
"China","CHNr108",35148006,35304382
"China","CHNr109",178012853,185295725
"China","CHNr110",178012853,185295725
"China","CHNr111",178012853,185295725
"China","CHNr112",178012853,185295725
"China","CHNr113",178012853,185295725
"China","CHNr114",178012853,185295725
"China","CHNr115",178012853,185295725
"China","CHNr116",261376587,283382909
"China","CHNr117",261376587,283382909
"China","CHNr118",261376587,283382909
"China","CHNr119",261376587,283382909
"China","CHNr120",261376587,283382909
"China","CHNr121",261376587,283382909
"China","CHNr132",261376587,283382909
"China","CHNr122",122264500,128942921
"China","CHNr123",122264500,128942921
"China","CHNr124",122264500,128942921
"China","CHNr125",122264500,128942921
"China","CHNr126",122264500,128942921
"China","CHNr127",19773782,21187373
"China","CHNr128",19773782,21187373
"China","CHNr129",19773782,21187373
"China","CHNr130",19773782,21187373
"China","CHNr131",19773782,21187373
"CzechRepublic","CZEr101",617830.4,589246.7
"CzechRepublic","CZEr102",641921.4,631112.4
"CzechRepublic","CZEr103",611701.2,579413.1
"CzechRepublic","CZEr104",557164.7,540534.9
"CzechRepublic","CZEr105",738753.2,744436.7
"CzechRepublic","CZEr106",836860.5,815104.4
"CzechRepublic","CZEr107",613570.2,590523
"CzechRepublic","CZEr108",631979,575266.9
"Denmark","DNKr101",919446.2,888132.7
"Denmark","DNKr104",416716.8,410901
"Denmark","DNKr103",610260.3,607199.3
"Denmark","DNKr102",653419.6,648093.5
"Denmark","DNKr105",288371.5,292258.9
"DominicanRepublic","DOMr101",1638774.7,1544023.9
"DominicanRepublic","DOMr102",518795.2,544238.6
"DominicanRepublic","DOMr105",176257.8,198687.9
"DominicanRepublic","DOMr108",202615.4,225281.5
"DominicanRepublic","DOMr104",335289.4,328862.5
"DominicanRepublic","DOMr107",163016.1,171133.2
"DominicanRepublic","DOMr106",481697.2,473894.1
"DominicanRepublic","DOMr103",810577.7,770144.2
"DominicanRepublic","DOMr109",373870.6,393851.3
"Estonia","ESTr101",311674.63,267743.78
"Estonia","ESTr102",79264.02,68479.4
"Estonia","ESTr104",75642.22,66755.18
"Estonia","ESTr105",159798.73,150719.3
"Estonia","ESTr103",64978.37,56847.38
"Finland","FINr102",818126.71,740798.88
"Finland","FINr103",590433.7,565443.34
"Finland","FINr101",680734.07,674397.26
"Finland","FINr104",648938.29,667463.23
"Finland","FINr105",16675.45,15568.07
"France","FRAr101",6165092.6,5686178
"France","FRAr102",674192.8,635305.1
"France","FRAr103",960179.3,928008.7
"France","FRAr104",942782.1,887652.7
"France","FRAr105",1289460.8,1219510.9
"France","FRAr106",722894.9,720112.2
"France","FRAr107",828140.7,761265.6
"France","FRAr108",2074530.6,1946326.8
"France","FRAr109",1171291.8,1105532.3
"France","FRAr110",956763.7,896100.8
"France","FRAr111",597352.5,565316.6
"France","FRAr112",1848766.1,1786455.9
"France","FRAr113",1662696.9,1574847.9
"France","FRAr114",898246.6,864881.6
"France","FRAr115",1710039.2,1612199.1
"France","FRAr116",1488285.3,1437900.8
"France","FRAr117",372776.6,339402.9
"France","FRAr118",3303061.1,3111448.7
"France","FRAr119",680521.5,646796.8
"France","FRAr120",1422052.1,1336872
"France","FRAr121",2632842.2,2400880.3
"France","FRAr122",111133.2,111484.5
"Germany","DEUr101",5568955.5,5197902.2
"Germany","DEUr102",6305453.8,6160988.5
"Germany","DEUr103",1671081.7,1665589.5
"Germany","DEUr104",1202530.2,1182380.3
"Germany","DEUr105",354573.5,375483.2
"Germany","DEUr106",1037436.2,860209.8
"Germany","DEUr107",2978434.7,3039518.8
