"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Austria","AUTr101",35888.265,78579.786,119506.058,43461.911,22606.653,0
"Austria","AUTr102",227731.16,447949.633,742740.67,204038.783,22024.697,0
"Austria","AUTr103",426680.069,506294.759,621482.906,182183.456,37811.28,0
"Austria","AUTr104",93473.156,154617.394,238270.116,47024.387,7843.164,0
"Austria","AUTr105",197791.185,321323.729,484781.846,171872.094,34388.716,0
"Austria","AUTr106",217612.053,380335.807,600684.012,193770.34,20709.549,0
"Austria","AUTr107",78884.865,142017.428,265236.428,47332.074,1441,0
"Austria","AUTr108",99734.978,191673.464,349286.594,115669.8,16968.347,0
"Austria","AUTr109",52994.18,97383.976,143918.796,100429.111,3720.708,0
"Belgium","BELr101",248505.52,264947.12,416060.16,198523.38,48458.22,0
"Belgium","BELr102",867062.79,1878958.07,2566913.08,960400.44,122900.86,0
"Belgium","BELr103",867062.79,1878958.07,2566913.08,960400.44,122900.86,0
"Belgium","BELr104",867062.79,1878958.07,2566913.08,960400.44,122900.86,0
"Belgium","BELr105",867062.79,1878958.07,2566913.08,960400.44,122900.86,0
"Belgium","BELr106",867062.79,1878958.07,2566913.08,960400.44,122900.86,0
"Belgium","BELr107",547465.14,928594.9,1505211.25,532263.52,47157.1,0
"Belgium","BELr108",547465.14,928594.9,1505211.25,532263.52,47157.1,0
"Belgium","BELr109",547465.14,928594.9,1505211.25,532263.52,47157.1,0
"Belgium","BELr110",547465.14,928594.9,1505211.25,532263.52,47157.1,0
"Belgium","BELr111",547465.14,928594.9,1505211.25,532263.52,47157.1,0
"Brazil","BRAr101",73626.973,278728.801,919614.293,367418.729,56856.63,12277.256
"Brazil","BRAr102",27354.831,91094.495,379023.559,230083.514,92856.953,7561.598
"Brazil","BRAr103",125004.306,363674.613,1485672.431,1116654.097,600540.771,98128.95
"Brazil","BRAr104",17467.466,46885.097,195261.095,130908.926,63023.103,14956.557
"Brazil","BRAr105",271961.687,980914.55,3607797.352,2310118.134,984531.042,141650.556
"Brazil","BRAr106",25472.56,73117.782,281750.626,252134.591,130768.536,26585.683
"Brazil","BRAr107",80369.982,238900.085,733136.891,369398.177,77500.093,9098.974
"Brazil","BRAr108",204649.274,805406.657,3023224.976,1931710.696,836446.422,55264.412
"Brazil","BRAr109",135673.935,527229.514,1629249.506,695111.929,192019.28,11737.156
"Brazil","BRAr110",364758.827,1381140.733,4502814.422,2104791.502,528098.493,47969.735
"Brazil","BRAr111",133176.569,507238.784,1821703.825,737220.652,209404.001,10471.815
"Brazil","BRAr112",178789.209,643973.004,2029792.614,856765.698,192994.235,21038.733
"Brazil","BRAr113",493498.82,1672262.518,4621136.606,1946216.213,553005.874,19941.436
"Brazil","BRAr114",174394.597,493271.121,1599808.356,748638.898,246446.313,16068.301
"Brazil","BRAr115",115683.735,365786.695,1184912.038,456279.384,109482.609,2343.554
"Brazil","BRAr116",888933.326,2374244.172,7530210.892,2964708.459,799408.352,94993.99
"Brazil","BRAr117",1231858.293,4095207.587,11045383.006,3550549.157,822517.482,32318.881
"Brazil","BRAr118",211729.295,783124.107,2117380.097,661431.798,103116.903,0
"Brazil","BRAr119",1279198.509,3457589.544,8875586.621,2842311.892,466640.733,34681.415
"Brazil","BRAr120",2449361.31,8204291.382,24615327.791,7824321.288,1633993.216,52325.438
"Brazil","BRAr121",553330.615,2221714.523,6314143.844,1836275.338,244710.78,7164.523
"Brazil","BRAr122",397408.645,1473049.77,3830745.555,1046297.338,136167.899,5258.602
"Brazil","BRAr123",748580.708,2605841.893,5864039.428,1639837.617,353833.813,6547.752
"Brazil","BRAr124",147311.706,494693.985,1398352.069,466193.162,105543.54,9080.701
"Brazil","BRAr125",166770.439,602689.818,1683471.819,699494.651,155893.878,1427.985
"Brazil","BRAr126",348511.123,1262490.597,3590622.556,1279118.209,231917.934,22533.369
"Brazil","BRAr127",186358.953,509298.605,1520471.859,584591.828,77859.941,11250.365
"Canada","CANr101",52735.517,181877.954,233578.781,40890.332,5108.575,0
"Canada","CANr102",15672.692,46251.387,54175.55,27328.019,1100.69,0
"Canada","CANr103",117601.272,320286.82,355517.962,110796.616,6015.675,0
"Canada","CANr104",86109.768,265072.377,303988.729,61098.101,6211.565,0
"Canada","CANr105",1183775.959,2577988.463,2916531.116,1276421.706,131688.015,0
"Canada","CANr106",1371969.806,3603949.731,5391726.191,2825672.451,323906.677,0
"Canada","CANr107",138067.934,330441.315,426729.494,259692.351,45449.117,0
"Canada","CANr108",122214.477,323923.367,350102.84,208978.662,41152.119,0
"Canada","CANr109",392675.979,1130572.958,1298732.201,1096358.662,155810.39,0
"Canada","CANr110",548162.505,1377988.297,1730143.969,783351.904,91929.645,0
"Chile","CHLr101",20609,61538,233634,128116,46729,3907
"Chile","CHLr102",20332,70562,247857,163417,68024,4142
"Chile","CHLr103",9962,31354,122271,85392,31649,450
"Chile","CHLr104",27797,100916,352111,204202,71040,1969
"Chile","CHLr105",89003,304818,866926,430244,128000,4358
"Chile","CHLr106",41684,132298,443292,235177,57616,4205
"Chile","CHLr107",47599,154334,534731,240539,52220,3178
"Chile","CHLr108",92353,317576,1020413,507887,126895,933
"Chile","CHLr109",42440,149096,469603,253384,64676,3767
"Chile","CHLr110",53188,195414,616373,282107,82618,2317
"Chile","CHLr111",4970,17950,54897,21066,4268,0
"Chile","CHLr112",8508,29156,80818,28347,3274,572
"Chile","CHLr113",282274,1011726,3293149,1868308,621456,39579
"China","CHNr101",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr102",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr103",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr104",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr105",1637304.4,14946455.2,55471168.7,11788441.8,664095.3,0
"China","CHNr106",1598745.3,18350286.6,41550421.9,8849726.9,103208,0
"China","CHNr107",1598745.3,18350286.6,41550421.9,8849726.9,103208,0
"China","CHNr108",1598745.3,18350286.6,41550421.9,8849726.9,103208,0
"China","CHNr109",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr110",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr111",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr112",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr113",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr114",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr115",8122714.5,52062293.2,211677911.5,85500053.8,5945605.5,0
"China","CHNr116",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
"China","CHNr117",12028378.2,48324708.6,267249142.9,176133651.7,40627740,395873.8
