"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7","X8"
"Austria","AUTr101",35888.265,69676.082,119512.376,10846.3,31090.818,26007.843,0,7020.989
"Austria","AUTr102",227731.16,396409.016,752587.733,91686.623,18647.243,94988.764,29267.91,33166.493
"Austria","AUTr103",426680.069,406536.381,589431.789,130536.023,11194.285,85555.291,40761.152,83757.48
"Austria","AUTr104",93473.156,137033.489,251868.677,19194.474,2251.907,18014.27,3801.082,15591.162
"Austria","AUTr105",197791.185,263169.455,504129.864,66910.864,27509.368,88876.944,24865.451,36904.439
"Austria","AUTr106",217612.053,323269.665,697205.88,84423.937,9676.394,44411.079,8420.636,28092.119
"Austria","AUTr107",78884.865,123109.976,281495.848,30010.388,0,9864.932,0,11545.786
"Austria","AUTr108",99734.978,151298.156,363766.921,64704.933,4170.564,30703.219,6491.296,52463.115
"Austria","AUTr109",52994.18,83985.467,205558.304,26361.824,4429.302,9442.885,6401.84,9272.97
"Belgium","BELr101",248505.519,163738.716,482070.032,164970.755,6624.807,49399.334,21610.643,39574.583
"Belgium","BELr102",867062.79,1583624.623,3058744.584,500110.7,56809.842,175001.209,66314.425,88567.065
"Belgium","BELr103",867062.79,1583624.623,3058744.584,500110.7,56809.842,175001.209,66314.425,88567.065
"Belgium","BELr104",867062.79,1583624.623,3058744.584,500110.7,56809.842,175001.209,66314.425,88567.065
"Belgium","BELr105",867062.79,1583624.623,3058744.584,500110.7,56809.842,175001.209,66314.425,88567.065
"Belgium","BELr106",867062.79,1583624.623,3058744.584,500110.7,56809.842,175001.209,66314.425,88567.065
"Belgium","BELr107",547465.144,685617.101,1637399.408,448381.811,24982.867,77312.845,86934.43,52598.315
"Belgium","BELr108",547465.144,685617.101,1637399.408,448381.811,24982.867,77312.845,86934.43,52598.315
"Belgium","BELr109",547465.144,685617.101,1637399.408,448381.811,24982.867,77312.845,86934.43,52598.315
"Belgium","BELr110",547465.144,685617.101,1637399.408,448381.811,24982.867,77312.845,86934.43,52598.315
"Belgium","BELr111",547465.144,685617.101,1637399.408,448381.811,24982.867,77312.845,86934.43,52598.315
"Brazil","BRAr101",73626.97,193827.23,929241.31,140284.44,62212.81,161733.13,97501.06,50095.72
"Brazil","BRAr102",27354.83,49839.34,439158.35,85997.28,29548.72,101070.08,67978.26,27028.08
"Brazil","BRAr103",125004.31,197163.75,1796289.2,315831.35,85119.17,690168.22,428120.09,151979.09
"Brazil","BRAr104",17467.47,27530.72,199676.17,45961.26,11964.16,101348.3,50054.76,14499.42
"Brazil","BRAr105",271961.69,579336.95,3819378.18,680273.16,290785.98,1456437.8,895817.72,302981.85
"Brazil","BRAr106",25472.56,35019.75,355994.43,81779.42,14283.82,155042.75,93777.7,28459.34
"Brazil","BRAr107",80369.98,151607.56,728542.09,129071.97,57056.34,204966.64,96919.45,59870.17
"Brazil","BRAr108",204649.27,464495.31,3016583.75,654225.77,258603.57,1229899.13,713287.81,314957.83
"Brazil","BRAr109",135673.94,328245.01,1503760.25,324878.64,102098.89,406346.6,246305.48,143712.52
"Brazil","BRAr110",364758.83,796415.62,4085557.86,986026.62,242887.39,1202089.72,854294.18,397543.49
"Brazil","BRAr111",133176.57,309055.7,1555593.38,345585.53,104097.11,529493.65,324692.55,117521.15
"Brazil","BRAr112",178789.21,385391.24,1896260.76,441946.28,111711.26,450526.52,292140.53,166587.69
