"country","GDLCODE","X1","X2","X3","X4","X5"
"Austria","AUTr101",18852.33,27946.43,15512.32,33341.74,26791.87
"Austria","AUTr102",107782.23,129386.54,140933.62,164264.6,168140.85
"Austria","AUTr103",229519.75,208925.72,173848.88,145021.77,145297.14
"Austria","AUTr104",50421.92,46636.32,50695.27,48531.42,53766.82
"Austria","AUTr105",123340.25,105483.02,98992.92,106222.63,102838.99
"Austria","AUTr106",111080.09,110148.31,147227.22,126091.2,127247.27
"Austria","AUTr107",40310.5,47475.08,51401.06,51509.39,45312.8
"Austria","AUTr108",61289.71,60301.52,64794.41,66171.03,66407.62
"Austria","AUTr109",30258.62,36010.83,29001.79,31421.69,36142.32
"Belgium","BELr101",133311.65,130467.83,113878.03,82218.48,85439.01
"Belgium","BELr102",454653.08,525316.33,565442.24,569958.02,634776.34
"Belgium","BELr103",454653.08,525316.33,565442.24,569958.02,634776.34
"Belgium","BELr104",454653.08,525316.33,565442.24,569958.02,634776.34
"Belgium","BELr105",454653.08,525316.33,565442.24,569958.02,634776.34
"Belgium","BELr106",454653.08,525316.33,565442.24,569958.02,634776.34
"Belgium","BELr107",382329.44,314876.48,290632.75,318051.4,249575.55
"Belgium","BELr108",382329.44,314876.48,290632.75,318051.4,249575.55
"Belgium","BELr109",382329.44,314876.48,290632.75,318051.4,249575.55
"Belgium","BELr110",382329.44,314876.48,290632.75,318051.4,249575.55
"Belgium","BELr111",382329.44,314876.48,290632.75,318051.4,249575.55
"Brazil","BRAr101",115868.81,137715.1,121538.46,111660.83,70314.84
"Brazil","BRAr102",72690.71,55625.38,37821.77,34920.3,37310.9
"Brazil","BRAr103",326891.5,246251.41,173442.22,146609.89,134126.31
"Brazil","BRAr104",29621.6,29265.92,22343.45,21396.98,28377.52
"Brazil","BRAr105",761032.53,615202.11,412385.38,306901.31,277177.27
"Brazil","BRAr106",61342.14,45895.54,30824.57,29626.8,41662.22
"Brazil","BRAr107",127438.65,124908.59,97270.62,74863.43,65376.6
"Brazil","BRAr108",817034.02,438728.42,358329.55,216209.65,136353.26
"Brazil","BRAr109",330399.84,243002.95,220865.19,140265.9,105767.03
"Brazil","BRAr110",990175.52,669799.33,563007.33,347210.09,272504.61
"Brazil","BRAr111",300104.45,252866.62,220589.63,163071.31,147863.5
"Brazil","BRAr112",434578.91,295759.86,246732.38,162029.56,140157.67
"Brazil","BRAr113",1133188.15,712211.07,583870.85,358473.55,343274.58
"Brazil","BRAr114",416867.9,259196.83,186712.53,114099.4,84220.6
"Brazil","BRAr115",247701.13,173443.82,138427.91,93101.52,93481.83
"Brazil","BRAr116",1761007.77,1156171.22,930261.32,622155.28,485116.3
"Brazil","BRAr117",1205399.3,1490974.55,1657722.01,1557424.81,1377392.69
"Brazil","BRAr118",262134.16,314603.38,280720.75,263575.43,240384.75
"Brazil","BRAr119",949463.35,1346053.59,1238330.26,1297946.29,1383444.25
"Brazil","BRAr120",1613389.54,2589444.55,2880889.09,3887261.37,4395523.13
"Brazil","BRAr121",471299.72,704685.53,799594.64,953787.8,960042.03
"Brazil","BRAr122",214229.26,371845.8,490881.13,718310.11,677912.18
"Brazil","BRAr123",417269.93,688381.41,850394.34,1084930.37,1105590.27
"Brazil","BRAr124",128684.27,203286.85,190981.88,218906.08,162359.64
"Brazil","BRAr125",175787.88,237540.44,231469.51,240704.21,222226.14
"Brazil","BRAr126",377559.36,501305.32,490635.69,492376.55,434436.44
"Brazil","BRAr127",102154.76,162093.47,151429.28,173165.33,410724.47
"Canada","CANr101",44758.156,46096.039,40868.857,41480.251,45411.697
"Canada","CANr102",12987.278,12042.915,14813.403,11065.868,8425.536
"Canada","CANr103",95083.25,94844.291,84084.368,75872.043,51926.048
"Canada","CANr104",80800.701,62851.833,72751.774,67326.698,34352.994
"Canada","CANr105",850257.007,873061.674,771367.742,643035.773,426177.806
"Canada","CANr106",996150.979,979517.286,1010769.882,1098188.921,1201388.933
"Canada","CANr107",87277.295,107991.931,105567.078,98594.917,80786.779
"Canada","CANr108",69596.636,83570.189,88348.631,97320.214,90402.329
"Canada","CANr109",170694.535,239998.513,301631.064,338998.494,495101.393
"Canada","CANr110",430491.626,338709.54,345228.448,365642.696,402897.689
"Chile","CHLr101",23021,31416,27902,33612,32856
"Chile","CHLr102",20578,23828,30445,43603,48795
"Chile","CHLr103",13297,15097,15079,18151,19052
"Chile","CHLr104",53168,49233,46115,43694,34703
"Chile","CHLr105",120643,129394,123188,117246,100992
"Chile","CHLr106",64452,64800,61989,55556,41894
"Chile","CHLr107",89493,85714,71315,52838,32757
"Chile","CHLr108",187020,155771,131289,106177,78410
"Chile","CHLr109",99173,74717,61031,44433,30639
"Chile","CHLr110",103946,89387,81596,70487,48090
"Chile","CHLr111",5771,7117,7259,6012,8348
"Chile","CHLr112",8180,8595,10138,12086,13376
"Chile","CHLr113",302396,359959,419468,487235,600892
"China","CHNr101",5292991,4526433,4344504,6611608,7133501
"China","CHNr102",5292991,4526433,4344504,6611608,7133501
"China","CHNr103",5292991,4526433,4344504,6611608,7133501
"China","CHNr104",5292991,4526433,4344504,6611608,7133501
"China","CHNr105",5292991,4526433,4344504,6611608,7133501
"China","CHNr106",6127760,5109137,6524091,4317967,3430419
"China","CHNr107",6127760,5109137,6524091,4317967,3430419
"China","CHNr108",6127760,5109137,6524091,4317967,3430419
"China","CHNr109",19444959,20904318,21977094,25856115,27482852
"China","CHNr110",19444959,20904318,21977094,25856115,27482852
"China","CHNr111",19444959,20904318,21977094,25856115,27482852
"China","CHNr112",19444959,20904318,21977094,25856115,27482852
"China","CHNr113",19444959,20904318,21977094,25856115,27482852
"China","CHNr114",19444959,20904318,21977094,25856115,27482852
"China","CHNr115",19444959,20904318,21977094,25856115,27482852
"China","CHNr116",27370167,32076647,32299124,29700810,30081966
"China","CHNr117",27370167,32076647,32299124,29700810,30081966
"China","CHNr118",27370167,32076647,32299124,29700810,30081966
"China","CHNr119",27370167,32076647,32299124,29700810,30081966
"China","CHNr120",27370167,32076647,32299124,29700810,30081966
"China","CHNr121",27370167,32076647,32299124,29700810,30081966
"China","CHNr132",27370167,32076647,32299124,29700810,30081966
"China","CHNr122",19292385,16699371,13944056,13322793,11691475
"China","CHNr123",19292385,16699371,13944056,13322793,11691475
"China","CHNr124",19292385,16699371,13944056,13322793,11691475
"China","CHNr125",19292385,16699371,13944056,13322793,11691475
"China","CHNr126",19292385,16699371,13944056,13322793,11691475
"China","CHNr127",3850016,2269795,2216459,1542268,1477189
"China","CHNr128",3850016,2269795,2216459,1542268,1477189
"China","CHNr129",3850016,2269795,2216459,1542268,1477189
"China","CHNr130",3850016,2269795,2216459,1542268,1477189
"China","CHNr131",3850016,2269795,2216459,1542268,1477189
"CzechRepublic","CZEr101",92116.08,109061.05,111695.03,112950.45,152879.5
"CzechRepublic","CZEr102",83373.37,73854.12,102998.44,104608.81,140259.61
"CzechRepublic","CZEr103",118714.72,95000.14,84064.6,104713.87,98097.2
"CzechRepublic","CZEr104",94635.04,127572.6,83911.98,89797.51,66573.96
