"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"AUTr101",12635.6742108172,16264.625782283,38229.8306871578,30733.598192405,33165.1122440647,44146.3670995771,51680.4690209612,66047.9029323437
"AUTr104",25274.1126369526,51608.8820583072,62003.2331756889,62876.7532027648,61719.9096867391,98901.8335070545,87246.7480418608,113657.66312347
"AUTr102",83366.2744071855,155758.502691297,187551.006843274,183821.140540023,188555.840913307,298114.043646698,220413.610422426,355742.814535788
"AUTr106",70088.5990262127,139242.599914727,200442.72891004,159777.607610155,178075.250464047,246101.659008943,173796.265088372,266037.925977503
"AUTr107",36787.7121188603,42347.1370081135,74968.9378962015,79400.7142577218,57690.345879259,92518.8507195086,72996.9397505492,86561.181829331
"AUTr105",58833.0331162868,116728.365256833,157047.102538674,158197.403275996,133350.192060927,203807.199929752,173325.478580073,231381.832241457
"AUTr108",35497.9521096022,80850.2132095969,126490.313310768,75520.3016593847,98964.4433793096,136294.233539758,75237.9585731045,109864.483759995
"AUTr109",22131.3556191288,55008.2210159673,45696.1228546012,49952.1476519854,58066.1162624283,57670.1595706083,38626.972747635,52286.6212776457
"AUTr103",93356.1845153218,150949.854105493,231354.830111798,263709.379136713,226958.113319345,319904.706111357,220285.580715729,272949.046006552
"BELr101",73759.6062840011,146503.385350549,137836.998880069,207110.557155158,179259.476931427,151764.496624928,121172.710284629,153660.780489239
"BELr102",83725.8274865307,197764.04058605,206317.449829317,220046.702199415,235884.079037283,265283.278303674,246239.217630304,362166.961927425
"BELr107",16578.8249215731,47069.8255778625,51113.2077227302,47301.7225591325,52689.8354193188,56131.6092899717,53646.6108433682,71930.7078397929
"BELr108",55917.2945092237,158757.771542073,172395.347864729,159539.91695098,177713.019995209,189321.483446018,180940.045638995,242608.905851995
"BELr109",46011.7655691696,130634.45630891,141856.189588338,131278.047732842,146231.857001949,155783.926779374,148887.227736724,199631.691751706
"BELr103",39953.0386730555,94370.8124347329,98452.404704904,105003.852058266,112561.273086859,126590.245752862,117502.630671391,172822.067817929
"BELr110",11754.031427131,33371.4971796248,36238.1684321109,33535.9071675822,37355.9636668307,39796.107551099,38034.2969296634,50997.3296976272
"BELr111",20413.2183125894,57956.2562486631,62934.8022454307,58241.7869619126,64876.0764624146,69113.8726715283,66054.1373744293,88567.0274858933
"BELr104",68551.6755748651,161922.034784432,168925.256527422,180166.271189377,193133.341823837,217204.341547245,201611.754312213,296529.193240609
"BELr105",51559.3292090796,121785.374721251,127052.662680925,135507.294471316,145260.133597609,163364.499227236,151636.947249395,223026.587843188
"BELr106",53597.0976509007,126598.672277469,132074.138142924,140862.920553852,151001.219074102,169821.119709811,157630.062180466,231841.220410476
"BRAr102",73953.9106419242,170499.722784584,154030.932254029,134231.910538018,117028.463127299,66513.5277596125,42175.3040875355,39606.3327682354
"BRAr114",267900.856695449,561735.130094092,620611.186096448,530175.305034669,451881.635404288,362264.699179179,251194.772525597,243382.174957503
"BRAr106",84749.0837387016,161706.279789008,146662.299411827,140617.063286096,100098.825034018,74807.8690750293,39394.3294735989,33785.4316042195
"BRAr103",390230.717813705,783166.47200463,785329.134203588,676043.241889422,528239.988278341,366809.667703103,233300.888469487,173927.929637724
