"GDLcode","X1","X2","X3","X4","X5"
"AUTr101",30563.1515943813,1630.66161212501,63321.0415311429,173811.058309085,23577.6710289539
"AUTr104",84353.4898833398,1124.64037734642,73793.5693247086,337726.012028253,66291.4113260553
"AUTr102",261934.371041041,11608.7924357875,262652.022271709,959499.690313571,177628.357937891
"AUTr106",230429.948009107,15115.6069937682,253693.208584929,808884.777664356,125439.096777434
"AUTr107",83747.6797542885,3677.19140265254,92502.5751285629,306303.603197461,57040.7516893995
"AUTr105",190934.011802195,8052.4026888367,230357.04738734,683893.269840639,119433.87426206
"AUTr108",126995.595894854,3886.84459595252,143596.573605455,391641.718848236,72599.1570555025
"AUTr109",79260.7246159437,5915.35825575926,65122.7540007589,187327.362385834,41811.5196468995
"AUTr103",254204.775535735,27583.9099068045,249582.080731602,862576.72009425,385520.202742763
"BELr101",327444.474005045,59581.6510660205,162342.917686251,261582.815994459,360116.163210733
"BELr102",376397.496243572,115158.088391511,248298.160457698,548565.836047953,529007.975859266
"BELr107",93533.8882083003,28545.4397622485,68789.8161387466,104526.940604838,101066.257230117
"BELr108",315472.417271903,96278.4618108811,232015.262026223,352549.93943167,340877.697738856
"BELr109",259587.718512735,79223.110722422,190914.67029148,290097.103354655,280492.553400117
"BELr103",179612.721370594,54952.1658625749,118485.1354119,261769.548540643,252436.754014288
"BELr110",66313.5214168001,20238.1047905358,48770.5048208367,74107.3598800353,71653.8095627936
"BELr111",115166.647132926,35147.5027001105,84699.7022506635,128702.201043037,124441.12189098
"BELr104",308180.63940702,94287.2725445021,203297.542138597,449145.841290892,433132.573618989
"BELr105",231789.91483145,70915.6776195657,152904.86796451,337813.162111781,325769.206472693
"BELr106",240950.898514161,73718.462917596,158948.094657305,351164.48012819,338644.513782748
"BRAr102",379375.68903697,74703.2569969616,109406.042566209,174654.087487506,59901.0278735902
"BRAr114",1676000.67660682,401323.401552111,435775.666881652,615465.58116499,160580.433781657
"BRAr106",348150.090852427,66909.9077438608,104216.466855735,202201.193932924,60343.5022025548
"BRAr103",1685795.85301913,410959.684973645,535166.389767801,1052285.61762759,252840.48424079
"BRAr116",6817106.87264535,1563035.22534306,1800289.94768431,3628714.5348603,841117.229458735
"BRAr110",4193413.81932134,918224.332782246,1336423.04228929,2059729.10660743,483538.213044268
"BRAr127",830212.678532997,282945.823463498,371271.631261021,889262.209958502,593116.995783981
"BRAr118",1418132.60639951,431624.392119044,557213.214735433,1037616.65039701,355679.062541989
"BRAr126",2530302.38427919,825191.363269595,1040781.85593352,1755587.55044089,614522.076137221
"BRAr108",3581155.79566588,764390.737108619,1033283.77418642,1426437.1647389,258979.462089296
"BRAr125",1370159.79665775,342662.326549749,562371.458459757,822806.370249922,259264.288082821
"BRAr124",1049887.76634987,427123.253009072,376769.275345145,600516.689237642,231642.270797185
"BRAr117",7420139.87559553,3070093.79537314,3193547.77747465,5245948.02199577,1956014.1296217
"BRAr105",4100643.10803489,938556.469571344,1190792.58694143,1759600.00139649,402440.717055839
