"GDLcode","X1","X2"
"AUTr101",146597.15966179,146306.449803406
"AUTr104",285100.116912964,278189.018519874
"AUTr102",846175.737544854,827147.506633773
"AUTr106",721445.180584156,712117.46556382
"AUTr107",275362.17173434,267909.63756566
"AUTr105",612795.555679546,619874.979995348
"AUTr108",387959.017911974,350760.833921951
"AUTr109",199454.3957921,179983.397415703
"AUTr103",908817.966963797,870649.707013894
"BELr101",597666.847433584,573401.164566416
"BELr102",915934.306519805,901493.250480195
"BELr107",202349.083629151,194113.310708349
"BELr108",682485.843024945,654708.111967279
"BELr109",561586.15843549,538729.143254651
"BELr103",437073.718695119,430182.606504881
"BELr110",143461.162023208,137622.175593484
"BELr111",249148.901626879,239008.337901733
"BELr104",749933.841364969,738110.02763503
"BELr105",564042.898845543,555149.930154457
"BELr106",586335.446804028,577091.003195972
"BRAr102",396108.533481013,401931.599396513
"BRAr114",1695691.31857335,1593454.38133723
"BRAr106",391192.080872649,390629.050977359
"BRAr103",1935481.70601107,2001566.37547308
"BRAr116",7447101.40421859,7203162.39578141
"BRAr110",4612611.11991572,4378717.35395057
"BRAr127",1526521.82322372,1440287.5363351
"BRAr118",1935616.5378136,1864649.41780043
"BRAr126",3398764.8328821,3367620.3871179
"BRAr108",3584494.35017429,3479752.6142475
"BRAr125",1654690.55176948,1702573.72886131
"BRAr124",1377154.03618441,1308785.25959884
"BRAr117",10613569.2779212,10272174.2818964
"BRAr105",4228353.2111337,4163679.6718663
"BRAr112",2053014.86998296,1921580.01991757
"BRAr121",5585918.18164554,5461239.63825152
"BRAr113",4901946.31121245,4538842.18732494
"BRAr109",1651152.81597663,1651133.16065516
"BRAr119",8871933.59559551,8074246.50442225
"BRAr111",1767657.84160678,1667662.22423031
"BRAr123",5705532.87116172,5421714.08918833
"BRAr101",815700.801504339,858116.213509061
"BRAr104",258126.53472724,262440.580739235
"BRAr122",3410566.3986103,3286840.37012532
"BRAr120",22572158.3231879,21443695.9472848
