"GDLcode","X1","X2","X3","X4","X5","X6"
"AUTr101",35034.3541735253,76710.0907793961,116662.580981797,42427.7962715257,22068.7599164044,0
"AUTr104",97283.1989396249,160919.726336039,247982.201671864,48941.139569057,8162.85746421267,0
"AUTr102",231724.73705077,455805.042162906,755765.642467813,207616.881611071,22410.9296895783,0
"AUTr106",220761.384803387,385840.114396739,609377.247652188,196574.628990313,21009.2632017651,0
"AUTr107",80117.7373471486,144236.983304097,269381.743431655,48071.8150229626,1463.52105054622,0
"AUTr105",201470.771854499,327301.441280805,493800.433729668,175069.497648938,35028.4635050197,0
"AUTr108",95131.8070147817,183906.10951652,333165.610857134,110331.172808364,16185.1898032005,0
"AUTr109",50465.939706413,92737.992632099,137052.734747774,95637.8509947376,3543.20082417168,0
"AUTr103",427494.841432778,507261.560723057,624296.456438549,182531.346358628,37883.4830559116,0
"BELr101",248241.113771457,263473.34152864,413745.803011884,197419.078333971,48188.6753540486,0
"BELr102",247015.570960705,534220.366654317,729191.938828636,272170.473873366,34829.2066829759,0
"BELr107",61035.3041980663,103465.700844543,167487.997704385,59226.0727687144,5247.2686580407,0
"BELr108",205860.73478961,348970.575001319,564905.880766589,199758.53350882,17698.0617328843,0
"BELr109",169393.314754778,287151.809264491,464835.024344571,164372.094446251,14562.9196589231,0
"BELr103",117873.097892375,254924.04924045,347962.326640338,129876.739290224,16620.1121366121,0
"BELr110",43272.7221080092,73354.9636424712,118745.399507952,41990.0158136757,3720.20097956119,0
"BELr111",75151.706786479,127395.515013637,206225.053829308,72924.0316454441,6460.8704879929,0
"BELr104",202247.404304991,437400.290445188,597035.95321801,222843.327873061,28516.8931587495,0
"BELr105",152115.034574972,328979.056778582,449044.797278605,167605.713609526,21448.2267583145,0
"BELr106",158127.044850094,341981.22632204,466792.299639384,174229.95870933,22295.9204791517,0
"BRAr102",23617.9150545746,80773.074282416,368973.927297722,225060.094230198,91997.7454162248,7617.35249948308
"BRAr114",154785.194024792,452565.363727297,1633881.04099491,772541.837201805,258318.972813874,17053.3542283773
"BRAr106",22871.5877526828,66211.0706763277,279258.902714537,252635.45522586,133091.679058137,27752.4750812048
"BRAr103",116057.180409746,341793.429558158,1540440.58960656,1182280.97125328,650137.370912795,106338.500333667
"BRAr116",792233.238262453,2181416.00453871,7656853.49877273,3075890.80721882,841501.376998631,102368.878205356
"BRAr110",320414.336078368,1263827.870893,4603301.667719,2187625.10352193,563517.977383946,52641.556439415
"BRAr127",174291.93569255,492877.716635979,1583052.48059309,621159.593789871,83515.8534878983,11911.7629123776
"BRAr118",182126.34207255,704593.792570619,2121537.78924799,685413.761253729,106594.238105987,0
"BRAr126",311285.733383668,1160173.75184707,3673020.48786163,1350495.88807198,246098.164120635,25311.1937089681
"BRAr108",180485.259749516,739084.343834646,3149109.19061929,2039672.13038062,896230.867299773,59665.1500739753
"BRAr125",150942.389493145,554891.440625123,1746637.30031203,735375.527270517,167955.920278143,1461.66709989669
"BRAr124",132668.05271621,462374.532298764,1463032.52628803,502485.997254491,115732.858273572,9645.28996006743
"BRAr117",1094663.6683831,3790754.14152538,11362648.1531336,3709927.45802367,889937.49027067,37812.6897304256
"BRAr105",243200.665971724,909269.27816253,3657344.95614952,2386348.72684289,1039115.0707958,156754.184065124
"BRAr112",158094.732100498,592257.359335586,2092577.19995155,903132.676798216,204202.205488081,24330.6373485838
"BRAr121",483271.608607275,1995047.81252194,6398031.38852625,1903024.73119495,259872.234835231,7910.03332464538
"BRAr113",444739.161422202,1551825.70607669,4786630.25914843,2044525.94502316,590706.488995947,22360.8953067024
"BRAr109",121124.333886706,490310.503803448,1726975.41116885,743267.099446074,207708.516994153,12900.1194798455
"BRAr119",1132318.92080946,3153395.5053845,9086466.05859031,3024167.31851219,512279.868377897,37552.4063303879
"BRAr111",119822.252177062,472895.801612806,1846846.69945219,758298.87982845,226217.502715359,11238.9742304198
"BRAr123",658203.334752531,2388159.70157368,5964899.50402385,1723568.56100411,384309.951375344,8105.94038950112
"BRAr101",65696.4416757404,245907.671138437,921026.029705633,370067.99016974,58933.4825815469,12185.3624921197
"BRAr104",18539.5982718314,47731.7947439953,216993.390024612,146842.380949044,73006.0926156439,17453.9122695328
"BRAr122",340914.32367695,1318688.32361481,3812775.58749483,1073722.36188643,145902.224607241,5403.93285193631
"BRAr120",2099512.96669074,7402187.82172112,24648519.7779898,8080209.67232639,1729651.9996431,55772.068518583
"BRAr115",102043.654641933,347718.770038576,1219736.52111344,477469.250981431,119009.500504688,2331.06473477506
"BRAr107",73307.9814835047,220775.006542073,753569.358451099,386839.674937644,81235.8367630245,9906.92267406851
"CANr101",50420.5174060742,173893.82104789,223325.068829646,39095.3152754016,4884.3174844777,0
"CANr102",27184.2954599332,80542.9878946973,93967.5303703438,47400.4678467348,1909.14755208271,0
"CANr103",119368.168200354,324461.519492844,360151.872088522,112240.767056229,6094.08439672071,0
"CANr104",91194.2530995247,280723.986620039,321938.214518221,64705.7328792273,6578.33672599529,0
"CANr105",1165843.04596834,2536863.87085302,2864202.40360379,1253520.01143665,129325.25408564,0
"CANr106",1382731.4793773,3632218.96111954,5434018.66451513,2847836.90618336,326447.387796401,0
"CANr107",148893.073555212,357310.559828516,459404.655437956,279577.288990322,48929.2074190868,0
"CANr108",132132.094627199,349873.183915287,377134.385981745,225113.967333228,44329.4856085641,0
"CANr109",394390.023178346,1135352.65674462,1304222.82284926,1100993.71282491,156469.106393551,0
"CANr110",562376.715366245,1413545.0419577,1775942.99508721,803218.282941067,94261.0476219741,0
"CHLr111",5343.53263611599,19299.0766233968,59022.9197434324,22649.2673063218,4588.772090733,0
"CHLr102",20525.1257712397,71232.2410323735,250211.29737764,164969.234613353,68670.1335561092,4181.34324928561
"CHLr109",46079.3116663649,161881.268902176,509872.360896794,275112.165581296,70222.0914546139,4090.02749875581
"CHLr103",10288.0138308213,32380.0828801016,126272.409065284,88186.5164667231,32684.7369736664,464.726583403895
"CHLr108",93551.7662631244,321698.220120386,1033658.22948744,514479.50702283,128542.130520494,945.11058572537
"CHLr104",28022.1488464124,101733.394718299,354963.012284027,205855.985852254,71615.4064844816,1984.94841452624
"CHLr110",51983.9979580931,190990.467341934,602420.334914336,275721.021883955,80747.7991896995,2264.55071198206
"CHLr112",8882.87987714485,30440.6729781424,84379.0063365177,29596.0267839005,3418.25913466999,597.203489624689
"CHLr107",48176.5453597982,156206.620970169,541219.191092045,243457.594577628,52853.614544185,3216.56045617426
"CHLr106",42042.8602118577,133436.961911245,447108.329071942,237201.653777086,58112.0198149505,4241.20111291771
"CHLr113",285506.647843899,1023312.45101042,3330862.67895905,1889704.16765249,628573.015376826,40032.265157307
"CHLr101",21331.856054433,63696.4315530931,241828.660168926,132609.639976211,48368.0091982919,4044.03714904506
"CHLr105",89405.8180314608,306197.573572956,870849.614088763,432191.238195654,128579.314270609,4377.72384055713
"CHNr101",423957.224748045,3789895.06281688,14060544.3420172,2991263.40148097,168184.283693232,0
"CHNr102",295512.979159102,2641689.10290177,9800690.03323976,2085014.96759858,117230.314335281,0
"CHNr103",1491973.76488903,13337251.2020892,49481320.4110759,10526737.7423149,591867.585429357,0
"CHNr104",749490.378078131,6699944.51726858,24856853.6628798,5288088.05897719,297323.633173022,0
"CHNr105",510257.226537278,4561359.56821946,16922684.508622,3600159.82270197,202419.58654076,0
"CHNr106",1004002.66884217,11645541.4569938,26408232.1891648,5557576.57568168,64814.0223938244,0
"CHNr107",627925.960907837,7283384.83214172,16516305.2727556,3475833.99915483,40536.1544893881,0
"CHNr108",882477.334957417,10235955.2499551,23211757.3851732,4884882.79715949,56968.8781962429,0
"CHNr109",593393.556393547,3835067.44033458,15578923.7715444,6262887.96591183,434347.903153171,0
"CHNr110",1872583.57792842,12102396.8522092,49162712.5068492,19763917.2670658,1370680.11910268,0
"CHNr111",1282150.1561802,8286460.58691856,33661503.9573461,13532271.6216139,938498.953795573,0
"CHNr112",1366477.21209262,8831461.35914559,35875422.1264663,14422289.5498242,1000224.05936843,0
"CHNr113",840979.181517944,5435198.68439502,22079023.9819098,8875995.26277631,615573.829799951,0
"CHNr114",1059020.88541361,6844389.31384423,27803479.6107393,11177285.4414135,775174.411684623,0
"CHNr115",2190527.25800982,14157248.0419509,57509989.4569674,23119608.6566415,1603406.22351722,0
"CHNr116",2145812.38131042,8620582.2554886,47758017.9285081,31459055.1915861,7255329.50789903,70466.75460172
"CHNr117",1259775.51982224,5061019.58711155,28038043.9527637,18469157.8594092,4259499.37744016,41370.0159351097
"CHNr118",1504787.41300383,6045329.86378869,33491121.9987195,22061197.2834186,5087923.16409994,49416.0096583757
"CHNr119",2462745.52234194,9893828.80562923,54811802.6691283,36105508.5640213,8326930.3571554,80874.5843210086
"CHNr120",1052764.83897551,4229375.30285493,23430735.3672697,15434241.8104916,3559563.6727723,34571.9514937754
"CHNr121",200554.205957872,805706.055292784,4463610.82040385,2940259.77717606,678105.346531184,6586.03899328126
"CHNr122",503657.342824175,4053920.85279303,16326947.0337169,8820332.8086483,812171.223362689,0
"CHNr123",1324149.75841752,10658036.4494826,42924665.5060463,23189260.9611194,2135253.94701691,0
"CHNr124",580747.705832764,4674418.56736522,18825968.0280174,10170382.9325331,936483.070149397,0
"CHNr125",792094.162356257,6375539.02052934,25677138.6712843,13871601.8485779,1277289.20073325,0
"CHNr126",52833.4048677227,425254.282040891,1712688.62685352,925248.526576241,85196.3575577498,0
