"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"AUTr101",35034.3541735253,68018.2390441664,116668.748679028,10588.2272358191,30351.0554626998,25389.0239052911,0,6853.93459863851
"AUTr104",97283.1989396249,142619.087193938,262135.051149357,19976.8566527722,2343.69658437377,18748.5461556982,3956.01691295396,16226.6714331738
"AUTr102",231724.73705077,403360.59010748,765785.387333091,93294.4727000784,18974.2475442466,96654.5219974921,29781.1626456111,33748.1136033685
"AUTr106",220761.384803387,327948.096669906,707296.002884133,85645.7393779857,9816.43240714788,45053.8062951853,8542.50117686905,28498.6744149808
"AUTr107",80117.7373471486,125034.031247585,285895.278030837,30479.4129509332,0,10019.1085046866,0,11726.2320752197
"AUTr105",201470.771854499,268065.30006446,513508.38985214,68155.6330262485,28021.1356250204,90530.3563943735,25328.033112471,37590.9870707877
"AUTr108",95131.8070147817,145394.285459742,346977.612129743,61718.5393907256,3978.07582907978,29286.1418196662,6191.69676805843,50041.7306340509
"AUTr109",50465.939706413,79978.6983314359,195751.55200466,25104.1572328927,4217.98948296618,8992.3845185361,6096.42132722228,8830.57630106855
"AUTr103",427494.841432778,407312.688333054,590557.346475182,132412.078277702,11215.6612990035,85718.6649163066,40838.9878084154,83917.4204687124
"BELr101",248241.113771457,162827.913539562,479388.500021158,164053.099892273,6587.95606390351,49124.5484565244,21490.4327473265,39354.4485040469
"BELr102",247015.569825067,450525.023948918,868573.397271271,141727.722213094,16099.4948518916,49594.0651829589,18793.0239305218,25099.2597762776
"BELr107",61035.3040865913,76429.0537895854,182196.849138541,49892.379796595,2779.89574646769,8602.76154837328,9673.37546427794,5852.72426889346
"BELr108",205860.734413626,257780.990512327,614516.102324924,168277.722217935,9376.07157898758,29015.5154764353,32626.4971910328,19740.150956003
"BELr109",169393.314445397,212116.101248157,505656.990146227,138467.985140595,7715.13735130673,23875.5309549201,26846.8414516969,16243.2608025734
"BELr103",117873.097350461,214985.557567718,414473.61672417,67630.9011999285,7682.5008452471,23665.7392789286,8967.82312483665,11977.0891087103
"BELr110",43272.7220289758,54186.5605335936,129173.659823862,35372.6276064617,1970.88648457894,6099.17349860637,6858.21581152037,4149.45602697024
"BELr111",75151.7066492218,94105.7624899152,224335.80636293,61431.6180875551,3422.83720512921,10592.4304291061,11910.6586930055,7206.35743422617
"BELr104",202247.403375172,368873.574705165,711156.443957241,116041.526549017,13181.6833722382,40605.8246173541,15387.0474408038,20550.3649830089
"BELr105",152115.033875633,277438.500448952,534877.505263983,87277.564247585,9914.25441930808,30540.5967351722,11572.9606592872,15456.41335008
"BELr106",158127.044123116,288403.643507126,556017.355552706,90727.0169233855,10306.0933956828,31747.6462677398,12030.3563308697,16067.2938993752
"BRAr102",23617.9189100798,43674.0739077147,436832.789264181,81298.7830212701,25530.124193344,96272.2929638666,65319.9886486287,25494.1523296778
"BRAr114",154785.190019683,262404.294000572,1601674.70910088,355075.196576067,77359.2875150475,398901.181203984,304287.720248825,134658.181322171
"BRAr106",22871.5927089319,30996.9764853053,360846.920528621,80181.8407380993,12591.8959707091,154894.26236838,92076.2338635273,27361.4587489244
"BRAr103",116057.184558161,179261.630067771,1905347.57629319,320746.380586219,81569.8427209838,732944.077117076,444939.924533056,156181.434494576
"BRAr116",792233.237263279,1202660.40963182,6938374.05726191,1628192.16954654,355071.538347611,1691800.57346604,1387560.21815246,654371.596330329
"BRAr110",320414.337082825,724085.191569994,4301351.01325796,968718.472404944,223028.814490581,1217380.26913118,862705.778126003,373644.637981078
"BRAr127",174291.93569255,286527.828122721,1458628.95567078,381865.304368327,41320.8883357032,281258.293684566,214166.747333256,128749.385792092
"BRAr118",182126.345995358,455614.037594081,1999903.69509787,404333.655013405,75157.914214501,314469.380281496,248118.031831018,120542.885779286
"BRAr126",311285.73438971,752763.248095857,3386752.47968842,696029.579851322,206476.053618984,660321.234445531,467490.12897787,285266.760932312
"BRAr108",180485.262812784,417676.439634669,3251682.85111377,664369.018423015,241121.891813562,1267550.70359916,730019.626145723,311341.160668215
"BRAr125",150942.391524684,364565.295926128,1611955.00057721,308598.512403087,106091.571186784,441885.588560884,230151.436678115,143074.4634585
"BRAr124",132668.048611776,290759.387966505,1301508.05833729,305127.654440053,73444.544531666,299181.305410615,177935.997246394,105314.268455701
"BRAr117",1094663.66637095,2233059.06262794,10629356.6856098,2396589.78343425,402484.641631156,1738365.91460713,1443455.51960194,947768.326177661
"BRAr105",243200.669008972,525953.282659339,3985327.04214708,672037.004989568,261538.691693716,1485460.45615059,913990.225619878,304525.510730848
"BRAr112",158094.731089242,350352.827266503,2007298.09965606,441774.6980183,103785.666750806,458789.83987322,298354.757465413,156144.178767891
"BRAr121",483271.608607275,1348758.48264554,5942820.3732967,963825.592684025,251298.761814243,1028589.90204903,616748.353664599,411844.735238595
"BRAr113",444739.166489375,881806.855315308,4436854.18378675,1074040.46824189,225227.925121975,1027624.53101494,911398.753084624,439096.574945138
"BRAr109",121124.329813064,298562.652689156,1633105.74790727,333804.888495944,95193.0743872625,428746.609002845,253169.838567553,138578.8459528
"BRAr119",1132318.91880827,1830020.13344224,7802450.02068389,2019189.46744165,337475.699640059,1593135.15807801,1429377.76394315,802212.907962734
"BRAr111",119822.251172989,286702.335459766,1612690.69036429,342889.138886335,93647.6979838698,540157.749719546,326937.704259934,112472.52811254
"BRAr123",658203.334752531,1566218.94877869,5545301.25801371,1134961.89628193,218496.019455263,1078811.74377315,547517.159575809,377736.639438932
"BRAr101",65696.4436362765,167147.446858158,948879.197919561,134974.835546056,56215.5562441262,160060.628783736,94479.2293995576,46363.6374152082
"BRAr104",18539.5938211494,27267.7928088498,226245.821486897,50240.2769767049,12178.0338324826,114351.137623818,56259.4126230135,15485.1019270846
"BRAr122",340914.324650512,908575.44951694,3526485.79816849,592164.702350957,130182.347173136,651423.001653093,350381.927269748,197279.217952738
"BRAr120",2099512.96964347,4366836.38427751,22932676.1047949,4606124.77213162,803521.101384879,4539624.13477402,2806708.41924407,1860850.41374953
"BRAr115",102043.654641933,209040.458912384,1089352.29669591,277246.743276461,48819.9296496759,216571.804561511,219654.630779937,105579.242482186
