"GDLcode","X1","X2","X3","X4","X5"
"AUTr101",43215.6463537732,46285.9994694398,55747.2040543422,72709.4846707713,74945.2651516736
"AUTr104",99966.9045326307,119230.455208869,111400.195200713,111872.112979452,120819.436278335
"AUTr102",232800.816421382,324955.846779116,360925.944505805,359966.171218065,394674.455075631
"AUTr106",244217.82935228,302131.373980418,329628.055520064,252079.192297055,305506.184850184
"AUTr107",99156.5589077773,129649.122373642,107104.370890816,100864.01266352,106497.744464244
"AUTr105",264388.024194066,223321.239392623,235587.761644086,267051.578753171,242322.003016054
"AUTr108",138198.052809317,136812.881883543,160442.758810711,185301.76466328,117964.431833148
"AUTr109",87669.6755319867,68246.6785454288,67465.5485658964,72901.8988662556,83153.9154904326
"AUTr103",515607.136406744,378341.07148501,300026.999689224,305991.586453566,279500.889965456
"BELr101",334914.741734959,303392.367403143,229966.385616352,138490.031374325,164304.485871221
"BELr102",298230.363826651,350773.946780355,332754.921434952,414315.927729224,421352.397228819
"BELr107",93742.7488810418,76696.672042462,91644.2654687214,70261.6996968426,64116.9525109323
"BELr108",316176.865494521,258683.61712989,309099.071046209,236979.651649171,216254.561680209
"BELr109",260167.376501541,212858.831108182,254343.385520562,194999.637805197,177945.916064519
"BELr103",142312.230492585,167385.447023147,158786.967460894,197706.97740899,201064.702814383
"BELr110",66461.5991558985,54376.2961372727,64973.8194070678,49814.0387070306,45457.5446927304
"BELr111",115423.813640791,94435.2761826073,112839.987572075,86512.0068346286,78946.0866698988
"BELr104",244180.222057614,287201.005014496,272447.679586305,339226.877963818,344988.084377768
"BELr105",183653.694090459,216010.637851576,204914.31443859,255140.521815599,259473.660803776
"BELr106",190912.200121905,224547.980514173,213013.099462481,265224.386589659,269728.783311782
"BRAr102",272370.884035635,172577.570210694,127998.291149582,107816.427404376,117276.940799713
"BRAr114",1369342.33183751,814961.30434861,558333.480157588,304637.526543163,241871.127113127
"BRAr106",234787.659322623,158134.747228227,124109.096143683,108355.202473529,156434.466331939
"BRAr103",1284657.09514886,828469.012365524,710154.685451533,594240.579734669,519526.667299418
"BRAr116",5158982.49911711,3582579.29109501,2624908.15196222,1911206.72589227,1372587.13193339
"BRAr110",3278016.4909163,2162791.42908606,1573596.8428805,1052379.45455655,924544.286560586
