,GDLCODE,Nr_households,Nr_individuals,ECONSIT_1,ECONSIT_2,ECONSIT_3,ECONSIT_4,ECONSIT_5,ECONSIT_AVG,EDU_1,EDU_2,EDU_3,EDU_4,EDU_5,EDUF_1,EDUF_2,EDUF_3,EDUF_4,EDUF_5,EDUM_1,EDUM_2,EDUM_3,EDUM_4,EDUM_5,AGE_1,AGE_2,AGE_3,AGE_4,AGE_5,AGE_6,AGE_7,GENDER_0,GENDER_1,HHTYPE_1,HHTYPE_2,HHTYPE_3,HHTYPE_4,HHTYPE_5,HHTYPE_6,HHTYPE_7,HHTYPE_8,HHSIZE_1,HHSIZE_2,HHSIZE_3,HHSIZE_4,HHSIZE_5,HHSIZE_6,RURALHH_0,RURALHH_1,RURALINDI_0,RURALINDI_1
225,AFGr101,1448009,6594085,251277,268800,291173,317804,318955,3.1273196506375305,3889432,1410080,709256,463706,121611,2025288,735046,342748,217907,54303,1864144,675034,366508,245799,67308,2564304,1313173,965651,680266,491646,315475,263570,3375292,3218793,134053,82636,519529,139908,43015,279937,146744,102187,134053,167466,493944,384932,235258,32356,1354651,93358,6121838,472247
226,AFGr102,171202,831828,33957,33715,32379,32810,38341,3.045928201773344,604092,140321,48495,33514,5406,311142,71766,23015,15920,2336,292950,68555,25480,17594,3070,371406,161479,112175,74577,49764,32285,30142,424179,407649,13792,7911,57166,17518,6087,37367,17988,13373,13792,18644,52547,43787,35315,7117,138626,32576,660884,170944
227,AFGr103,563629,2788188,115989,115404,111902,102974,117360,2.9828113883423315,2092744,430321,148304,101647,15172,1075191,221477,71094,48049,6591,1017553,208844,77210,53598,8581,1265246,535227,372682,247469,161995,104922,100647,1422402,1365786,45793,27117,191495,56358,20513,121846,57196,43311,45793,60565,169536,142569,120500,24666,444549,119080,2157131,631057
228,AFGr104,1343130,6450171,270421,277175,285389,273146,236999,2.9472329558568418,4285009,1284476,507147,313192,60347,2221361,665496,243391,146873,26794,2063648,618980,263756,166319,33553,2781956,1251764,881660,600741,415729,270270,248051,3303915,3146256,113455,65069,457013,136418,47109,282914,138238,102914,113455,147058,426226,354030,258943,43418,1070385,272745,5038379,1411792
229,AFGr105,969107,4935761,208226,199411,191454,183666,186350,2.938606366479656,3868129,662245,222774,161026,21587,1976808,341731,107681,76476,9403,1891321,320514,115093,84550,12184,2292178,944174,647512,427867,273448,177704,172878,2512099,2423662,78814,46857,330767,96129,34844,211707,96955,73034,78814,99843,278107,241505,220700,50138,765936,203171,3840461,1095300
230,AFGr106,857532,4451069,197634,181158,167977,151063,159700,2.8764325995997817,3729026,421136,165410,120446,15051,1900645,217874,80908,58303,6547,1828381,203262,84502,62143,8504,2104341,842875,574837,379751,238842,156642,153781,2264277,2186792,70176,42796,294175,84268,31263,186934,84988,62932,70176,85692,237396,209027,204192,51049,616300,241232,3138638,1312431
231,AFGr107,758176,3706983,164644,164581,161158,134952,132841,2.8770272337821297,2653270,646814,225667,155242,25990,1367366,333107,107857,72763,11386,1285904,313707,117810,82479,14604,1660886,715109,496228,332673,221809,143999,136279,1892479,1814504,62085,35882,257504,76145,27434,161855,78013,59258,62085,82111,234331,195116,154919,29614,521956,236220,2477727,1229256
232,AFGr108,917441,4657854,194316,187977,181740,173912,179496,2.9523620592495865,3598685,663129,218908,154844,22288,1841420,342130,105573,73545,9735,1757265,320999,113335,81299,12553,2157055,895422,614349,404099,257973,166769,162187,2372403,2285451,74385,44319,312992,91083,32988,200388,92031,69255,74385,95845,264581,228365,207225,47040,736344,181097,3681872,975982
574,AGOr201,139382,569599,20436,23917,26214,31437,37378,3.2970541389849477,246550,124721,74647,96758,26923,135205,64872,35790,41802,8667,111345,59849,38857,54956,18256,188674,114052,89888,68931,50314,31913,25827,286336,283263,14832,10777,55732,12797,3520,21805,12219,7700,14832,18901,53764,35005,15375,1505,125492,13890,507588,62011
575,AGOr202,121582,545365,23291,23752,24899,25676,23964,3.0268954285996283,309528,116040,65216,42704,11877,168227,57506,30043,18428,4062,141301,58534,35173,24276,7815,208681,109135,80697,57441,41250,26449,21712,278266,267099,12000,7178,44399,11544,3774,22201,12218,8268,12000,13972,41970,31874,19190,2576,99128,22454,433348,112017
576,AGOr203,342656,1625478,77139,74450,71135,64237,55695,2.845031168285394,1013955,343612,155086,91813,21012,549629,167572,70846,38961,7134,464326,176040,84240,52852,13878,674650,320699,228568,156600,109708,71018,64235,834142,791336,31307,17424,117034,35310,12147,66784,35995,26655,31307,37980,111595,90308,62265,9201,239348,103308,1091266,534212
577,AGOr204,2206848,8914870,283199,342186,415895,523080,642488,3.4075822168087697,3613471,1920442,1178314,1755562,447081,1973705,984684,583416,769980,148747,1639766,935758,594898,985582,298334,2798859,1732230,1413693,1136452,847110,537422,449104,4460532,4454338,242083,209630,938526,199056,48703,300541,164326,103983,242083,323348,873447,542816,209530,15624,2182982,23866,8803102,111768
578,AGOr205,92719,437461,20727,19756,19618,17893,14725,2.8504405785222016,286336,86633,38279,21845,4368,154788,41710,17347,9183,1478,131548,44923,20932,12662,2890,186171,85242,60311,41745,28666,18677,16649,224506,212955,8452,4368,30890,9533,3502,18720,10074,7180,8452,10122,29932,24174,17344,2695,69643,23076,317712,119749
579,AGOr206,367233,1912436,101074,88032,77356,58878,41893,2.5983040739802794,1537144,211218,92258,63544,8272,804313,99011,41725,26000,2865,732831,112207,50533,37544,5407,890095,369551,249134,165162,104407,67793,66294,973914,938522,32489,18268,123722,38643,14259,72408,38222,29222,32489,37933,104778,89257,84354,18422,225964,141269,1103884,808552
580,AGOr207,240416,1134789,55366,52990,49304,44575,38181,2.8220376347664047,694364,238234,116749,69027,16415,377115,117145,53203,29320,5546,317249,121089,63546,39707,10869,464782,223583,161674,111111,78176,50485,44978,582329,552460,22281,12679,82340,24596,8444,46310,25370,18396,22281,26778,78463,63223,43036,6635,160813,79603,726747,408042
581,AGOr208,156035,761378,34800,33272,33221,30225,24517,2.8486685679494985,518808,142109,58821,35235,6405,278777,67745,26599,14481,2217,240031,74364,32222,20754,4188,334247,149085,103768,68909,46865,30122,28382,389819,371559,13413,7415,51401,16435,6016,31917,16839,12599,13413,17271,48564,40087,31052,5648,122408,33627,579893,181485
582,AGOr209,519607,2484636,113837,111364,107848,101934,84624,2.8694089956447852,1594163,502328,226465,133354,28326,861319,243235,103458,56276,9625,732844,259093,123007,77078,18701,1033999,489240,348826,238527,168156,108602,97286,1273913,1210723,47162,26298,178650,54271,18279,100793,54020,40134,47162,57769,167596,137369,95804,13907,386138,133469,1782093,702543
583,AGOr210,447626,2147914,114919,104994,90339,75021,62353,2.6981743687810806,1401527,424234,190573,110770,20810,754032,206088,86974,46365,7032,647495,218146,103599,64405,13778,913265,420061,297867,202721,140587,90665,82748,1100491,1047423,39769,21359,152093,46137,16088,89884,46554,35742,39769,49827,143998,117703,84169,12160,265288,182338,1203649,944265
584,AGOr211,281239,1390505,73684,65702,58356,47103,36394,2.6686839307492916,994673,235590,92794,58163,9285,528339,111848,41826,24004,3137,466334,123742,50968,34159,6148,619522,270284,187790,125118,82717,53599,51475,709154,681351,23663,13206,95562,29286,10678,56412,29729,22703,23663,31073,87179,72062,56888,10374,172132,109107,806495,584010
585,AGOr212,133470,652490,30011,28753,28164,26184,20358,2.8361054918708324,460063,115436,43705,28476,4810,245580,54525,19565,11898,1641,214483,60911,24140,16578,3169,290418,126728,88340,58737,39110,25073,24084,333209,319281,11518,6381,44619,13854,5165,27033,14212,10688,11518,14682,41288,34031,26948,5003,106193,27277,503745,148745
586,AGOr213,88401,434282,21978,19918,18733,15782,11990,2.7272429044920306,319070,68892,26441,17342,2537,169577,32278,11843,7260,894,149493,36614,14598,10082,1643,195871,83900,58215,38688,25345,16415,15848,221852,212430,7547,4154,29715,9212,3405,18071,9582,6715,7547,9369,27357,22467,18184,3477,62752,25649,295289,138993
587,AGOr214,89851,404054,19180,18923,18464,17525,15759,2.9082926177783217,239868,84653,44103,28388,7042,130577,41782,19977,12023,2379,109291,42871,24126,16365,4663,158212,80192,59079,41815,29655,19054,16047,206738,197316,8771,4949,31576,8820,2887,16791,9592,6465,8771,10264,30649,23746,14520,1901,66190,23661,288219,115835
588,AGOr215,520052,2514991,134806,122499,106561,86000,70186,2.6813030235437996,1662564,492785,209415,126559,23668,894140,239309,95759,53026,8026,768424,253476,113656,73533,15642,1082945,489614,346769,234003,161065,104022,96573,1290260,1224731,46480,25068,177116,53871,18931,103149,54263,41174,46480,57922,165202,135543,99907,14998,299876,220176,1366571,1148420
589,AGOr216,206130,997365,57479,51110,41543,31414,24584,2.585281133265415,674560,185924,80582,47609,8690,362433,90609,36169,19809,2932,312127,95315,44413,27800,5758,433572,196127,136350,91477,61927,40248,37664,511952,485413,19092,9765,67946,21803,7752,41008,21979,16785,19092,22518,65009,52376,40162,6973,99472,106658,447562,549803
590,AGOr217,113090,523598,21012,21810,23839,24595,21834,3.0391634980988593,315860,111715,55233,32731,8059,172220,54796,25184,13833,2766,143640,56919,30049,18898,5293,214009,103423,74767,51592,36022,23352,20433,268799,254799,10526,6036,38680,11465,3970,21885,12036,8492,10526,12726,37469,29742,19644,2983,98445,14645,449312,74286
591,AGOr218,93039,431623,24108,22298,18743,15061,12829,2.679757950966799,262209,90376,45925,26573,6540,142349,45065,20406,11224,2248,119860,45311,25519,15349,4292,177954,84911,60749,42778,29743,18910,16578,221292,210331,9127,4794,31472,9399,3105,18136,10087,6919,9127,10189,30220,24557,16430,2516,49368,43671,216964,214659
994,ALBr201,41217,136174,7951,8252,8180,8390,8444,3.0272703010893562,41089,22513,23271,33823,15478,21221,11761,10727,17052,8677,19868,10752,12544,16771,6801,32839,22625,20430,18785,16505,12354,12636,69438,66736,6609,5437,15096,3717,849,4652,3034,1823,6609,8083,17305,7233,1848,139,24057,17160,79619,56555
995,ALBr202,37833,134095,7205,7667,7700,7575,7686,3.0229957973198003,45653,21214,19636,35223,12369,23273,10726,8951,17869,7022,22380,10488,10685,17354,5347,35126,23750,20352,18584,15209,10482,10592,67841,66254,4464,4233,14769,3615,868,4892,3132,1860,4464,6956,16136,7709,2369,199,10919,26914,38919,95176
996,ALBr203,84557,270157,16706,16676,16706,16983,17486,3.0220797805030926,74859,44100,47913,69961,33324,39149,23574,22587,35395,18361,35710,20526,25326,34566,14963,61778,43196,40754,36878,33457,26604,27490,139066,131091,14886,12395,30193,7590,1681,8575,5510,3727,14886,18356,34299,13473,3285,258,67723,16834,215458,54699
997,ALBr204,89175,299070,17556,17557,17843,17998,18221,3.0198598261844687,92137,49455,50238,74719,32521,47855,25903,23254,37883,18188,44282,23552,26984,36836,14333,73234,51112,45686,40804,35355,26580,26299,153083,145987,13816,11920,32737,8116,1834,10211,6499,4042,13816,17608,36816,16289,4322,324,46635,42540,156201,142869
