"ISOcode","Replace1","Replace2","Replace3","LISDHS","sum_hdidiff","sum_distance"
"AND","ESP","FRA","LUX","LIS",0.0950000000000001,2072.0792
"ATG","COL","PER","MEX","LIS",0.0920000000000001,9609.491
"ARG","URY","CHL","ESP","LIS",0.08,11409.2416
"AUS","ISR","CAN","SWE","LIS",0.035,45387.09
"AUT","LUX","DNK","BEL","LIS",0.045,2545.4293
"AZE","GEO","SRB","CHN","LIS",0.103,8580.6691
"BHS","MEX","PER","CHL","LIS",0.139,13029.573
"BHR","ISR","GRC","LTU","LIS",0.0770000000000001,8297.798
"BRB","COL","PER","PRY","LIS",0.137,9616.341
"BLR","LTU","POL","SRB","LIS",0.124,1931.2754
"BEL","LUX","FRA","CHE","LIS",0.071,937.6491
"BIH","SRB","GEO","CHN","LIS",0.0900000000000001,9859.65511
"BRA","PRY","URY","PER","LIS",0.0940000000000001,6157.902
"BRN","GEO","LTU","EST","LIS",0.118,27111.862
"BGR","SRB","POL","LTU","LIS",0.127,2842.2462
"CAN","USA","IRL","FRA","LIS",0.041,11809.6886
"CHL","URY","ESP","FRA","LIS",0.124,23721.22
"CHN","VNM","GEO","SRB","LIS",0.167,15799.415
"COL","PER","MEX","PRY","LIS",0.05,8785.309
"CRI","COL","MEX","PER","LIS",0.113,5668.478
"CIV","ZAF","BRA","GEO","LIS",0.72,16894.921
"HRV","SRB","ITA","POL","LIS",0.113,1613.1463
"CUB","MEX","COL","PER","LIS",0.038,7950.864
"CYP","ISR","GRC","ITA","LIS",0.0580000000000001,3239.1891
"CZE","POL","LUX","FRA","LIS",0.048,1998.0123
"DNK","SWE","BEL","LUX","LIS",0.034,2093.1619
"ECU","COL","PER","MEX","LIS",0.02,5134.8072
"EST","LTU","POL","LUX","LIS",0.0670000000000001,2973.137
"FIN","SWE","DNK","BEL","LIS",0.019,2934.1113
"FRA","BEL","LUX","ESP","LIS",0.0580000000000001,1606.1428
"GEO","LTU","SRB","CHN","LIS",0.133,10041.919
"DEU","BEL","LUX","FRA","LIS",0.0829999999999997,852.7609
"GRC","ITA","ISR","POL","LIS",0.043,3851.096
"GRD","COL","PER","MEX","LIS",0.0890000000000001,8945.846
"HUN","SRB","POL","ITA","LIS",0.118,1765.4305
"ISL","IRL","DNK","BEL","LIS",0.0499999999999997,5743.583
"IRN","GEO","SRB","CHN","LIS",0.0750000000000001,9438.2296
"IRL","BEL","FRA","LUX","LIS",0.044,2507.0306
"ISR","ITA","LUX","EST","LIS",0.0600000000000001,8449.841
"ITA","LUX","GRC","FRA","LIS",0.045,3149.8883
"JPN","SWE","DNK","ISR","LIS",0.046,26057.598
"KAZ","GEO","LTU","POL","LIS",0.135,10701.547
"KWT","GEO","GRC","SRB","LIS",0.126,6916.956
"LVA","LTU","EST","POL","LIS",0.0620000000000001,1100.5049
"LIE","CHE","LUX","FRA","LIS",0.071,822.37621
"LTU","POL","EST","LUX","LIS",0.0790000000000001,2342.0318
"LUX","BEL","FRA","DNK","LIS",0.053,1279.1287
"MYS","CHN","GEO","LTU","LIS",0.136,20300.753
"MUS","GEO","SRB","LTU","LIS",0.073,24050.244
"MEX","COL","PER","CHL","LIS",0.101,13974.506
"MNG","CHN","VNM","GEO","LIS",0.107,8979.826
"MNE","GRC","ITA","POL","LIS",0.164,2330.1997
"NLD","BEL","LUX","FRA","LIS",0.0650000000000001,919.2991
"NZL","CAN","USA","ISR","LIS",0.038,45179.99
"MKD","SRB","GEO","CHN","LIS",0.0890000000000001,9783.7878
"NOR","SWE","DNK","BEL","LIS",0.0619999999999997,1990.6536
"OMN","GEO","GRC","SRB","LIS",0.119,10348.471
"PSE","GEO","VNM","CHN","LIS",0.129,15605.254
"PAN","COL","PER","MEX","LIS",0.119,5461.8219
"PRY","BRA","PER","COL","LIS",0.0970000000000001,7463.733
"PER","COL","PRY","URY","LIS",0.0930000000000001,7683.121
"POL","LTU","EST","LUX","LIS",0.0670000000000001,2305.3624
"PRT","ESP","FRA","ITA","LIS",0.113,3817.8233
"QAT","GRC","SRB","LTU","LIS",0.102,10528.978
"ROU","POL","LTU","GEO","LIS",0.127,4198.56
"RUS","LTU","EST","POL","LIS",0.14,2822.2812
"KNA","COL","PER","MEX","LIS",0.035,9429.189
"LCA","COL","PER","MEX","LIS",0.0700000000000001,9375.111
"VCT","COL","PER","MEX","LIS",0.014,9209.228
"SAU","ISR","GRC","ITA","LIS",0.0940000000000001,7754.634
"SRB","LTU","GEO","CHN","LIS",0.133,11076.537
"SGP","ISR","SWE","DNK","LIS",0.034,27610.367
"SVK","SRB","POL","ITA","LIS",0.105,1807.9583
"SVN","ITA","LUX","BEL","LIS",0.054,2145.9555
"KOR","EST","DNK","ISR","LIS",0.054,23170.691
"ESP","FRA","LUX","BEL","LIS",0.0640000000000001,3652.529
"LKA","CHN","GEO","SRB","LIS",0.0870000000000001,17573.655
"SUR","COL","PER","BRA","LIS",0.034,8740.108
"SWE","DNK","BEL","LUX","LIS",0.036,3133.4371
