Country;Continent;ISO_Code;Level;GDLCODE;Region;Subnational_HDI;Health_index;Educational_index;Income_index;Available;LISDHS
Afghanistan;Asia/Pacific;AFG;National;AFGt;Total;0.478;0.656;0.362;0.460;0;
Albania;Europe;ALB;National;ALBt;Total;0.795;0.902;0.770;0.723;0;
Algeria;Africa;DZA;National;DZAt;Total;0.740;0.856;0.661;0.716;0;
Andorra;Europe;AND;National;ANDt;Total;0.867;0.969;0.717;0.939;0;
Angola;Africa;AGO;National;AGOt;Total;0.582;0.625;0.480;0.655;0;
AntiguaandBarbuda;America;ATG;National;ATGt;Total;0.791;0.891;0.710;0.782;0;
Argentina;America;ARG;National;ARGt;Total;0.848;0.873;0.848;0.825;0;
Armenia;Europe;ARM;National;ARMt;Total;0.766;0.837;0.746;0.720;1;DHS
Australia;Asia/Pacific;AUS;National;AUSt;Total;0.933;0.964;0.908;0.927;0;
Austria;Europe;AUT;National;AUTt;Total;0.910;0.941;0.846;0.946;1;LIS
Azerbaijan;Europe;AZE;National;AZEt;Total;0.748;0.792;0.705;0.751;0;
Bahamas;America;BHS;National;BHSt;Total;0.820;0.817;0.764;0.883;0;
Bahrain;Asia/Pacific;BHR;National;BHRt;Total;0.858;0.914;0.748;0.924;0;
Bangladesh;Asia/Pacific;BGD;National;BGDt;Total;0.602;0.777;0.505;0.555;1;DHS
Barbados;America;BRB;National;BRBt;Total;0.791;0.872;0.754;0.754;0;
Belarus;Europe;BLR;National;BLRt;Total;0.812;0.831;0.824;0.781;0;
Belgium;Europe;BEL;National;BELt;Total;0.924;0.937;0.896;0.939;1;LIS
Belize;America;BLZ;National;BLZt;Total;0.708;0.818;0.678;0.641;0;
Benin;Africa;BEN;National;BENt;Total;0.529;0.606;0.480;0.510;1;DHS
Bhutan;Asia/Pacific;BTN;National;BTNt;Total;0.627;0.775;0.465;0.686;0;
Bolivia;America;BOL;National;BOLt;Total;0.690;0.728;0.686;0.657;0;
BosniaandHerzegovina;Europe;BIH;National;BIHt;Total;0.761;0.864;0.697;0.732;0;
Botswana;Africa;BWA;National;BWAt;Total;0.702;0.674;0.676;0.759;0;
Brazil;America;BRA;National;BRAt;Total;0.753;0.836;0.677;0.755;1;LIS
BruneiDarussalam;Asia/Pacific;BRN;National;BRNt;Total;0.836;0.842;0.707;0.982;0;
Bulgaria;Europe;BGR;National;BGRt;Total;0.809;0.841;0.788;0.799;0;
BurkinaFaso;Africa;BFA;National;BFAt;Total;0.418;0.598;0.278;0.440;1;DHS
Burundi;Africa;BDI;National;BDIt;Total;0.428;0.619;0.396;0.319;0;
Cambodia;Asia/Pacific;KHM;National;KHMt;Total;0.574;0.767;0.465;0.530;1;DHS
Cameroon;Africa;CMR;National;CMRt;Total;0.560;0.610;0.535;0.538;0;
Canada;America;CAN;National;CANt;Total;0.926;0.953;0.898;0.928;1;LIS
CapeVerde;Africa;CPV;National;CPVt;Total;0.663;0.840;0.560;0.619;0;
CentralAfricanRepublicCAR;Africa;CAF;National;CAFt;Total;0.384;0.505;0.345;0.327;0;
Chad;Africa;TCD;National;TCDt;Total;0.389;0.486;0.278;0.437;0;
Chile;America;CHL;National;CHLt;Total;0.846;0.919;0.796;0.826;1;LIS
China;Asia/Pacific;CHN;National;CHNt;Total;0.733;0.877;0.614;0.730;1;LIS
Colombia;America;COL;National;COLt;Total;0.754;0.865;0.665;0.745;1;LIS
Comoros;Africa;COM;National;COMt;Total;0.544;0.660;0.475;0.512;0;
CongoBrazzaville;Africa;COG;National;COGt;Total;0.590;0.665;0.520;0.593;0;
CongoDemocraticRepublic;Africa;COD;National;CODt;Total;0.463;0.592;0.485;0.345;0;
CostaRica;America;CRI;National;CRIt;Total;0.798;0.909;0.709;0.787;0;
IvoryCoast;Africa;CIV;National;CIVt;Total;0.513;0.581;0.408;0.569;1;LIS
Croatia;Europe;HRV;National;HRVt;Total;0.843;0.886;0.811;0.832;0;
Cuba;America;CUB;National;CUBt;Total;0.773;0.889;0.780;0.666;0;
Cyprus;Europe;CYP;National;CYPt;Total;0.871;0.938;0.800;0.882;0;
CzechRepublic;Europe;CZE;National;CZEt;Total;0.891;0.901;0.891;0.880;1;LIS
Denmark;Europe;DNK;National;DNKt;Total;0.936;0.934;0.921;0.952;1;LIS
Djibouti;Africa;DJI;National;DJIt;Total;0.493;0.645;0.323;0.573;0;
Dominica;America;DMA;National;DMAt;Total;0.700;0.750;0.632;0.722;0;
DominicanRepublic;America;DOM;National;DOMt;Total;0.736;0.815;0.649;0.754;1;LIS
Ecuador;America;ECU;National;ECUt;Total;0.765;0.874;0.712;0.719;0;
Egypt;Africa;EGY;National;EGYt;Total;0.706;0.777;0.645;0.701;2;LIS
ElSalvador;America;SLV;National;SLVt;Total;0.668;0.797;0.570;0.657;0;
EquatorialGuinea;Africa;GNQ;National;GNQt;Total;0.603;0.617;0.439;0.810;0;
Eritrea;Africa;ERI;National;ERIt;Total;0.483;0.708;0.379;0.419;0;
Estonia;Europe;EST;National;ESTt;Total;0.882;0.887;0.897;0.863;1;LIS
Eswatini;Africa;SWZ;National;SWZt;Total;0.575;0.539;0.533;0.662;0;
Ethiopia;Africa;ETH;National;ETHt;Total;0.460;0.672;0.334;0.434;1;DHS
Fiji;Asia/Pacific;FJI;National;FJIt;Total;0.729;0.721;0.747;0.721;0;
Finland;Europe;FIN;National;FINt;Total;0.930;0.945;0.921;0.925;1;LIS
France;Europe;FRA;National;FRAt;Total;0.892;0.957;0.806;0.921;1;LIS
Gabon;Africa;GAB;National;GABt;Total;0.699;0.699;0.652;0.748;0;
Gambia;Africa;GMB;National;GMBt;Total;0.478;0.654;0.369;0.453;0;
Georgia;Europe;GEO;National;GEOt;Total;0.790;0.820;0.826;0.727;1;LIS
Germany;Europe;DEU;National;DEUt;Total;0.938;0.932;0.936;0.945;1;LIS
Ghana;Africa;GHA;National;GHAt;Total;0.607;0.664;0.580;0.580;1;DHS
Greece;Europe;GRC;National;GRCt;Total;0.880;0.933;0.858;0.852;1;LIS
Grenada;America;GRD;National;GRDt;Total;0.790;0.846;0.789;0.738;0;
Guatemala;America;GTM;National;GTMt;Total;0.639;0.802;0.492;0.661;1;LIS
Guinea;Africa;GIN;National;GINt;Total;0.440;0.587;0.319;0.457;1;DHS
GuineaBissau;Africa;GNB;National;GNBt;Total;0.472;0.602;0.395;0.441;0;
Guyana;America;GUY;National;GUYt;Total;0.684;0.742;0.609;0.710;0;
Haiti;America;HTI;National;HTIt;Total;0.529;0.665;0.429;0.519;0;
Honduras;America;HND;National;HNDt;Total;0.613;0.807;0.485;0.589;0;
Hungary;Europe;HUN;National;HUNt;Total;0.838;0.856;0.818;0.842;1;LIS
Iceland;Europe;ISL;National;ISLt;Total;0.945;0.959;0.939;0.935;1;LIS
India;Asia/Pacific;IND;National;INDt;Total;0.629;0.764;0.540;0.603;1;LIS
Indonesia;Asia/Pacific;IDN;National;IDNt;Total;0.695;0.765;0.634;0.693;1;DHS
Iran;Asia/Pacific;IRN;National;IRNt;Total;0.776;0.848;0.754;0.732;0;
Iraq;Asia/Pacific;IRQ;National;IRQt;Total;0.675;0.761;0.582;0.694;0;
Ireland;Europe;IRL;National;IRLt;Total;0.925;0.945;0.876;0.954;1;LIS
Israel;Asia/Pacific;ISR;National;ISRt;Total;0.909;0.955;0.881;0.892;1;LIS
Italy;Europe;ITA;National;ITAt;Total;0.882;0.962;0.789;0.904;1;LIS
Jamaica;America;JAM;National;JAMt;Total;0.713;0.806;0.657;0.683;0;
Japan;Asia/Pacific;JPN;National;JPNt;Total;0.918;0.983;0.864;0.912;1;LIS
Jordan;Asia/Pacific;JOR;National;JORt;Total;0.718;0.846;0.629;0.696;0;
Kazakhstan;Asia/Pacific;KAZ;National;KAZt;Total;0.805;0.780;0.814;0.822;0;
Kenya;Africa;KEN;National;KENt;Total;0.561;0.644;0.502;0.544;1;DHS
