DHSdatasetname;Country;Year;Phase;isocode;GDLmatch
AFPR71FL;Afghanistan;2015;VII;AFG;2
ALPR71FL;Albania;2017-18;VII;ALB;1
AOPR71FL;Angola;2015-16;VII;AGO;1
AMPR72FL;Armenia;2015-16;VII;ARM;1
BDPR72FL;Bangladesh;2014;VII;BGD;1
BJPR71FL;Benin;2017-18;VII;BEN;1
BUPR71FL;Burundi;2016-17;VII;BDI;1
KHPR73FL;Cambodia;2014;VII;KHM;1
CMPR71FL;Cameroon;2018;VII;CMR;1
TDPR71FL;Chad;2014-15;VII;TCD;1
CDPR61FL;Congo Democratic Republic;2013-14;VI;COD;1
DRPR61FL;Dominican Republic;2013;VI;DOM;1
EGPR61FL;Egypt;2014;VI;EGY;1
ETPR71FL;Ethiopia;2016;VII;ETH;1
GMPR61FL;Gambia;2013;VI;GMB;2
GHPR72FL;Ghana;2014;VII;GHA;1
GUPR71FL;Guatemala;2014-15;VII;GTM;1
HTPR71FL;Haiti;2016-17;VII;HTI;1
IAPR74FL;India;2015-16;VII;IND;1
IDPR71FL;Indonesia;2017;VII;IDN;2
JOPR74FL;Jordan;2017-18;VII;JOR;1
KEPR72FL;Kenya;2014;VII;KEN;1
LSPR71FL;Lesotho;2014;VII;LSO;1
LBPR6AFL;Liberia;2013;VI;LBR;1
MWPR7AFL;Malawi;2015-16;VII;MWI;1
MVPR71FL;Maldives;2016-17;VII;MDV;2
MLPR6AFL;Mali;2012-13;VI;MLI;1
MMPR71FL;Myanmar;2015-16;VII;MMR;1
NMPR61FL;Namibia;2013;VI;NAM;1
NPPR7HFL;Nepal;2016;VII;NPL;1
NGPR6AFL;Nigeria;2013;VI;NGA;1
PKPR71FL;Pakistan;2017-18;VII;PAK;1
PGPR71FL;Papua New Guinea;2016-18;VII;PNG;2
PHPR71FL;Philippines;2017;VII;PHL;1
RWPR70FL;Rwanda;2014-15;VII;RWA;1
SNPR7HFL;Senegal;2015;VII;SEN;1
SLPR61FL;Sierra Leone;2013;VI;SLE;1
ZAPR71FL;South Africa;2016;VII;ZAF;1
TJPR72FL;Tajikistan;2017;VII;TJK;1
TZPR7BFL;Tanzania;2015-16;VII;TZA;1
TLPR71FL;Timor-Leste;2016;VII;TLS;1
TGPR61FL;Togo;2013-14;VI;TGO;1
UGPR7BFL;Uganda;2016;VII;UGA;1
ZMPR61FL;Zambia;2013-14;VI;ZMB;1
ZWPR72FL;Zimbabwe;2015;VII;ZWE;1
