iso_code,GDLCODE,Nr_individuals,Nr_households,Data_Availability
AFG,AFGr101,6594085,1448009,No data (105)
AFG,AFGr102,831828,171202,No data (105)
AFG,AFGr103,2788188,563629,No data (105)
AFG,AFGr104,6450171,1343130,No data (105)
AFG,AFGr105,4935761,969107,No data (105)
AFG,AFGr106,4451069,857532,No data (105)
AFG,AFGr107,3706983,758176,No data (105)
AFG,AFGr108,4657854,917441,No data (105)
AGO,AGOr201,569599,139382,No data (105)
AGO,AGOr202,545365,121582,No data (105)
AGO,AGOr203,1625478,342656,No data (105)
AGO,AGOr204,8914870,2206848,No data (105)
AGO,AGOr205,437461,92719,No data (105)
AGO,AGOr206,1912436,367233,No data (105)
AGO,AGOr207,1134789,240416,No data (105)
AGO,AGOr208,761378,156035,No data (105)
AGO,AGOr209,2484636,519607,No data (105)
AGO,AGOr210,2147914,447626,No data (105)
AGO,AGOr211,1390505,281239,No data (105)
AGO,AGOr212,652490,133470,No data (105)
AGO,AGOr213,434282,88401,No data (105)
AGO,AGOr214,404054,89851,No data (105)
AGO,AGOr215,2514991,520052,No data (105)
AGO,AGOr216,997365,206130,No data (105)
AGO,AGOr217,523598,113090,No data (105)
AGO,AGOr218,431623,93039,No data (105)
ALB,ALBr201,136174,41217,No data (105)
ALB,ALBr202,134095,37833,No data (105)
ALB,ALBr203,270157,84557,No data (105)
ALB,ALBr204,299070,89175,No data (105)
ALB,ALBr205,300546,87992,No data (105)
ALB,ALBr206,72309,22285,No data (105)
ALB,ALBr207,234204,71879,No data (105)
ALB,ALBr208,79776,22788,No data (105)
ALB,ALBr209,124118,36411,No data (105)
ALB,ALBr210,230622,69802,No data (105)
ALB,ALBr211,827111,280807,No data (105)
ALB,ALBr212,172399,54441,No data (105)
AND,ANDt,78045,30745,No data (105)
ARE,AREt,9262910,3793770,No data (105)
ARG,ARGr101,3341376,1376708,No data (105)
ARG,ARGr102,17177805,6156893,No data (105)
ARG,ARGr103,1343977,507368,No data (105)
ARG,ARGr104,3453720,1314341,No data (105)
ARG,ARGr105,3542699,1221093,No data (105)
ARG,ARGr106,1656285,563225,No data (105)
ARM,ARMr101,144935,34601,IPUMS/DHS: survey + marginals (24)
ARM,ARMr102,266700,61259,IPUMS/DHS: survey + marginals (24)
ARM,ARMr103,264658,60212,IPUMS/DHS: survey + marginals (24)
ARM,ARMr104,227310,49540,IPUMS/DHS: survey + marginals (24)
ARM,ARMr105,211782,59800,IPUMS/DHS: survey + marginals (24)
ARM,ARMr106,299231,73980,IPUMS/DHS: survey + marginals (24)
ARM,ARMr107,249872,64529,IPUMS/DHS: survey + marginals (24)
ARM,ARMr108,132294,36218,IPUMS/DHS: survey + marginals (24)
ARM,ARMr109,60411,15057,IPUMS/DHS: survey + marginals (24)
ARM,ARMr110,140845,36410,IPUMS/DHS: survey + marginals (24)
ARM,ARMr111,917708,247380,IPUMS/DHS: survey + marginals (24)
ATG,ATGt,93513,26846,No data (105)
AUS,AUSr101,7395277,3510016,LIS: marginals (2)
AUS,AUSr102,5862776,2828137,LIS: marginals (2)
AUS,AUSr103,4586061,2220236,LIS: marginals (2)
AUS,AUSr104,1663962,859576,LIS: marginals (2)
AUS,AUSr105,2434138,1146507,LIS: marginals (2)
AUS,AUSr106,506762,265807,LIS: marginals (2)
AUS,AUSr107,242431,117667,LIS: marginals (2)
AUS,AUSr108,395914,191584,LIS: marginals (2)
AUS,AUSr109,-99,-99,LIS: marginals (2)
AUT,AUTr101,290053,119363,LIS: survey + marginals (38)
AUT,AUTr102,1646003,713104,LIS: survey + marginals (38)
AUT,AUTr103,1816831,927068,LIS: survey + marginals (38)
AUT,AUTr104,559095,260204,LIS: survey + marginals (38)
AUT,AUTr105,1227048,547278,LIS: survey + marginals (38)
AUT,AUTr106,1446026,640097,LIS: survey + marginals (38)
AUT,AUTr107,541967,240779,LIS: survey + marginals (38)
AUT,AUTr108,734147,310067,LIS: survey + marginals (38)
AUT,AUTr109,382073,157904,LIS: survey + marginals (38)
AZE,AZEr101,2801483,917903,No data (105)
AZE,AZEr102,619400,184115,No data (105)
AZE,AZEr103,1358221,342065,No data (105)
AZE,AZEr104,693040,187950,No data (105)
AZE,AZEr105,819600,203656,No data (105)
AZE,AZEr106,489186,125857,No data (105)
AZE,AZEr107,2321048,574769,No data (105)
AZE,AZEr108,242719,59172,No data (105)
AZE,AZEr109,305373,76980,No data (105)
AZE,AZEr110,-99,-99,No data (105)
AZE,AZEr111,-99,-99,No data (105)
BDI,BDIr101,3003393,575770,No data (105)
BDI,BDIr102,1514797,303704,No data (105)
BDI,BDIr103,1250483,241845,No data (105)
BDI,BDIr104,2369720,479598,No data (105)
BDI,BDIr105,2022724,390542,No data (105)
BEL,BELr101,1193016,559713,LIS: survey + marginals (38)
BEL,BELr102,1822974,787055,LIS: survey + marginals (38)
BEL,BELr103,864029,373202,LIS: survey + marginals (38)
BEL,BELr104,1483963,640563,LIS: survey + marginals (38)
BEL,BELr106,1183005,510794,LIS: survey + marginals (38)
BEL,BELr107,396018,173710,LIS: survey + marginals (38)
BEL,BELr108,1340013,588210,LIS: survey + marginals (38)
BEL,BELr109,1100937,483446,LIS: survey + marginals (38)
BEL,BELr110,282021,123808,LIS: survey + marginals (38)
BEL,BELr111,491015,215565,LIS: survey + marginals (38)
